DATETIME,price
2023-05-05,0.0037211
2023-05-06,0.00262
2023-05-07,0.0027902
2023-05-08,0.0019464
2023-05-09,0.0020063
2023-05-10,0.0019195
2023-05-11,0.0013931
2023-05-12,0.0017444
2023-05-13,0.0018575
2023-05-14,0.0017853
2023-05-15,0.0017318
2023-05-16,0.0016643
2023-05-17,0.0015735
2023-05-18,0.0015789
2023-05-19,0.001523
2023-05-20,0.0017145
2023-05-21,0.0015964
2023-05-22,0.0015302
2023-05-23,0.0015916
2023-05-24,0.0014333
2023-05-25,0.0014289
2023-05-26,0.0014518
2023-05-27,0.0015131
2023-05-28,0.0014951
2023-05-29,0.0014358
2023-05-30,0.0012935
2023-05-31,0.0012636
2023-06-01,0.0012454
2023-06-02,0.0012821
2023-06-03,0.0012949
2023-06-04,0.0012384
2023-06-05,0.0010333
2023-06-06,0.0012066
2023-06-07,0.0010728
2023-06-08,0.0010833
2023-06-09,0.0011337
2023-06-10,0.0009292
2023-06-11,0.0009119
2023-06-12,0.0009042
2023-06-13,0.000917
2023-06-14,0.0008852
2023-06-15,0.0008969
2023-06-16,0.0009655
2023-06-17,0.0010003
2023-06-18,0.0009373
2023-06-19,0.000949
2023-06-20,0.0010691
2023-06-21,0.0013806
2023-06-22,0.0015433
2023-06-23,0.0016519
2023-06-24,0.0015531
2023-06-25,0.0016044
2023-06-26,0.0015086
2023-06-27,0.001618
2023-06-28,0.0014206
2023-06-29,0.0015419
2023-06-30,0.0016215
2023-07-01,0.0015552
2023-07-02,0.0015842
2023-07-03,0.0018343
2023-07-04,0.0017125
2023-07-05,0.0016512
2023-07-06,0.0015395
2023-07-07,0.0015638
2023-07-08,0.0015518
2023-07-09,0.0015438
2023-07-10,0.0015135
2023-07-11,0.0015001
2023-07-12,0.0015056
2023-07-13,0.0017128
2023-07-14,0.0016398
2023-07-15,0.0016438
2023-07-16,0.0015727
2023-07-17,0.0015748
2023-07-18,0.0015148
2023-07-19,0.0015244
2023-07-20,0.0015028
2023-07-21,0.001522
2023-07-22,0.00149
2023-07-23,0.0015037
2023-07-24,0.0013465
2023-07-25,0.0013053
2023-07-26,0.0013318
2023-07-27,0.0013428
2023-07-28,0.0013357
2023-07-29,0.0013464
2023-07-30,0.0012946
2023-07-31,0.0012378
2023-08-01,0.0013021
2023-08-02,0.0012185
2023-08-03,0.0011981
2023-08-04,0.001154
2023-08-05,0.0011528
2023-08-06,0.0011568
2023-08-07,0.0011161
2023-08-08,0.0011754
2023-08-09,0.0012309
2023-08-10,0.0012331
2023-08-11,0.0012459
2023-08-12,0.0013522
2023-08-13,0.0013648
2023-08-14,0.0014048
2023-08-15,0.0012677
2023-08-16,0.0011651
2023-08-17,0.0010795
2023-08-18,0.0010892
2023-08-19,0.0011344
2023-08-20,0.0011173
2023-08-21,0.0010858
2023-08-22,0.0010723
2023-08-23,0.0011041
2023-08-24,0.0009415
2023-08-25,0.0008818
2023-08-26,0.0008669
2023-08-27,0.0008956
2023-08-28,0.0008577
2023-08-29,0.0008951
2023-08-30,0.0008672
2023-08-31,0.0008033
2023-09-01,0.0007746
2023-09-02,0.0007838
2023-09-03,0.0008022
2023-09-04,0.0007976
2023-09-05,0.0008028
2023-09-06,0.000796
2023-09-07,0.0008082
2023-09-08,0.0007965
2023-09-09,0.0007857
2023-09-10,0.0007069
2023-09-11,0.0006688
2023-09-12,0.0006714
2023-09-13,0.000674
2023-09-14,0.0006828
2023-09-15,0.0006839
2023-09-16,0.0006756
2023-09-17,0.000627
2023-09-18,0.0006264
2023-09-19,0.0006424
2023-09-20,0.0006283
2023-09-21,0.0006115
2023-09-22,0.0007144
2023-09-23,0.0006774
2023-09-24,0.0006758
2023-09-25,0.0007104
2023-09-26,0.0006949
2023-09-27,0.0007354
2023-09-28,0.0007335
2023-09-29,0.0007909
2023-09-30,0.000798
2023-10-01,0.0008143
2023-10-02,0.0007428
2023-10-03,0.0007224
2023-10-04,0.0007176
2023-10-05,0.000701
2023-10-06,0.0007241
2023-10-07,0.000708
2023-10-08,0.0007155
2023-10-09,0.0006649
2023-10-10,0.0006452
2023-10-11,0.0006354
2023-10-12,0.0006256
2023-10-13,0.0006455
2023-10-14,0.0006449
2023-10-15,0.0006656
2023-10-16,0.0006733
2023-10-17,0.0006351
2023-10-18,0.0006307
2023-10-19,0.000627
2023-10-20,0.0006564
2023-10-21,0.0006982
2023-10-22,0.0007473
2023-10-23,0.0010055
2023-10-24,0.0009254
2023-10-25,0.0012077
2023-10-26,0.0012849
2023-10-27,0.0011624
2023-10-28,0.0011425
2023-10-29,0.0011473
2023-10-30,0.0011724
2023-10-31,0.0011465
2023-11-01,0.0011867
2023-11-02,0.0010919
2023-11-03,0.0010788
2023-11-04,0.0011171
2023-11-05,0.0011225
2023-11-06,0.0012085
2023-11-07,0.0011661
2023-11-08,0.0011849
2023-11-09,0.0013343
2023-11-10,0.0013437
2023-11-11,0.0012774
2023-11-12,0.0012271
2023-11-13,0.0011634
2023-11-14,0.0011522
2023-11-15,0.0012562
2023-11-16,0.001142
2023-11-17,0.0011525
2023-11-18,0.0011485
2023-11-19,0.0011913
2023-11-20,0.0011311
2023-11-21,0.0010341
2023-11-22,0.001107
2023-11-23,0.0010691
2023-11-24,0.0011077
2023-11-25,0.0011797
2023-11-26,0.0011154
2023-11-27,0.0010831
2023-11-28,0.001095
2023-11-29,0.0010571
2023-11-30,0.0010869
2023-12-01,0.0011062
2023-12-02,0.0011668
2023-12-03,0.0012075
2023-12-04,0.0013953
2023-12-05,0.0016203
2023-12-06,0.0014825
2023-12-07,0.001525
2023-12-08,0.001576
2023-12-09,0.0015327
2023-12-10,0.0016054
2023-12-11,0.0014127
2023-12-12,0.0013972
2023-12-13,0.0014164
2023-12-14,0.0014855
2023-12-15,0.0013294
2023-12-16,0.0014169
2023-12-17,0.0013374
2023-12-18,0.0013066
2023-12-19,0.0012483
2023-12-20,0.0012703
2023-12-21,0.0013066
2023-12-22,0.0015813
2023-12-23,0.0014733
2023-12-24,0.0013748
2023-12-25,0.0014078
2023-12-26,0.0013393
2023-12-27,0.001448
2023-12-28,0.0013435
2023-12-29,0.0013491
2023-12-30,0.0013091
2023-12-31,0.0012956
2024-01-01,0.0014066
2024-01-02,0.0013391
2024-01-03,0.0011875
2024-01-04,0.0012558
2024-01-05,0.0011974
2024-01-06,0.0011575
2024-01-07,0.0011126
2024-01-08,0.0011944
