DATETIME,price
2020-02-02,0.05583
2020-02-03,0.05718
2020-02-04,0.05601
2020-02-05,0.05949
2020-02-06,0.06014
2020-02-07,0.06014
2020-02-08,0.06018
2020-02-09,0.06194
2020-02-10,0.06029
2020-02-11,0.06357
2020-02-12,0.06825
2020-02-13,0.06882
2020-02-14,0.07082
2020-02-15,0.06433
2020-02-16,0.06159
2020-02-17,0.06024
2020-02-18,0.06283
2020-02-19,0.05737
2020-02-20,0.05818
2020-02-21,0.05847
2020-02-22,0.0583
2020-02-23,0.06151
2020-02-24,0.05907
2020-02-25,0.05606
2020-02-26,0.04914
2020-02-27,0.04989
2020-02-28,0.0489
2020-02-29,0.0471
2020-03-02,0.04933
2020-03-03,0.04869
2020-03-04,0.04903
2020-03-05,0.05102
2020-03-06,0.0518
2020-03-07,0.04882
2020-03-08,0.04296
2020-03-09,0.04157
2020-03-10,0.04147
2020-03-11,0.03967
2020-03-12,0.02329
2020-03-13,0.02844
2020-03-14,0.02574
2020-03-15,0.02689
2020-03-16,0.02412
2020-03-17,0.02569
2020-03-18,0.02605
2020-03-19,0.03031
2020-03-20,0.02946
2020-03-21,0.02946
2020-03-22,0.027
2020-03-23,0.02925
2020-03-24,0.0302
2020-03-25,0.02944
2020-03-26,0.03083
2020-03-27,0.02878
2020-03-28,0.02975
2020-03-29,0.02805
2020-03-30,0.02964
2020-03-31,0.0304
2020-04-02,0.03192
2020-04-03,0.03234
2020-04-04,0.03244
2020-04-05,0.03189
2020-04-06,0.03593
2020-04-07,0.03532
2020-04-08,0.03645
2020-04-09,0.03611
2020-04-10,0.03325
2020-04-11,0.03342
2020-04-12,0.03347
2020-04-13,0.03307
2020-04-14,0.03309
2020-04-15,0.03184
2020-04-16,0.03443
2020-04-17,0.0343
2020-04-18,0.03654
2020-04-19,0.03549
2020-04-20,0.03395
2020-04-21,0.03454
2020-04-22,0.03665
2020-04-23,0.04092
2020-04-24,0.04171
2020-04-25,0.04227
2020-04-26,0.04598
2020-04-27,0.04645
2020-04-28,0.04681
2020-04-29,0.05152
2020-04-30,0.04757
2020-05-02,0.05106
2020-05-03,0.04893
2020-05-04,0.04946
2020-05-05,0.04947
2020-05-06,0.04895
2020-05-07,0.05127
2020-05-08,0.05204
2020-05-09,0.05152
2020-05-10,0.04762
2020-05-11,0.04781
2020-05-12,0.05043
2020-05-13,0.05145
2020-05-14,0.05097
2020-05-15,0.05033
2020-05-16,0.05103
2020-05-17,0.05128
2020-05-18,0.05436
2020-05-19,0.0568
2020-05-20,0.05692
2020-05-21,0.05213
2020-05-22,0.05576
2020-05-23,0.05494
2020-05-24,0.05106
2020-05-25,0.0539
2020-05-26,0.05356
2020-05-27,0.05507
2020-05-28,0.06489
2020-05-29,0.06463
2020-05-30,0.07678
2020-05-31,0.07385
2020-06-02,0.07876
2020-06-03,0.08561
2020-06-04,0.08878
2020-06-05,0.08516
2020-06-06,0.08611
2020-06-07,0.08658
2020-06-08,0.08652
2020-06-09,0.08293
2020-06-10,0.08364
2020-06-11,0.0753
2020-06-12,0.07949
2020-06-13,0.07906
2020-06-14,0.07646
2020-06-15,0.07823
2020-06-16,0.07919
2020-06-17,0.08341
2020-06-18,0.08173
2020-06-19,0.07989
2020-06-20,0.07942
2020-06-21,0.07829
2020-06-22,0.0835
2020-06-23,0.08274
2020-06-24,0.08252
2020-06-25,0.08156
2020-06-26,0.08055
2020-06-27,0.07728
2020-06-28,0.0802
2020-06-29,0.08377
2020-06-30,0.0829
2020-07-02,0.09287
2020-07-03,0.09634
2020-07-04,0.10005
2020-07-05,0.09806
2020-07-06,0.10505
2020-07-07,0.11741
2020-07-08,0.13008
2020-07-09,0.12415
2020-07-10,0.11842
2020-07-11,0.12528
2020-07-12,0.12694
2020-07-13,0.12407
2020-07-14,0.13268
2020-07-15,0.13077
2020-07-16,0.12586
2020-07-17,0.12213
2020-07-18,0.12255
2020-07-19,0.12393
2020-07-20,0.11766
2020-07-21,0.12321
2020-07-22,0.12393
2020-07-23,0.1243
2020-07-24,0.12204
2020-07-25,0.14361
2020-07-26,0.14849
2020-07-27,0.13873
2020-07-28,0.14918
2020-07-29,0.13985
2020-07-30,0.14076
2020-07-31,0.13905
2020-08-02,0.13393
2020-08-03,0.1376
2020-08-04,0.14348
2020-08-05,0.14245
2020-08-06,0.14461
2020-08-07,0.13911
2020-08-08,0.14741
2020-08-09,0.14532
2020-08-10,0.14406
2020-08-11,0.13699
2020-08-12,0.13677
2020-08-13,0.13955
2020-08-14,0.13847
2020-08-15,0.13862
2020-08-16,0.13893
2020-08-17,0.14069
2020-08-18,0.13706
2020-08-19,0.12986
2020-08-20,0.13435
2020-08-21,0.12316
2020-08-22,0.12525
2020-08-23,0.12154
2020-08-24,0.12375
2020-08-25,0.11248
2020-08-26,0.1144
2020-08-27,0.10734
2020-08-28,0.10938
2020-08-29,0.1163
2020-08-30,0.1175
2020-08-31,0.12264
2020-09-02,0.11504
2020-09-03,0.09436
2020-09-04,0.10154
2020-09-05,0.08996
2020-09-06,0.09266
2020-09-07,0.09362
2020-09-08,0.09105
2020-09-09,0.09331
2020-09-10,0.0971
2020-09-11,0.09702
2020-09-12,0.09766
2020-09-13,0.09507
2020-09-14,0.09664
2020-09-15,0.09312
2020-09-16,0.09148
2020-09-17,0.09411
2020-09-18,0.09099
2020-09-19,0.09143
2020-09-20,0.0894
2020-09-21,0.07984
2020-09-22,0.08148
2020-09-23,0.07668
2020-09-24,0.08261
2020-09-25,0.09686
2020-09-26,0.09548
2020-09-27,0.1013
2020-09-28,0.10023
2020-09-29,0.10109
2020-09-30,0.10138
2020-10-02,0.09288
2020-10-03,0.09327
2020-10-04,0.09688
2020-10-05,0.09735
2020-10-06,0.0929
2020-10-07,0.09371
2020-10-08,0.09627
2020-10-09,0.1013
2020-10-10,0.10495
2020-10-11,0.10643
2020-10-12,0.10948
2020-10-13,0.10931
2020-10-14,0.10714
2020-10-15,0.10673
2020-10-16,0.10422
2020-10-17,0.10593
2020-10-18,0.10742
2020-10-19,0.10868
2020-10-20,0.10238
2020-10-21,0.10597
2020-10-22,0.11089
2020-10-23,0.10814
2020-10-24,0.10813
2020-10-25,0.1065
2020-10-26,0.10303
2020-10-27,0.10256
2020-10-28,0.09872
2020-10-29,0.09536
2020-10-30,0.09333
2020-10-31,0.09291
2020-11-02,0.09225
2020-11-03,0.09354
2020-11-04,0.09549
2020-11-05,0.09758
2020-11-06,0.10917
2020-11-07,0.1014
2020-11-08,0.10667
2020-11-09,0.10567
2020-11-10,0.10594
2020-11-11,0.10603
2020-11-12,0.10461
2020-11-13,0.10647
2020-11-14,0.10416
2020-11-15,0.10053
2020-11-16,0.1039
2020-11-17,0.10966
2020-11-18,0.10679
2020-11-19,0.10597
2020-11-20,0.11852
2020-11-21,0.13354
2020-11-22,0.14626
2020-11-23,0.15494
2020-11-24,0.16758
2020-11-25,0.1551
2020-11-26,0.13872
2020-11-27,0.14174
2020-11-28,0.16503
2020-11-29,0.1669
2020-11-30,0.17231
2020-12-02,0.15857
2020-12-03,0.16424
2020-12-04,0.14793
2020-12-05,0.16008
2020-12-06,0.15888
2020-12-07,0.15411
2020-12-08,0.14115
2020-12-09,0.14808
2020-12-10,0.14188
2020-12-11,0.13933
2020-12-12,0.14443
2020-12-13,0.15423
2020-12-14,0.15887
2020-12-15,0.15395
2020-12-16,0.1685
2020-12-17,0.16361
2020-12-18,0.16521
2020-12-19,0.16454
2020-12-20,0.16206
2020-12-21,0.15285
2020-12-22,0.15659
2020-12-23,0.13634
2020-12-24,0.15309
2020-12-25,0.15773
2020-12-26,0.15856
2020-12-27,0.15481
2020-12-28,0.17663
2020-12-29,0.191
2020-12-30,0.18411
2020-12-31,0.18153
2021-01-02,0.17759
2021-01-03,0.2067
2021-01-04,0.22524
2021-01-05,0.2585
2021-01-06,0.3331
2021-01-07,0.29961
2021-01-08,0.30429
2021-01-09,0.3312
2021-01-10,0.30187
2021-01-11,0.27584
2021-01-12,0.28929
2021-01-13,0.31246
2021-01-14,0.3124
2021-01-15,0.30207
2021-01-16,0.35125
2021-01-17,0.38074
