DATETIME,price
2022-10-19,7.3
2022-10-20,7.357
2022-10-21,7.49
2022-10-22,8.937
2022-10-23,9.754
2022-10-24,9.52
2022-10-25,8.775
2022-10-26,9.191
2022-10-27,8.698
2022-10-28,8.173
2022-10-29,7.952
2022-10-30,7.796
2022-10-31,7.927
2022-11-01,8.188
2022-11-02,7.37
2022-11-03,7.227
2022-11-04,7.65
2022-11-05,7.62
2022-11-06,7.304
2022-11-07,6.998
2022-11-08,5.368
2022-11-09,3.9441
2022-11-10,5.1515
2022-11-11,5.18
2022-11-12,4.543
2022-11-13,4.2162
2022-11-14,4.1905
2022-11-15,4.3344
2022-11-16,4.4966
2022-11-17,4.6575
2022-11-18,4.716
2022-11-19,4.6212
2022-11-20,4.0982
2022-11-21,4.0603
2022-11-22,4.3146
2022-11-23,4.438
2022-11-24,4.4358
2022-11-25,4.4247
2022-11-26,4.7656
2022-11-27,4.7916
2022-11-28,4.4746
2022-11-29,4.6698
2022-11-30,4.7675
2022-12-01,4.65
2022-12-02,4.8975
2022-12-03,5.1106
2022-12-04,5.1789
2022-12-05,5.1577
2022-12-06,5.0422
2022-12-07,4.8146
2022-12-08,4.9137
2022-12-09,4.804
2022-12-10,4.7792
2022-12-11,4.66
2022-12-12,4.523
2022-12-13,4.6217
2022-12-14,4.696
2022-12-15,4.6641
2022-12-16,4.0409
2022-12-17,4.0854
2022-12-18,4.0483
2022-12-19,3.8027
2022-12-20,3.8921
2022-12-21,3.7614
2022-12-22,3.7066
2022-12-23,3.747
2022-12-24,3.6916
2022-12-25,3.5756
2022-12-26,3.6439
2022-12-27,3.5953
2022-12-28,3.2296
2022-12-29,3.2054
2022-12-30,3.4143
2022-12-31,3.4466
2023-01-01,3.5185
2023-01-02,3.7563
2023-01-03,3.8178
2023-01-04,3.8093
2023-01-05,3.7079
2023-01-06,3.8574
2023-01-07,3.8327
2023-01-08,3.9317
2023-01-09,5.2094
2023-01-10,5.4835
2023-01-11,5.2925
2023-01-12,6.4495
2023-01-13,6.8109
2023-01-14,7.7155
2023-01-15,7.9277
2023-01-16,8.1324
2023-01-17,7.6113
2023-01-18,7.6262
2023-01-19,7.8696
2023-01-20,10.9529
2023-01-21,11.76
2023-01-22,13.3001
2023-01-23,12.677
2023-01-24,12.3168
2023-01-25,18.3093
2023-01-26,18.1472
2023-01-27,17.7571
2023-01-28,17.8006
2023-01-29,18.3404
2023-01-30,17.1905
2023-01-31,16.7285
2023-02-01,18.2499
2023-02-02,17.2179
2023-02-03,17.0203
2023-02-04,16.4884
2023-02-05,15.4306
2023-02-06,14.955
2023-02-07,16.0568
2023-02-08,15.0865
2023-02-09,13.3185
2023-02-10,13.653
2023-02-11,13.878
2023-02-12,13.097
2023-02-13,13.726
2023-02-14,14.741
2023-02-15,15.945
2023-02-16,14.693
2023-02-17,14.736
2023-02-18,14.428
2023-02-19,14.077
2023-02-20,14.22
2023-02-21,13.442
2023-02-22,13.885
2023-02-23,13.446
2023-02-24,12.838
2023-02-25,12.238
2023-02-26,12.634
2023-02-27,12.368
2023-02-28,11.884
2023-03-01,13.443
2023-03-02,12.841
2023-03-03,11.732
2023-03-04,11.257
2023-03-05,11.153
2023-03-06,11.281
2023-03-07,11.121
2023-03-08,10.512
2023-03-09,11.111
2023-03-10,10.782
2023-03-11,10.432
2023-03-12,11.88
2023-03-13,12.309
2023-03-14,13.579
2023-03-15,12.233
2023-03-16,12.341
2023-03-17,13.508
2023-03-18,12.79
2023-03-19,13.025
2023-03-20,12.096
2023-03-21,12.257
2023-03-22,13.115
2023-03-23,13.275
2023-03-24,12.201
2023-03-25,11.581
2023-03-26,11.842
2023-03-27,11.126
2023-03-28,11.258
2023-03-29,11.624
2023-03-30,11.154
2023-03-31,11.377
2023-04-01,11.265
2023-04-02,12.157
2023-04-03,11.333
2023-04-04,11.464
2023-04-05,11.539
2023-04-06,11.454
2023-04-07,11.152
2023-04-08,11.021
2023-04-09,11.064
2023-04-10,11.45
2023-04-11,11.73
2023-04-12,11.356
2023-04-13,12.373
2023-04-14,12.682
2023-04-15,12.572
2023-04-16,12.597
2023-04-17,12.317
2023-04-18,12.732
2023-04-19,11.3
2023-04-20,11.033
2023-04-21,10.146
2023-04-22,10.321
2023-04-23,10.209
2023-04-24,10.222
2023-04-25,10.363
2023-04-26,10.014
2023-04-27,10.173
2023-04-28,10.151
2023-04-29,10.727
2023-04-30,10.315
2023-05-01,9.919
2023-05-02,9.922
2023-05-03,10.018
2023-05-04,9.674
2023-05-05,9.834
2023-05-06,9.204
2023-05-07,9.2
2023-05-08,8.304
2023-05-09,8.344
2023-05-10,8.595
2023-05-11,8.058
2023-05-12,8.293
2023-05-13,8.282
2023-05-14,8.47
2023-05-15,8.578
2023-05-16,8.532
2023-05-17,8.711
2023-05-18,8.524
2023-05-19,8.428
2023-05-20,8.449
2023-05-21,8.156
2023-05-22,8.1
2023-05-23,8.504
2023-05-24,8.074
2023-05-25,7.968
2023-05-26,8.062
2023-05-27,8.226
2023-05-28,8.512
2023-05-29,8.5
2023-05-30,8.484
2023-05-31,8.345
2023-06-01,8.548
2023-06-02,9.04
2023-06-03,8.973
2023-06-04,9.173
2023-06-05,8.108
2023-06-06,8.23
2023-06-07,7.696
2023-06-08,7.674
2023-06-09,7.439
2023-06-10,6.004
2023-06-11,6.243
2023-06-12,6.25
2023-06-13,6.253
2023-06-14,6.019
2023-06-15,6.222
2023-06-16,6.296
2023-06-17,6.994
2023-06-18,6.723
2023-06-19,6.936
2023-06-20,7.211
2023-06-21,7.45
2023-06-22,7.354
2023-06-23,7.66
2023-06-24,7.338
2023-06-25,7.542
2023-06-26,7.28
2023-06-27,7.429
2023-06-28,6.917
2023-06-29,7.147
2023-06-30,7.243
2023-07-01,7.388
2023-07-02,7.328
2023-07-03,7.511
2023-07-04,7.672
2023-07-05,7.43
2023-07-06,7.101
2023-07-07,7.22
2023-07-08,7.053
2023-07-09,7.089
2023-07-10,7.089
2023-07-11,7.038
2023-07-12,6.979
2023-07-13,7.573
2023-07-14,7.371
2023-07-15,7.457
2023-07-16,7.407
2023-07-17,7.817
2023-07-18,7.593
2023-07-19,7.542
2023-07-20,7.427
2023-07-21,7.544
2023-07-22,7.661
2023-07-23,7.569
2023-07-24,7.049
2023-07-25,6.972
2023-07-26,7.016
2023-07-27,7.073
2023-07-28,7.064
2023-07-29,7.134
2023-07-30,7.013
2023-07-31,7.031
2023-08-01,7.065
2023-08-02,6.856
2023-08-03,6.768
2023-08-04,6.699
2023-08-05,6.716
2023-08-06,6.709
2023-08-07,6.669
2023-08-08,6.699
2023-08-09,7.404
2023-08-10,7.161
2023-08-11,7.095
2023-08-12,7.197
2023-08-13,7.05
2023-08-14,7.073
2023-08-15,6.527
2023-08-16,6.179
2023-08-17,5.676
2023-08-18,5.827
2023-08-19,6.014
2023-08-20,6.063
2023-08-21,5.942
2023-08-22,5.842
2023-08-23,6.013
2023-08-24,5.811
2023-08-25,5.686
2023-08-26,5.72
2023-08-27,5.696
2023-08-28,5.727
2023-08-29,5.9
2023-08-30,5.78
2023-08-31,5.509
2023-09-01,5.5
2023-09-02,5.57
2023-09-03,5.462
2023-09-04,5.511
2023-09-05,5.526
2023-09-06,5.532
2023-09-07,5.635
2023-09-08,5.514
2023-09-09,5.477
2023-09-10,5.166
2023-09-11,5.009
2023-09-12,5.033
2023-09-13,5.183
2023-09-14,5.212
2023-09-15,5.265
2023-09-16,5.314
2023-09-17,5.224
2023-09-18,5.178
2023-09-19,5.22
2023-09-20,5.164
2023-09-21,5.091
2023-09-22,5.128
2023-09-23,5.147
2023-09-24,5.314
2023-09-25,5.562
2023-09-26,5.311
2023-09-27,5.32
2023-09-28,5.326
2023-09-29,5.393
2023-09-30,5.485
2023-10-01,5.669
2023-10-02,5.437
2023-10-03,5.344
2023-10-04,5.317
2023-10-05,5.217
2023-10-06,5.325
2023-10-07,5.272
2023-10-08,5.197
2023-10-09,4.962
2023-10-10,4.912
2023-10-11,4.839
2023-10-12,4.832
2023-10-13,4.892
2023-10-14,4.943
2023-10-15,4.924
2023-10-16,5.056
2023-10-17,5.003
2023-10-18,4.937
2023-10-19,4.906
2023-10-20,5.047
2023-10-21,5.542
2023-10-22,6.154
2023-10-23,6.198
2023-10-24,6.29
2023-10-25,6.911
2023-10-26,6.527
2023-10-27,6.563
2023-10-28,6.839
2023-10-29,6.731
2023-10-30,6.869
2023-10-31,7.04
2023-11-01,7.108
2023-11-02,6.678
2023-11-03,6.698
2023-11-04,6.953
2023-11-05,6.871
2023-11-06,7.413
2023-11-07,7.264
2023-11-08,7.419
2023-11-09,7.292
2023-11-10,7.496
2023-11-11,7.677
2023-11-12,7.819
2023-11-13,7.322
2023-11-14,7.123
2023-11-15,7.694
2023-11-16,7.283
2023-11-17,7.257
2023-11-18,7.072
2023-11-19,7.209
2023-11-20,7.2
2023-11-21,6.775
2023-11-22,7.32
2023-11-23,7.229
2023-11-24,7.441
2023-11-25,7.41
2023-11-26,7.275
2023-11-27,6.952
2023-11-28,7.028
2023-11-29,7.022
2023-11-30,6.98
2023-12-01,7.062
2023-12-02,7.347
2023-12-03,7.31
2023-12-04,7.778
2023-12-05,7.709
2023-12-06,7.388
2023-12-07,7.949
2023-12-08,8.503
2023-12-09,8.255
2023-12-10,8.44
2023-12-11,7.794
2023-12-12,9.116
2023-12-13,8.578
2023-12-14,8.424
2023-12-15,8.225
2023-12-16,8.178
2023-12-17,8.05
2023-12-18,7.89
2023-12-19,8.095
2023-12-20,8.117
2023-12-21,8.528
2023-12-22,9.264
2023-12-23,9.318
2023-12-24,9.32
2023-12-25,10.422
2023-12-26,10.756
2023-12-27,10.151
2023-12-28,9.629
2023-12-29,9.687
2023-12-30,9.393
2023-12-31,9.4
2024-01-01,9.953
2024-01-02,10.264
2024-01-03,9.061
2024-01-04,10.322
2024-01-05,9.644
2024-01-06,9.047
2024-01-07,8.475
2024-01-08,8.807
2024-01-09,8.28
2024-01-10,8.885
2024-01-11,9.445
2024-01-12,9.019
2024-01-13,10.004
2024-01-14,9.678
2024-01-15,9.509
2024-01-16,9.437
2024-01-17,9.341
2024-01-18,8.724
2024-01-19,8.581
2024-01-20,8.571
2024-01-21,8.445
2024-01-22,8.049
2024-01-23,8.74
2024-01-24,8.574
2024-01-25,8.332
2024-01-26,8.719
2024-01-27,9.12
2024-01-28,8.867
2024-01-29,9.212
2024-01-30,9.066
2024-01-31,8.849
2024-02-01,9.228
2024-02-02,9.408
2024-02-03,9.155
2024-02-04,8.834
2024-02-05,8.665
2024-02-06,8.593
2024-02-07,8.788
2024-02-08,8.757
2024-02-09,9.093
2024-02-10,9.08
2024-02-11,9.045
2024-02-12,9.168
2024-02-13,9.212
2024-02-14,9.452
2024-02-15,10.174
2024-02-16,9.815
2024-02-17,9.705
2024-02-18,9.698
2024-02-19,10.127
2024-02-20,9.643
2024-02-21,9.243
2024-02-22,9.236
2024-02-23,9.126
2024-02-24,9.48
2024-02-25,9.667
2024-02-26,10.156
2024-02-27,9.959
2024-02-28,12.388
2024-02-29,11.724
2024-03-01,11.866
2024-03-02,12.154
2024-03-03,11.614
2024-03-04,12.102
2024-03-05,13.672
2024-03-06,13.699
2024-03-07,13.259
2024-03-08,13.235
2024-03-09,13.164
2024-03-10,12.756
2024-03-11,13.492
2024-03-12,13.389
2024-03-13,13.165
2024-03-14,14.318
2024-03-15,15.133
2024-03-16,13.322
2024-03-17,14.036
2024-03-18,14.435
2024-03-19,15.449
2024-03-20,15.602
2024-03-21,15.038
2024-03-22,16.271
2024-03-23,16.155
2024-03-24,16.358
2024-03-25,17.356
2024-03-26,18.088
2024-03-27,17.709
2024-03-28,17.391
2024-03-29,17.224
2024-03-30,16.625
2024-03-31,17.088
2024-04-01,16.706
2024-04-02,14.715
2024-04-03,14.156
2024-04-04,14.165
2024-04-05,13.153
