DATETIME,price
2020-09-24,4.6133
2020-09-25,4.6867
2020-09-26,4.5203
2020-09-27,4.6391
2020-09-28,4.1955
2020-09-29,4.1314
2020-09-30,4.321
2020-10-02,3.8972
2020-10-03,4.0169
2020-10-04,3.9608
2020-10-05,3.976
2020-10-06,3.5338
2020-10-07,3.4413
2020-10-08,3.9034
2020-10-09,4.2356
2020-10-10,4.0142
2020-10-11,4.0924
2020-10-12,4.4123
2020-10-13,4.4774
2020-10-14,4.1513
2020-10-15,4.1266
2020-10-16,4.0281
2020-10-17,4.189
2020-10-18,4.1186
2020-10-19,4.0401
2020-10-20,3.7938
2020-10-21,3.9601
2020-10-22,4.3346
2020-10-23,4.2541
2020-10-24,4.1815
2020-10-25,4.1429
2020-10-26,4.142
2020-10-27,4.1245
2020-10-28,4.0505
2020-10-29,3.7776
2020-10-30,3.716
2020-10-31,3.6403
2020-11-02,3.6079
2020-11-03,3.3318
2020-11-04,3.1748
2020-11-05,3.337
2020-11-06,3.5966
2020-11-07,3.4209
2020-11-08,3.475
2020-11-09,3.4189
2020-11-10,3.5736
2020-11-11,3.4865
2020-11-12,3.4219
2020-11-13,3.6781
2020-11-14,3.4863
2020-11-15,3.5424
2020-11-16,3.7074
2020-11-17,3.8463
2020-11-18,3.7491
2020-11-19,3.6398
2020-11-20,3.7217
2020-11-21,4.0412
2020-11-22,3.9028
2020-11-23,4.0805
2020-11-24,4.2712
2020-11-25,4.0444
2020-11-26,3.5386
2020-11-27,3.5851
2020-11-28,3.6317
2020-11-29,3.7037
2020-11-30,3.7075
2020-12-02,3.7354
2020-12-03,3.8171
2020-12-04,3.5359
2020-12-05,3.6408
2020-12-06,3.5984
2020-12-07,3.3765
2020-12-08,3.1113
2020-12-09,3.2588
2020-12-10,3.1474
2020-12-11,3.2383
2020-12-12,3.3375
2020-12-13,3.3445
2020-12-14,3.1491
2020-12-15,3.3012
2020-12-16,3.3461
2020-12-17,3.2177
2020-12-18,3.4123
2020-12-19,3.466
2020-12-20,3.3144
2020-12-21,3.0923
2020-12-22,3.0735
2020-12-23,2.9529
2020-12-24,3.1062
2020-12-25,2.9534
2020-12-26,2.9265
2020-12-27,2.91
2020-12-28,2.9646
2020-12-29,2.9253
2020-12-30,2.9166
2020-12-31,3.1926
2021-01-02,3.505
2021-01-03,3.4907
2021-01-04,3.6036
2021-01-05,4.2626
2021-01-06,4.5808
2021-01-07,4.4722
2021-01-08,5.7084
2021-01-09,7.1895
2021-01-10,6.5449
2021-01-11,6.4571
2021-01-12,7.7118
2021-01-13,8.4617
2021-01-14,9.3204
2021-01-15,9.3586
2021-01-16,12.7952
2021-01-17,13.1289
2021-01-18,12.6751
2021-01-19,11.7022
2021-01-20,12.3692
2021-01-21,11.2759
2021-01-22,12.7114
2021-01-23,12.8923
2021-01-24,12.4682
2021-01-25,12.1388
2021-01-26,12.1862
2021-01-27,11.1092
2021-01-28,11.9178
2021-01-29,11.5976
2021-01-30,12.0375
2021-01-31,13.4644
2021-02-02,13.4628
2021-02-03,14.8534
2021-02-04,15.29
2021-02-05,17.8632
2021-02-06,18.119
2021-02-07,23.7402
2021-02-08,30.1671
2021-02-09,31.9082
2021-02-10,54.9172
2021-02-11,47.5001
2021-02-12,48.4247
2021-02-13,44.2039
2021-02-14,39.2
2021-02-15,38.1642
2021-02-16,36.6762
2021-02-17,37.1984
2021-02-18,41.1329
2021-02-19,38.8859
2021-02-20,36.0081
2021-02-21,36.2344
2021-02-22,32.2924
2021-02-23,27.5483
2021-02-24,29.6555
2021-02-25,26.7276
2021-02-26,25.9372
2021-02-27,25.677
2021-02-28,23.925
2021-03-02,27.1118
2021-03-03,27.2227
2021-03-04,25.7677
2021-03-05,24.2636
2021-03-06,24.9377
2021-03-07,26.7401
2021-03-08,25.63
2021-03-09,34.3501
2021-03-10,29.6156
2021-03-11,30.8663
2021-03-12,28.0242
2021-03-13,30.9576
2021-03-14,28.8123
2021-03-15,28.9611
2021-03-16,33.0058
2021-03-17,32.7399
2021-03-18,33.2432
2021-03-19,37.3661
2021-03-20,34.231
2021-03-21,32.8665
2021-03-22,29.193
2021-03-23,28.4859
2021-03-24,25.8228
2021-03-25,25.8246
2021-03-26,28.2868
2021-03-27,27.6364
2021-03-28,28.7914
2021-03-29,29.6
2021-03-30,29.6998
2021-03-31,28.8004
2021-04-02,29.1181
2021-04-03,28.177
2021-04-04,29.2138
2021-04-05,31.355
2021-04-06,31.5321
2021-04-07,29.5754
2021-04-08,30.7944
2021-04-09,31.5737
2021-04-10,31.8805
2021-04-11,31.6214
2021-04-12,33.9088
2021-04-13,33.7292
2021-04-14,38.489
2021-04-15,37.0683
2021-04-16,35.5202
2021-04-17,33.9586
2021-04-18,29.3351
2021-04-19,26.1768
2021-04-20,27.4302
2021-04-21,25.8407
2021-04-22,23.97
2021-04-23,23.5679
2021-04-24,21.8333
2021-04-25,21.6154
2021-04-26,26.408
2021-04-27,28.0003
2021-04-28,28.2819
2021-04-29,27.9664
2021-04-30,32.8467
2021-05-02,31.2878
2021-05-03,35.9222
2021-05-04,30.3941
2021-05-05,35.3226
2021-05-06,38.103
2021-05-07,37.8974
2021-05-08,38.4214
2021-05-09,39.025
2021-05-10,34.6661
2021-05-11,36.78
2021-05-12,32.992
2021-05-13,35.008
2021-05-14,37.017
2021-05-15,34.528
2021-05-16,36.652
2021-05-17,33.679
2021-05-18,36.966
2021-05-19,22.958
2021-05-20,25.022
2021-05-21,21.775
2021-05-22,18.746
2021-05-23,15.583
2021-05-24,19.422
2021-05-25,19.453
2021-05-26,20.816
2021-05-27,19.119
2021-05-28,16.716
2021-05-29,16.152
2021-05-30,16.497
2021-05-31,18.124
2021-06-02,18.686
2021-06-03,20.262
2021-06-04,18.224
2021-06-05,17.202
2021-06-06,17.375
2021-06-07,15.52
2021-06-08,14.771
2021-06-09,15.392
2021-06-10,14.178
2021-06-11,13.405
2021-06-12,13.529
2021-06-13,14.734
2021-06-14,15.107
2021-06-15,14.716
2021-06-16,14.072
2021-06-17,14.846
2021-06-18,13.636
2021-06-19,13.365
2021-06-20,13.911
2021-06-21,11.168
2021-06-22,10.573
2021-06-23,11.449
2021-06-24,11.491
2021-06-25,10.227
2021-06-26,10.307
2021-06-27,10.949
2021-06-28,11.33
2021-06-29,11.92
2021-06-30,11.942
2021-07-02,11.1
2021-07-03,11.491
2021-07-04,12.348
2021-07-05,12.028
2021-07-06,13.375
2021-07-07,13.087
2021-07-08,12.098
2021-07-09,12.556
2021-07-10,12.023
2021-07-11,12.428
2021-07-12,12.148
2021-07-13,11.907
