DATETIME,price
2020-01-02,195.73
2020-01-03,222.31
2020-01-04,224.37
2020-01-05,222.68
2020-01-06,244.1
2020-01-07,242.32
2020-01-08,240.17
2020-01-09,238.03
2020-01-10,271.71
2020-01-11,260.84
2020-01-12,270.77
2020-01-13,267.0
2020-01-14,348.76
2020-01-15,340.3
2020-01-16,326.77
2020-01-17,368.2
2020-01-18,339.63
2020-01-19,339.62
2020-01-20,343.88
2020-01-21,343.48
2020-01-22,349.12
2020-01-23,325.55
2020-01-24,319.2
2020-01-25,310.49
2020-01-26,347.89
2020-01-27,362.79
2020-01-28,378.82
2020-01-29,380.4
2020-01-30,392.81
2020-01-31,375.22
2020-02-02,377.72
2020-02-03,384.42
2020-02-04,381.04
2020-02-05,445.34
2020-02-06,446.26
2020-02-07,439.66
2020-02-08,444.89
2020-02-09,450.5
2020-02-10,452.63
2020-02-11,462.8
2020-02-12,474.07
2020-02-13,477.33
2020-02-14,494.15
2020-02-15,439.29
2020-02-16,412.12
2020-02-17,413.23
2020-02-18,420.83
2020-02-19,378.61
2020-02-20,370.97
2020-02-21,378.45
2020-02-22,373.41
2020-02-23,402.06
2020-02-24,378.53
2020-02-25,353.31
2020-02-26,316.94
2020-02-27,324.75
2020-02-28,315.17
2020-02-29,306.32
2020-03-02,339.54
2020-03-03,329.65
2020-03-04,319.74
2020-03-05,337.39
2020-03-06,350.72
2020-03-07,331.06
2020-03-08,273.18
2020-03-09,273.21
2020-03-10,272.03
2020-03-11,267.4
2020-03-12,142.74
2020-03-13,177.39
2020-03-14,167.38
2020-03-15,178.34
2020-03-16,172.41
2020-03-17,182.46
2020-03-18,184.94
2020-03-19,220.99
2020-03-20,215.23
2020-03-21,220.1
2020-03-22,202.8
2020-03-23,221.37
2020-03-24,227.42
2020-03-25,220.79
2020-03-26,227.95
2020-03-27,213.27
2020-03-28,213.84
2020-03-29,205.5
2020-03-30,220.08
2020-03-31,218.39
2020-04-02,232.02
2020-04-03,236.19
2020-04-04,238.23
2020-04-05,231.08
2020-04-06,258.25
2020-04-07,252.51
2020-04-08,267.47
2020-04-09,256.0
2020-04-10,232.6
2020-04-11,232.72
2020-04-12,232.86
2020-04-13,223.13
2020-04-14,223.18
2020-04-15,215.06
2020-04-16,235.12
2020-04-17,232.11
2020-04-18,243.89
2020-04-19,231.29
2020-04-20,219.14
2020-04-21,219.49
2020-04-22,233.12
2020-04-23,237.61
2020-04-24,238.05
2020-04-25,238.24
2020-04-26,246.51
2020-04-27,242.98
2020-04-28,241.17
2020-04-29,258.06
2020-04-30,250.32
2020-05-02,261.25
2020-05-03,251.69
2020-05-04,245.76
2020-05-05,247.04
2020-05-06,241.49
2020-05-07,252.25
2020-05-08,260.63
2020-05-09,265.67
2020-05-10,232.8
2020-05-11,235.18
2020-05-12,233.21
2020-05-13,239.36
2020-05-14,242.5
2020-05-15,235.17
2020-05-16,236.42
2020-05-17,240.75
2020-05-18,248.58
2020-05-19,246.82
2020-05-20,239.81
2020-05-21,228.1
2020-05-22,234.65
2020-05-23,233.99
2020-05-24,222.91
2020-05-25,230.56
2020-05-26,227.95
2020-05-27,232.81
2020-05-28,239.92
2020-05-29,238.5
2020-05-30,252.56
2020-05-31,238.78
2020-06-02,251.04
2020-06-03,253.49
2020-06-04,256.37
2020-06-05,256.3
2020-06-06,253.33
2020-06-07,253.64
2020-06-08,255.47
2020-06-09,254.14
2020-06-10,257.0
2020-06-11,234.84
2020-06-12,240.99
2020-06-13,240.82
2020-06-14,237.46
2020-06-15,235.56
2020-06-16,237.4
2020-06-17,240.37
2020-06-18,236.12
2020-06-19,233.37
2020-06-20,232.69
2020-06-21,230.3
2020-06-22,241.01
2020-06-23,240.78
2020-06-24,232.82
2020-06-25,232.46
2020-06-26,230.7
2020-06-27,216.3
2020-06-28,222.64
2020-06-29,225.29
2020-06-30,222.17
2020-07-02,219.69
2020-07-03,220.76
2020-07-04,225.27
2020-07-05,222.3
2020-07-06,242.27
2020-07-07,237.85
2020-07-08,243.34
2020-07-09,238.14
2020-07-10,238.54
2020-07-11,236.7
2020-07-12,237.55
2020-07-13,232.2
2020-07-14,230.38
2020-07-15,227.65
2020-07-16,224.38
2020-07-17,222.8
2020-07-18,224.52
2020-07-19,227.94
2020-07-20,222.79
2020-07-21,230.48
2020-07-22,240.13
2020-07-23,238.6
2020-07-24,235.26
2020-07-25,251.46
2020-07-26,247.79
2020-07-27,269.09
2020-07-28,289.32
2020-07-29,288.22
2020-07-30,291.75
2020-07-31,300.88
2020-08-02,284.45
2020-08-03,297.13
2020-08-04,288.47
2020-08-05,293.9
2020-08-06,309.37
2020-08-07,302.6
2020-08-08,305.6
2020-08-09,300.33
2020-08-10,302.81
2020-08-11,281.98
2020-08-12,284.97
2020-08-13,296.29
2020-08-14,293.8
2020-08-15,302.68
2020-08-16,308.9
2020-08-17,318.31
2020-08-18,303.37
2020-08-19,293.0
2020-08-20,294.93
2020-08-21,283.24
2020-08-22,286.74
2020-08-23,284.96
2020-08-24,291.01
2020-08-25,275.78
2020-08-26,275.2
2020-08-27,264.99
2020-08-28,268.88
2020-08-29,268.36
2020-08-30,279.61
2020-08-31,273.87
2020-09-02,264.15
2020-09-03,213.63
2020-09-04,229.88
2020-09-05,225.71
2020-09-06,227.7
2020-09-07,228.79
2020-09-08,222.37
2020-09-09,224.01
2020-09-10,227.44
2020-09-11,225.27
2020-09-12,230.32
2020-09-13,222.1
2020-09-14,225.85
2020-09-15,235.3
2020-09-16,230.8
2020-09-17,232.91
2020-09-18,234.12
2020-09-19,233.23
2020-09-20,226.19
2020-09-21,212.37
2020-09-22,220.08
2020-09-23,207.98
2020-09-24,216.26
2020-09-25,216.47
2020-09-26,221.34
2020-09-27,229.55
2020-09-28,225.87
2020-09-29,229.1
2020-09-30,228.06
2020-10-02,219.67
2020-10-03,218.41
2020-10-04,220.93
2020-10-05,221.66
2020-10-06,219.55
2020-10-07,223.0
2020-10-08,233.98
2020-10-09,237.33
2020-10-10,237.41
2020-10-11,239.05
2020-10-12,239.65
2020-10-13,253.4
2020-10-14,259.0
2020-10-15,262.26
2020-10-16,250.48
2020-10-17,244.83
2020-10-18,249.4
2020-10-19,250.02
