DATETIME,price
2020-02-11,25.705
2020-02-12,26.451
2020-02-13,25.456
2020-02-14,26.384
2020-02-15,24.239
2020-02-16,23.389
2020-02-17,23.452
2020-02-18,24.094
2020-02-19,22.367
2020-02-20,22.191
2020-02-21,22.209
2020-02-22,22.008
2020-02-23,22.868
2020-02-24,22.11
2020-02-25,20.34
2020-02-26,18.729
2020-02-27,19.154
2020-02-28,19.001
2020-02-29,19.257
2020-03-02,19.9
2020-03-03,19.685
2020-03-04,19.969
2020-03-05,20.754
2020-03-06,21.379
2020-03-07,20.269
2020-03-08,16.897
2020-03-09,16.589
2020-03-10,16.85
2020-03-11,16.591
2020-03-12,9.277
2020-03-13,10.958
2020-03-14,10.135
2020-03-15,10.393
2020-03-16,9.422
2020-03-17,10.241
2020-03-18,10.392
2020-03-19,12.267
2020-03-20,11.911
2020-03-21,12.101
2020-03-22,11.16
2020-03-23,12.172
2020-03-24,12.404
2020-03-25,12.304
2020-03-26,13.202
2020-03-27,12.317
2020-03-28,12.175
2020-03-29,11.267
2020-03-30,12.123
2020-03-31,12.536
2020-04-02,13.008
2020-04-03,13.359
2020-04-04,13.781
2020-04-05,13.699
2020-04-06,15.189
2020-04-07,14.725
2020-04-08,15.098
2020-04-09,15.013
2020-04-10,13.708
2020-04-11,13.804
2020-04-12,14.287
2020-04-13,15.0
2020-04-14,15.593
2020-04-15,14.544
2020-04-16,15.737
2020-04-17,15.61
2020-04-18,16.58
2020-04-19,16.035
2020-04-20,14.928
2020-04-21,15.113
2020-04-22,15.697
2020-04-23,16.049
2020-04-24,15.93
2020-04-25,16.233
2020-04-26,16.347
2020-04-27,16.414
2020-04-28,16.335
2020-04-29,17.333
2020-04-30,16.928
2020-05-02,17.52
2020-05-03,17.083
2020-05-04,17.003
2020-05-05,16.85
2020-05-06,16.391
2020-05-07,16.997
2020-05-08,17.145
2020-05-09,16.766
2020-05-10,15.309
2020-05-11,15.073
2020-05-12,15.756
2020-05-13,16.177
2020-05-14,16.361
2020-05-15,15.71
2020-05-16,16.059
2020-05-17,16.293
2020-05-18,16.638
2020-05-19,17.215
2020-05-20,16.887
2020-05-21,16.097
2020-05-22,16.606
2020-05-23,16.49
2020-05-24,15.952
2020-05-25,16.385
2020-05-26,16.219
2020-05-27,16.481
2020-05-28,17.092
2020-05-29,17.016
2020-05-30,17.737
2020-05-31,17.089
2020-06-02,17.274
2020-06-03,17.573
2020-06-04,17.526
2020-06-05,17.686
2020-06-06,17.567
2020-06-07,17.415
2020-06-08,17.453
2020-06-09,17.383
2020-06-10,17.419
2020-06-11,16.231
2020-06-12,16.643
2020-06-13,16.807
2020-06-14,16.566
2020-06-15,16.378
2020-06-16,16.429
2020-06-17,16.39
2020-06-18,16.169
2020-06-19,15.966
2020-06-20,16.071
2020-06-21,15.982
2020-06-22,16.514
2020-06-23,16.396
2020-06-24,16.037
2020-06-25,15.925
2020-06-26,15.778
2020-06-27,15.139
2020-06-28,15.386
2020-06-29,15.48
2020-06-30,15.411
2020-07-02,15.375
2020-07-03,15.288
2020-07-04,15.574
2020-07-05,15.502
