DATETIME,price
2020-01-02,6962.04
2020-01-03,7341.72
2020-01-04,7350.71
2020-01-05,7354.36
2020-01-06,7757.39
2020-01-07,8152.49
2020-01-08,8059.84
2020-01-09,7818.59
2020-01-10,8207.09
2020-01-11,8020.56
2020-01-12,8186.7
2020-01-13,8113.0
2020-01-14,8825.0
2020-01-15,8825.3
2020-01-16,8725.08
2020-01-17,8918.72
2020-01-18,8925.0
2020-01-19,8705.85
2020-01-20,8650.0
2020-01-21,8742.43
2020-01-22,8684.57
2020-01-23,8409.6
2020-01-24,8441.96
2020-01-25,8344.64
2020-01-26,8611.21
2020-01-27,8913.61
2020-01-28,9398.98
2020-01-29,9311.0
2020-01-30,9525.67
2020-01-31,9364.51
2020-02-02,9338.2
2020-02-03,9300.64
2020-02-04,9198.35
2020-02-05,9630.0
2020-02-06,9778.12
2020-02-07,9821.52
2020-02-08,9906.43
2020-02-09,10167.38
2020-02-10,9865.56
2020-02-11,10229.06
2020-02-12,10339.99
2020-02-13,10239.63
2020-02-14,10356.82
2020-02-15,9914.99
2020-02-16,9921.86
2020-02-17,9716.0
2020-02-18,10174.32
2020-02-19,9593.65
2020-02-20,9601.99
2020-02-21,9681.39
2020-02-22,9659.2
2020-02-23,9943.12
2020-02-24,9662.95
2020-02-25,9326.0
2020-02-26,8792.22
2020-02-27,8828.0
2020-02-28,8699.57
2020-02-29,8531.98
2020-03-02,8919.7
2020-03-03,8765.0
2020-03-04,8756.93
2020-03-05,9062.81
2020-03-06,9139.48
2020-03-07,8897.18
2020-03-08,8038.46
2020-03-09,7932.15
2020-03-10,7897.66
2020-03-11,7938.39
2020-03-12,4764.65
2020-03-13,5570.26
2020-03-14,5167.01
2020-03-15,5357.32
2020-03-16,5026.26
2020-03-17,5307.38
2020-03-18,5389.64
2020-03-19,6159.6
2020-03-20,6203.77
2020-03-21,6183.69
2020-03-22,5810.17
2020-03-23,6463.84
2020-03-24,6741.33
2020-03-25,6673.41
2020-03-26,6733.76
2020-03-27,6353.64
2020-03-28,6230.95
2020-03-29,5876.27
2020-03-30,6391.08
2020-03-31,6407.1
2020-04-02,6791.63
2020-04-03,6729.8
2020-04-04,6851.1
2020-04-05,6768.9
2020-04-06,7325.73
2020-04-07,7192.9
2020-04-08,7357.66
2020-04-09,7278.65
2020-04-10,6857.82
2020-04-11,6874.18
2020-04-12,6900.52
2020-04-13,6834.0
2020-04-14,6864.11
2020-04-15,6616.89
2020-04-16,7098.15
2020-04-17,7022.44
2020-04-18,7242.42
2020-04-19,7118.03
2020-04-20,6825.29
2020-04-21,6838.0
2020-04-22,7120.06
2020-04-23,7483.35
2020-04-24,7504.11
2020-04-25,7534.01
2020-04-26,7694.17
2020-04-27,7774.0
2020-04-28,7735.75
2020-04-29,8784.2
2020-04-30,8624.76
2020-05-02,8975.18
2020-05-03,8900.0
2020-05-04,8873.98
2020-05-05,9022.78
2020-05-06,9148.27
2020-05-07,9995.0
2020-05-08,9807.49
2020-05-09,9550.67
2020-05-10,8719.53
2020-05-11,8561.09
2020-05-12,8808.71
2020-05-13,9305.91
2020-05-14,9786.8
2020-05-15,9310.73
2020-05-16,9374.99
2020-05-17,9678.57
2020-05-18,9731.1
2020-05-19,9773.64
2020-05-20,9508.11
2020-05-21,9060.0
2020-05-22,9166.4
2020-05-23,9176.41
2020-05-24,8711.37
2020-05-25,8895.65
2020-05-26,8837.05
2020-05-27,9197.32
