DATETIME,price
2021-03-25,0.009788
2021-03-26,0.010579
2021-03-27,0.010276
2021-03-28,0.010103
2021-03-29,0.011946
2021-03-30,0.013204
2021-03-31,0.01236
2021-04-02,0.015053
2021-04-03,0.016024
2021-04-04,0.01743
2021-04-05,0.019374
2021-04-06,0.017148
2021-04-07,0.014129
2021-04-08,0.016569
2021-04-09,0.014802
2021-04-10,0.013948
2021-04-11,0.014084
2021-04-12,0.013001
2021-04-13,0.011983
2021-04-14,0.011654
2021-04-15,0.011679
2021-04-16,0.01157
2021-04-17,0.011943
2021-04-18,0.010136
2021-04-19,0.008853
2021-04-20,0.008729
2021-04-21,0.008298
2021-04-22,0.007118
2021-04-23,0.007437
2021-04-24,0.007549
2021-04-25,0.007967
2021-04-26,0.010493
2021-04-27,0.011455
2021-04-28,0.010976
2021-04-29,0.011169
2021-04-30,0.011453
2021-05-02,0.010637
2021-05-03,0.010906
2021-05-04,0.009334
2021-05-05,0.009797
2021-05-06,0.009594
2021-05-07,0.00958
2021-05-08,0.009423
2021-05-09,0.009075
2021-05-10,0.007655
2021-05-11,0.007985
2021-05-12,0.00607
2021-05-13,0.006321
2021-05-14,0.006751
2021-05-15,0.006161
2021-05-16,0.007274
2021-05-17,0.00627
2021-05-18,0.006135
2021-05-19,0.00364
2021-05-20,0.004366
2021-05-21,0.003778
2021-05-22,0.003776
2021-05-23,0.003014
2021-05-24,0.003827
2021-05-25,0.00406
2021-05-26,0.004732
2021-05-27,0.004222
2021-05-28,0.003728
2021-05-29,0.003365
2021-05-30,0.003595
2021-05-31,0.003905
2021-06-02,0.003931
2021-06-03,0.00417
2021-06-04,0.003661
2021-06-05,0.003474
2021-06-06,0.003701
2021-06-07,0.003271
2021-06-08,0.003391
2021-06-09,0.00377
2021-06-10,0.003329
2021-06-11,0.003226
2021-06-12,0.003109
2021-06-13,0.003399
2021-06-14,0.003447
2021-06-15,0.003501
2021-06-16,0.00339
2021-06-17,0.003379
2021-06-18,0.003079
2021-06-19,0.002999
2021-06-20,0.002951
2021-06-21,0.002337
2021-06-22,0.002139
2021-06-23,0.002303
2021-06-24,0.00248
2021-06-25,0.00218
2021-06-26,0.00223
2021-06-27,0.00234
2021-06-28,0.002326
2021-06-29,0.002677
2021-06-30,0.002637
2021-07-02,0.002379
2021-07-03,0.002455
2021-07-04,0.002516
2021-07-05,0.002339
2021-07-06,0.002395
2021-07-07,0.002438
2021-07-08,0.002268
2021-07-09,0.002292
2021-07-10,0.002258
2021-07-11,0.002278
2021-07-12,0.002225
2021-07-13,0.002126
2021-07-14,0.002085
2021-07-15,0.002013
2021-07-16,0.001875
2021-07-17,0.001925
2021-07-18,0.001898
2021-07-19,0.001789
2021-07-20,0.001615
2021-07-21,0.001816
2021-07-22,0.001883
2021-07-23,0.002127
2021-07-24,0.00222
2021-07-25,0.00227
2021-07-26,0.002511
2021-07-27,0.002584
2021-07-28,0.002487
2021-07-29,0.002455
2021-07-30,0.002559
2021-07-31,0.002497
2021-08-02,0.002438
2021-08-03,0.00234
2021-08-04,0.002439
2021-08-05,0.002568
2021-08-06,0.002894
2021-08-07,0.002927
2021-08-08,0.003223
2021-08-09,0.003346
2021-08-10,0.0033
2021-08-11,0.004275
2021-08-12,0.004412
2021-08-13,0.005918
2021-08-14,0.008124
2021-08-15,0.007442
2021-08-16,0.006569
2021-08-17,0.006192
2021-08-18,0.006158
2021-08-19,0.007457
2021-08-20,0.007024
2021-08-21,0.006686
2021-08-22,0.006895
2021-08-23,0.007022
2021-08-24,0.006466
2021-08-25,0.006646
2021-08-26,0.005873
2021-08-27,0.006453
2021-08-28,0.00641
2021-08-29,0.006223
2021-08-30,0.005856
2021-08-31,0.00579
2021-09-02,0.00718
2021-09-03,0.006748
2021-09-04,0.006778
2021-09-05,0.00706
2021-09-06,0.006826
2021-09-07,0.005146
2021-09-08,0.005082
2021-09-09,0.005115
2021-09-10,0.004748
2021-09-11,0.004806
2021-09-12,0.005065
2021-09-13,0.004662
2021-09-14,0.004908
2021-09-15,0.005159
2021-09-16,0.004911
2021-09-17,0.004737
2021-09-18,0.004836
2021-09-19,0.004735
2021-09-20,0.003966
2021-09-21,0.003657
2021-09-22,0.004232
2021-09-23,0.004302
2021-09-24,0.003935
2021-09-25,0.004154
2021-09-26,0.003962
2021-09-27,0.003848
2021-09-28,0.004361
2021-09-29,0.004172
2021-09-30,0.004403
2021-10-02,0.005691
2021-10-03,0.00575
2021-10-04,0.005731
2021-10-05,0.006602
2021-10-06,0.006097
2021-10-07,0.005839
2021-10-08,0.005836
2021-10-09,0.005828
2021-10-10,0.005318
2021-10-11,0.005603
2021-10-12,0.005316
2021-10-13,0.005449
2021-10-14,0.006029
2021-10-15,0.005728
2021-10-16,0.005721
2021-10-17,0.005881
2021-10-18,0.005763
2021-10-19,0.005791
2021-10-20,0.006197
2021-10-21,0.006169
2021-10-22,0.00602
2021-10-23,0.005995
2021-10-24,0.005772
2021-10-25,0.006003
2021-10-26,0.006315
2021-10-27,0.005278
2021-10-28,0.005419
2021-10-29,0.005761
2021-10-30,0.006043
2021-10-31,0.007057
2021-11-02,0.007702
2021-11-03,0.007381
2021-11-04,0.006987
2021-11-05,0.006912
2021-11-06,0.007144
2021-11-07,0.007035
2021-11-08,0.007176
2021-11-09,0.00688
2021-11-10,0.006377
2021-11-11,0.00703
2021-11-12,0.006711
2021-11-13,0.006739
2021-11-14,0.00692
2021-11-15,0.006938
2021-11-16,0.006197
2021-11-17,0.006292
2021-11-18,0.005605
2021-11-19,0.005962
2021-11-20,0.006266
2021-11-21,0.005844
2021-11-22,0.005628
2021-11-23,0.005732
2021-11-24,0.005383
2021-11-25,0.00559
2021-11-26,0.004921
2021-11-27,0.004939
2021-11-28,0.004907
2021-11-29,0.005019
2021-11-30,0.004948
2021-12-02,0.004928
2021-12-03,0.005311
2021-12-04,0.004164
2021-12-05,0.003785
2021-12-06,0.00393
2021-12-07,0.003952
2021-12-08,0.004046
2021-12-09,0.003597
2021-12-10,0.003517
2021-12-11,0.003677
2021-12-12,0.003649
2021-12-13,0.003218
2021-12-14,0.00334
2021-12-15,0.003502
2021-12-16,0.003362
2021-12-17,0.003214
2021-12-18,0.003276
2021-12-19,0.003218
2021-12-20,0.003215
2021-12-21,0.003422
2021-12-22,0.003555
2021-12-23,0.003992
2021-12-24,0.004409
2021-12-25,0.004553
2021-12-26,0.004674
2021-12-27,0.004481
2021-12-28,0.004005
2021-12-29,0.003961
2021-12-30,0.003981
2021-12-31,0.003866
2022-01-01,0.004013
2022-01-02,0.003935
2022-01-03,0.004098
2022-01-04,0.00393
2022-01-05,0.003537
2022-01-06,0.003556
2022-01-07,0.003391
2022-01-08,0.003226
2022-01-09,0.003286
2022-01-10,0.00311
2022-01-11,0.003513
2022-01-12,0.003833
2022-01-13,0.003792
2022-01-14,0.003663
2022-01-15,0.003712
2022-01-16,0.003793
2022-01-17,0.003574
2022-01-18,0.003708
2022-01-19,0.003507
2022-01-20,0.003249
2022-01-21,0.002769
2022-01-22,0.002497
2022-01-23,0.002543
2022-01-24,0.002472
2022-01-25,0.002507
2022-01-26,0.00253
2022-01-27,0.002448
2022-01-28,0.002534
2022-01-29,0.002599
2022-01-30,0.00251
2022-01-31,0.002621
2022-02-01,0.002618
2022-02-02,0.002486
2022-02-03,0.002515
2022-02-04,0.00281
2022-02-05,0.002937
2022-02-06,0.003055
2022-02-07,0.003272
2022-02-08,0.0033
2022-02-09,0.003326
2022-02-10,0.003118
2022-02-11,0.002882
2022-02-12,0.002901
2022-02-13,0.002781
2022-02-14,0.002831
2022-02-15,0.003112
2022-02-16,0.003031
2022-02-17,0.002749
2022-02-18,0.002645
2022-02-19,0.002675
2022-02-20,0.002535
2022-02-21,0.002319
2022-02-22,0.002402
2022-02-23,0.002326
2022-02-24,0.002284
2022-02-25,0.002406
2022-02-26,0.002381
2022-02-27,0.002284
2022-02-28,0.002644
2022-03-01,0.002632
2022-03-02,0.002519
2022-03-03,0.002503
2022-03-04,0.002347
2022-03-05,0.002441
2022-03-06,0.002255
2022-03-07,0.002283
2022-03-08,0.002332
2022-03-09,0.002512
2022-03-10,0.00236
2022-03-11,0.002301
2022-03-12,0.002324
2022-03-13,0.002257
2022-03-14,0.002307
2022-03-15,0.002273
2022-03-16,0.002361
2022-03-17,0.002361
2022-03-18,0.00243
2022-03-19,0.002643
2022-03-20,0.002577
2022-03-21,0.00261
2022-03-22,0.002825
2022-03-23,0.002858
2022-03-24,0.002931
2022-03-25,0.002797
2022-03-26,0.002878
2022-03-27,0.003435
2022-03-28,0.003204
2022-03-29,0.003312
2022-03-30,0.003333
