DATETIME,price
2020-07-11,0.003812
2020-07-12,0.003648
2020-07-13,0.003159
2020-07-14,0.003293
2020-07-15,0.003088
2020-07-16,0.002985
2020-07-17,0.003057
2020-07-18,0.003436
2020-07-19,0.003385
2020-07-20,0.003216
2020-07-21,0.003302
2020-07-22,0.003292
2020-07-23,0.003307
2020-07-24,0.003213
2020-07-25,0.003261
2020-07-26,0.003239
2020-07-27,0.003162
2020-07-28,0.003189
2020-07-29,0.003173
2020-07-30,0.003228
2020-07-31,0.00323
2020-08-02,0.00334
2020-08-03,0.003384
2020-08-04,0.003552
2020-08-05,0.003506
2020-08-06,0.003562
2020-08-07,0.003496
2020-08-08,0.003524
2020-08-09,0.003471
2020-08-10,0.003505
2020-08-11,0.003397
2020-08-12,0.003468
2020-08-13,0.003491
2020-08-14,0.003579
2020-08-15,0.003541
2020-08-16,0.003535
2020-08-17,0.003589
2020-08-18,0.003476
2020-08-19,0.003418
2020-08-20,0.003447
2020-08-21,0.003379
2020-08-22,0.003434
2020-08-23,0.003398
2020-08-24,0.00341
2020-08-25,0.003289
2020-08-26,0.003285
2020-08-27,0.003195
2020-08-28,0.003255
2020-08-29,0.003273
2020-08-30,0.003298
2020-08-31,0.00321
2020-09-02,0.003117
2020-09-03,0.00276
2020-09-04,0.002877
2020-09-05,0.00276
2020-09-06,0.002779
2020-09-07,0.002816
2020-09-08,0.002745
2020-09-09,0.002778
2020-09-10,0.002802
2020-09-11,0.002796
2020-09-12,0.002815
2020-09-13,0.002787
2020-09-14,0.002788
2020-09-15,0.002829
2020-09-16,0.002809
2020-09-17,0.002805
2020-09-18,0.002788
2020-09-19,0.002793
2020-09-20,0.002775
2020-09-21,0.002593
2020-09-22,0.002641
2020-09-23,0.00254
2020-09-24,0.00263
2020-09-25,0.002689
2020-09-26,0.002696
2020-09-27,0.002696
2020-09-28,0.002645
2020-09-29,0.002673
2020-09-30,0.002633
2020-10-02,0.002589
2020-10-03,0.002589
2020-10-04,0.002635
2020-10-05,0.002611
2020-10-06,0.002598
2020-10-07,0.00259
2020-10-08,0.002603
2020-10-09,0.002651
2020-10-10,0.002662
2020-10-11,0.002671
2020-10-12,0.002665
2020-10-13,0.00264
2020-10-14,0.002636
2020-10-15,0.002593
2020-10-16,0.002603
2020-10-17,0.002587
