DATETIME,price
2020-08-23,3.993
2020-08-24,4.594
2020-08-25,5.56
2020-08-26,6.092
2020-08-27,5.668
2020-08-28,6.179
2020-08-29,6.144
2020-08-30,5.899
2020-08-31,6.275
2020-09-02,6.136
2020-09-03,5.68
2020-09-04,5.105
2020-09-05,4.145
2020-09-06,4.789
2020-09-07,4.598
2020-09-08,4.274
2020-09-09,4.706
2020-09-10,4.577
2020-09-11,4.651
2020-09-12,5.143
2020-09-13,5.33
2020-09-14,5.365
2020-09-15,5.062
2020-09-16,5.082
2020-09-17,5.34
2020-09-18,5.268
2020-09-19,4.929
2020-09-20,4.661
2020-09-21,4.069
2020-09-22,4.164
2020-09-23,4.017
2020-09-24,4.38
2020-09-25,4.416
2020-09-26,4.331
2020-09-27,4.301
2020-09-28,4.456
2020-09-29,4.499
2020-09-30,4.35
2020-10-02,4.125
2020-10-03,4.061
2020-10-04,4.178
2020-10-05,4.16
2020-10-06,3.743
2020-10-07,3.85
2020-10-08,4.117
2020-10-09,4.257
2020-10-10,4.262
2020-10-11,4.248
2020-10-12,4.311
2020-10-13,4.254
2020-10-14,4.186
2020-10-15,4.103
2020-10-16,3.916
2020-10-17,3.967
2020-10-18,4.111
2020-10-19,3.989
2020-10-20,3.903
2020-10-21,4.136
2020-10-22,4.274
2020-10-23,4.266
2020-10-24,4.352
2020-10-25,4.33
2020-10-26,4.702
2020-10-27,4.677
2020-10-28,4.358
2020-10-29,4.055
2020-10-30,4.081
2020-10-31,4.18
2020-11-02,4.026
2020-11-03,4.033
2020-11-04,4.096
2020-11-05,4.224
2020-11-06,4.587
2020-11-07,4.235
2020-11-08,4.373
2020-11-09,4.349
2020-11-10,4.422
2020-11-11,4.45
2020-11-12,4.405
2020-11-13,4.543
2020-11-14,4.465
2020-11-15,4.366
2020-11-16,4.502
2020-11-17,4.864
2020-11-18,4.682
2020-11-19,4.759
2020-11-20,5.234
2020-11-21,5.796
2020-11-22,5.525
2020-11-23,5.919
2020-11-24,5.747
2020-11-25,5.306
2020-11-26,4.804
2020-11-27,4.81
2020-11-28,4.888
2020-11-29,5.19
2020-11-30,5.381
2020-12-02,5.457
2020-12-03,5.403
2020-12-04,4.999
2020-12-05,5.185
2020-12-06,5.132
2020-12-07,5.06
2020-12-08,4.74
2020-12-09,4.87
2020-12-10,4.8
2020-12-11,4.612
2020-12-12,4.738
2020-12-13,4.897
2020-12-14,4.896
2020-12-15,5.241
2020-12-16,5.372
2020-12-17,5.35
2020-12-18,5.365
2020-12-19,5.343
2020-12-20,5.19
2020-12-21,4.877
2020-12-22,5.154
2020-12-23,4.717
2020-12-24,5.115
2020-12-25,5.212
2020-12-26,5.193
2020-12-27,5.149
2020-12-28,6.608
2020-12-29,7.554
2020-12-30,7.244
2020-12-31,9.264
2021-01-02,9.213
2021-01-03,10.187
2021-01-04,9.524
2021-01-05,9.727
2021-01-06,10.082
2021-01-07,9.66
2021-01-08,9.303
2021-01-09,9.756
2021-01-10,9.306
2021-01-11,8.269
2021-01-12,8.299
2021-01-13,10.955
2021-01-14,14.5
2021-01-15,13.158
2021-01-16,17.943
2021-01-17,17.091
2021-01-18,16.601
2021-01-19,16.411
2021-01-20,18.017
2021-01-21,16.01
2021-01-22,17.134
2021-01-23,18.771
2021-01-24,18.002
2021-01-25,17.216
2021-01-26,17.117
2021-01-27,15.451
2021-01-28,16.896
2021-01-29,16.831
2021-01-30,16.55
2021-01-31,16.144
2021-02-02,17.213
2021-02-03,20.88
2021-02-04,19.695
2021-02-05,20.881
2021-02-06,20.405
2021-02-07,19.765
2021-02-08,23.04
2021-02-09,23.126
2021-02-10,23.615
2021-02-11,25.06
2021-02-12,28.702
2021-02-13,28.073
2021-02-14,26.931
2021-02-15,27.831
2021-02-16,30.12
2021-02-17,31.988
2021-02-18,31.156
2021-02-19,34.872
2021-02-20,38.979
2021-02-21,39.632
2021-02-22,37.663
2021-02-23,34.544
2021-02-24,33.642
2021-02-25,31.24
2021-02-26,31.449
2021-02-27,33.491
2021-02-28,33.805
2021-03-02,36.136
2021-03-03,37.043
2021-03-04,35.277
2021-03-05,33.64
2021-03-06,33.395
2021-03-07,35.132
2021-03-08,35.023
2021-03-09,38.291
2021-03-10,37.584
2021-03-11,36.957
2021-03-12,35.957
2021-03-13,37.242
2021-03-14,36.454
2021-03-15,34.33
2021-03-16,35.44
2021-03-17,36.154
2021-03-18,35.386
2021-03-19,38.252
2021-03-20,37.272
2021-03-21,36.723
2021-03-22,35.278
2021-03-23,34.237
2021-03-24,30.193
2021-03-25,29.807
2021-03-26,33.195
2021-03-27,32.628
2021-03-28,32.269
2021-03-29,34.391
2021-03-30,34.039
2021-03-31,37.122
2021-04-02,41.135
2021-04-03,41.421
2021-04-04,44.372
2021-04-05,45.93
2021-04-06,43.4
2021-04-07,39.571
2021-04-08,41.372
2021-04-09,40.847
2021-04-10,41.657
2021-04-11,41.4
2021-04-12,40.539
2021-04-13,43.021
2021-04-14,42.584
2021-04-15,43.494
2021-04-16,41.451
2021-04-17,42.09
2021-04-18,37.356
2021-04-19,34.767
2021-04-20,35.42
2021-04-21,33.817
2021-04-22,32.963
2021-04-23,32.257
2021-04-24,29.0
2021-04-25,29.831
2021-04-26,33.41
2021-04-27,34.824
2021-04-28,34.0
2021-04-29,35.989
2021-04-30,36.553
2021-05-02,36.658
2021-05-03,37.296
2021-05-04,34.796
2021-05-05,40.477
2021-05-06,41.637
2021-05-07,39.865
2021-05-08,39.953
2021-05-09,40.347
2021-05-10,36.479
2021-05-11,38.665
2021-05-12,35.072
2021-05-13,40.027
2021-05-14,48.063
2021-05-15,43.66
2021-05-16,42.461
2021-05-17,38.732
2021-05-18,40.616
2021-05-19,25.061
2021-05-20,28.942
2021-05-21,24.4
2021-05-22,22.052
2021-05-23,17.906
2021-05-24,23.268
2021-05-25,22.141
2021-05-26,24.529
2021-05-27,23.995
2021-05-28,21.349
2021-05-29,19.876
2021-05-30,20.458
2021-05-31,23.25
2021-06-02,25.886
2021-06-03,26.987
2021-06-04,24.967
2021-06-05,23.746
2021-06-06,24.178
2021-06-07,21.687
2021-06-08,21.635
2021-06-09,23.207
2021-06-10,22.675
2021-06-11,20.937
2021-06-12,20.728
2021-06-13,22.03
2021-06-14,25.84
2021-06-15,23.934
2021-06-16,23.026
2021-06-17,22.527
2021-06-18,21.418
2021-06-19,20.213
2021-06-20,20.605
2021-06-21,15.697
2021-06-22,14.674
2021-06-23,15.788
2021-06-24,16.217
2021-06-25,14.406
2021-06-26,14.498
2021-06-27,14.988
2021-06-28,15.795
2021-06-29,16.304
2021-06-30,16.388
2021-07-02,15.275
2021-07-03,15.519
2021-07-04,15.97
2021-07-05,15.213
2021-07-06,16.126
2021-07-07,16.862
2021-07-08,15.311
2021-07-09,15.673
2021-07-10,15.272
2021-07-11,15.494
2021-07-12,14.836
2021-07-13,14.186
2021-07-14,13.793
2021-07-15,13.091
2021-07-16,12.013
2021-07-17,12.29
2021-07-18,12.636
2021-07-19,11.45
2021-07-20,10.952
2021-07-21,12.336
2021-07-22,13.144
2021-07-23,13.386
2021-07-24,13.749
2021-07-25,13.723
2021-07-26,13.915
2021-07-27,14.346
2021-07-28,14.529
2021-07-29,15.252
2021-07-30,15.779
2021-07-31,16.766
2021-08-02,17.986
2021-08-03,17.428
2021-08-04,19.153
2021-08-05,19.133
2021-08-06,20.426
2021-08-07,20.985
2021-08-08,19.666
2021-08-09,20.578
2021-08-10,20.62
2021-08-11,21.362
2021-08-12,20.763
2021-08-13,22.747
2021-08-14,22.855
2021-08-15,23.162
2021-08-16,24.445
2021-08-17,23.568
2021-08-18,23.882
2021-08-19,26.61
2021-08-20,28.186
2021-08-21,27.887
2021-08-22,27.712
2021-08-23,27.901
2021-08-24,25.09
2021-08-25,26.005
2021-08-26,23.927
2021-08-27,26.555
2021-08-28,25.973
2021-08-29,25.726
2021-08-30,26.073
2021-08-31,31.359
2021-09-02,31.817
2021-09-03,33.601
2021-09-04,32.438
2021-09-05,34.463
2021-09-06,34.371
2021-09-07,27.982
2021-09-08,27.779
2021-09-09,29.844
2021-09-10,29.199
2021-09-11,31.593
2021-09-12,35.811
2021-09-13,34.876
2021-09-14,37.379
2021-09-15,36.493
2021-09-16,35.514
2021-09-17,33.051
2021-09-18,34.902
2021-09-19,33.867
2021-09-20,28.314
2021-09-21,26.374
2021-09-22,31.564
2021-09-23,33.384
2021-09-24,30.761
2021-09-25,29.808
2021-09-26,28.822
2021-09-27,27.688
2021-09-28,26.29
2021-09-29,27.253
2021-09-30,28.596
2021-10-02,32.014
2021-10-03,32.131
2021-10-04,31.169
2021-10-05,31.421
2021-10-06,32.223
2021-10-07,34.025
2021-10-08,33.385
2021-10-09,36.371
2021-10-10,34.442
2021-10-11,34.135
2021-10-12,35.185
2021-10-13,41.756
2021-10-14,40.699
2021-10-15,43.308
2021-10-16,41.775
2021-10-17,42.151
2021-10-18,41.185
2021-10-19,41.387
2021-10-20,44.457
2021-10-21,42.873
2021-10-22,43.532
2021-10-23,43.975
2021-10-24,42.333
2021-10-25,44.583
2021-10-26,44.965
2021-10-27,40.445
2021-10-28,41.853
2021-10-29,44.207
2021-10-30,42.778
2021-10-31,42.811
2021-11-02,51.74
2021-11-03,53.406
2021-11-04,53.879
2021-11-05,51.789
2021-11-06,52.059
2021-11-07,52.267
2021-11-08,53.424
2021-11-09,50.779
2021-11-10,46.737
2021-11-11,47.437
2021-11-12,45.891
2021-11-13,47.045
2021-11-14,46.409
2021-11-15,44.808
2021-11-16,40.828
2021-11-17,42.749
2021-11-18,39.011
2021-11-19,41.21
2021-11-20,42.11
2021-11-21,41.96
2021-11-22,39.487
2021-11-23,40.784
2021-11-24,38.316
2021-11-25,39.518
2021-11-26,34.527
2021-11-27,35.132
2021-11-28,35.733
2021-11-29,37.084
2021-11-30,37.931
2021-12-02,35.749
2021-12-03,33.689
2021-12-04,29.365
2021-12-05,28.292
2021-12-06,28.124
2021-12-07,30.454
2021-12-08,29.813
2021-12-09,26.884
2021-12-10,26.404
2021-12-11,27.803
2021-12-12,29.52
2021-12-13,25.953
2021-12-14,26.119
2021-12-15,27.116
2021-12-16,26.01
2021-12-17,24.628
2021-12-18,25.474
2021-12-19,24.767
2021-12-20,24.059
2021-12-21,25.141
2021-12-22,27.207
2021-12-23,29.144
2021-12-24,28.131
2021-12-25,28.834
2021-12-26,31.298
2021-12-27,30.974
2021-12-28,27.823
2021-12-29,26.79
2021-12-30,27.523
2021-12-31,26.645
2022-01-01,28.579
2022-01-02,29.673
2022-01-03,30.089
2022-01-04,28.677
2022-01-05,26.684
2022-01-06,26.698
2022-01-07,24.897
2022-01-08,23.974
2022-01-09,24.625
2022-01-10,23.705
2022-01-11,25.536
2022-01-12,27.303
2022-01-13,25.775
2022-01-14,27.73
2022-01-15,27.582
2022-01-16,27.675
2022-01-17,25.669
2022-01-18,25.116
2022-01-19,24.05
2022-01-20,22.976
2022-01-21,19.628
2022-01-22,18.253
2022-01-23,18.791
2022-01-24,18.006
2022-01-25,18.299
2022-01-26,18.06
2022-01-27,18.091
2022-01-28,18.318
2022-01-29,18.724
2022-01-30,18.118
2022-01-31,19.368
2022-02-01,19.553
2022-02-02,18.753
2022-02-03,18.897
2022-02-04,20.475
2022-02-05,21.312
2022-02-06,21.894
2022-02-07,22.346
2022-02-08,21.646
2022-02-09,21.929
2022-02-10,20.496
2022-02-11,18.955
2022-02-12,18.806
2022-02-13,18.722
2022-02-14,18.687
2022-02-15,20.153
2022-02-16,19.749
2022-02-17,18.142
2022-02-18,17.797
2022-02-19,17.833
2022-02-20,16.898
2022-02-21,16.163
2022-02-22,16.584
2022-02-23,15.958
2022-02-24,16.152
2022-02-25,17.239
2022-02-26,18.019
2022-02-27,17.48
2022-02-28,18.923
2022-03-01,18.887
2022-03-02,18.601
2022-03-03,18.011
2022-03-04,16.772
2022-03-05,17.306
2022-03-06,16.983
2022-03-07,16.382
2022-03-08,16.952
2022-03-09,17.848
2022-03-10,16.956
2022-03-11,17.678
2022-03-12,18.133
2022-03-13,17.206
2022-03-14,17.68
2022-03-15,17.793
2022-03-16,19.034
2022-03-17,18.735
2022-03-18,18.936
2022-03-19,19.384
2022-03-20,18.639
2022-03-21,18.731
2022-03-22,20.203
2022-03-23,21.005
2022-03-24,21.236
2022-03-25,20.52
2022-03-26,20.899
2022-03-27,22.44
2022-03-28,21.962
2022-03-29,22.416
2022-03-30,22.443
2022-03-31,21.315
2022-04-01,22.051
2022-04-02,22.595
2022-04-03,23.194
2022-04-04,22.882
2022-04-05,21.76
2022-04-06,19.822
2022-04-07,20.376
2022-04-08,19.407
2022-04-09,19.747
2022-04-10,19.217
2022-04-11,17.191
2022-04-12,17.756
2022-04-13,18.182
2022-04-14,17.897
2022-04-15,18.329
2022-04-16,18.585
2022-04-17,17.718
2022-04-18,18.142
2022-04-19,18.873
2022-04-20,19.075
2022-04-21,18.158
2022-04-22,18.269
2022-04-23,18.686
2022-04-24,18.149
2022-04-25,18.091
2022-04-26,16.661
2022-04-27,16.933
2022-04-28,16.971
2022-04-29,16.177
2022-04-30,14.479
2022-05-01,15.332
2022-05-02,14.954
2022-05-03,14.719
2022-05-04,16.318
2022-05-05,14.569
2022-05-06,14.319
2022-05-07,13.737
2022-05-08,13.246
2022-05-09,10.613
2022-05-10,11.34
2022-05-11,9.068
2022-05-12,8.692
2022-05-13,10.456
2022-05-14,11.294
2022-05-15,11.797
2022-05-16,10.62
2022-05-17,11.024
2022-05-18,9.481
2022-05-19,10.022
2022-05-20,9.656
2022-05-21,9.982
2022-05-22,10.146
2022-05-23,9.884
2022-05-24,10.179
2022-05-25,9.864
2022-05-26,9.129
2022-05-27,9.116
2022-05-28,9.639
2022-05-29,9.971
2022-05-30,10.459
2022-05-31,10.346
2022-06-01,9.45
2022-06-02,9.872
2022-06-03,9.363
2022-06-04,9.441
2022-06-05,9.342
2022-06-06,9.495
2022-06-07,9.216
2022-06-08,8.995
2022-06-09,9.227
2022-06-10,8.652
2022-06-11,8.032
2022-06-12,7.391
2022-06-13,7.031
2022-06-14,7.355
2022-06-15,8.493
2022-06-16,7.115
2022-06-17,7.27
2022-06-18,7.044
2022-06-19,7.511
2022-06-20,7.864
2022-06-21,7.756
2022-06-22,7.385
2022-06-23,7.769
2022-06-24,8.178
2022-06-25,8.127
2022-06-26,7.828
2022-06-27,7.737
2022-06-28,7.308
2022-06-29,7.03
2022-06-30,7.057
2022-07-01,6.749
2022-07-02,6.817
2022-07-03,6.846
2022-07-04,7.16
2022-07-05,6.832
2022-07-06,6.919
2022-07-07,7.298
2022-07-08,7.032
2022-07-09,7.25
2022-07-10,6.853
2022-07-11,6.521
2022-07-12,6.274
2022-07-13,6.458
2022-07-14,6.717
2022-07-15,6.792
2022-07-16,7.184
2022-07-17,6.914
2022-07-18,7.647
2022-07-19,7.784
2022-07-20,7.46
2022-07-21,7.523
