DATETIME,price
2020-01-02,127.11
2020-01-03,134.29
2020-01-04,134.14
2020-01-05,135.33
2020-01-06,144.04
2020-01-07,142.86
2020-01-08,140.75
2020-01-09,137.73
2020-01-10,144.8
2020-01-11,142.4
2020-01-12,146.57
2020-01-13,143.58
2020-01-14,165.77
2020-01-15,166.6
2020-01-16,164.37
2020-01-17,170.06
2020-01-18,174.43
2020-01-19,167.04
2020-01-20,167.03
2020-01-21,169.52
2020-01-22,168.19
2020-01-23,162.97
2020-01-24,162.63
2020-01-25,160.52
2020-01-26,167.9
2020-01-27,170.21
2020-01-28,175.88
2020-01-29,173.8
2020-01-30,185.14
2020-01-31,180.14
2020-02-02,188.59
2020-02-03,189.92
2020-02-04,189.01
2020-02-05,204.1
2020-02-06,213.27
2020-02-07,223.57
2020-02-08,223.57
2020-02-09,228.64
2020-02-10,223.03
2020-02-11,237.16
2020-02-12,266.24
2020-02-13,268.48
2020-02-14,285.4
2020-02-15,265.08
2020-02-16,258.87
2020-02-17,268.0
2020-02-18,282.96
2020-02-19,258.43
2020-02-20,257.11
2020-02-21,265.44
2020-02-22,261.83
2020-02-23,274.67
2020-02-24,265.7
2020-02-25,247.03
2020-02-26,224.1
2020-02-27,227.92
2020-02-28,227.09
2020-02-29,217.31
2020-03-02,232.22
2020-03-03,224.1
2020-03-04,224.47
2020-03-05,228.64
2020-03-06,244.94
2020-03-07,237.34
2020-03-08,199.54
2020-03-09,203.02
2020-03-10,200.95
2020-03-11,194.81
2020-03-12,106.71
2020-03-13,134.13
2020-03-14,122.55
2020-03-15,123.89
2020-03-16,111.06
2020-03-17,115.68
2020-03-18,118.16
2020-03-19,136.42
2020-03-20,133.52
2020-03-21,132.67
2020-03-22,122.25
2020-03-23,135.96
2020-03-24,138.38
2020-03-25,136.1
2020-03-26,138.41
2020-03-27,131.27
2020-03-28,130.95
2020-03-29,124.4
2020-03-30,132.04
2020-03-31,132.61
2020-04-02,141.3
2020-04-03,141.23
2020-04-04,144.02
2020-04-05,142.59
2020-04-06,171.15
2020-04-07,164.55
2020-04-08,173.19
2020-04-09,169.46
2020-04-10,157.69
2020-04-11,158.19
2020-04-12,158.72
2020-04-13,156.37
2020-04-14,158.43
2020-04-15,152.64
2020-04-16,172.27
2020-04-17,170.56
2020-04-18,187.48
2020-04-19,179.97
2020-04-20,170.19
2020-04-21,170.66
2020-04-22,182.63
2020-04-23,185.53
2020-04-24,187.65
2020-04-25,194.25
2020-04-26,197.46
2020-04-27,196.37
2020-04-28,196.31
2020-04-29,215.5
2020-04-30,206.22
2020-05-02,213.99
2020-05-03,209.95
2020-05-04,206.73
2020-05-05,205.39
2020-05-06,199.06
2020-05-07,212.25
2020-05-08,211.47
2020-05-09,210.31
2020-05-10,187.52
2020-05-11,185.69
2020-05-12,189.64
2020-05-13,199.54
2020-05-14,203.13
2020-05-15,194.71
2020-05-16,200.39
2020-05-17,206.93
2020-05-18,214.83
2020-05-19,214.7
2020-05-20,209.96
2020-05-21,198.68
2020-05-22,207.28
2020-05-23,206.51
2020-05-24,199.7
2020-05-25,204.1
2020-05-26,200.91
2020-05-27,208.27
2020-05-28,220.32
2020-05-29,220.65
2020-05-30,243.74
2020-05-31,231.55
2020-06-02,237.73
2020-06-03,244.52
2020-06-04,243.28
2020-06-05,240.13
2020-06-06,242.05
2020-06-07,244.66
2020-06-08,246.65
2020-06-09,243.98
2020-06-10,247.95
2020-06-11,230.48
2020-06-12,237.46
2020-06-13,238.17
2020-06-14,231.92
2020-06-15,230.86
2020-06-16,235.22
2020-06-17,233.75
2020-06-18,231.26
2020-06-19,228.97
2020-06-20,228.85
2020-06-21,228.08
2020-06-22,243.14
2020-06-23,243.12
2020-06-24,234.54
2020-06-25,232.5
2020-06-26,229.66
2020-06-27,220.94
2020-06-28,224.96
2020-06-29,227.95
2020-06-30,225.56
2020-07-02,226.54
2020-07-03,224.83
2020-07-04,229.2
2020-07-05,227.61
2020-07-06,241.63
2020-07-07,239.45
2020-07-08,247.14
2020-07-09,242.01
2020-07-10,241.37
2020-07-11,239.25
2020-07-12,242.82
2020-07-13,239.6
2020-07-14,240.56
2020-07-15,238.59
2020-07-16,233.74
2020-07-17,232.72
2020-07-18,235.69
2020-07-19,239.19
2020-07-20,236.03
2020-07-21,245.56
2020-07-22,264.27
2020-07-23,275.56
2020-07-24,279.45
2020-07-25,305.64
2020-07-26,311.41
2020-07-27,322.33
2020-07-28,317.21
2020-07-29,318.12
2020-07-30,335.3
2020-07-31,346.42
2020-08-02,372.85
2020-08-03,386.2
2020-08-04,390.1
2020-08-05,400.95
2020-08-06,395.09
2020-08-07,379.63
2020-08-08,397.48
2020-08-09,390.54
2020-08-10,395.83
2020-08-11,379.3
2020-08-12,387.46
2020-08-13,425.34
2020-08-14,438.84
2020-08-15,432.75
2020-08-16,434.19
2020-08-17,431.33
2020-08-18,422.36
2020-08-19,407.65
2020-08-20,416.29
2020-08-21,388.25
2020-08-22,395.44
2020-08-23,391.0
2020-08-24,407.94
2020-08-25,383.11
2020-08-26,386.02
2020-08-27,383.6
2020-08-28,395.14
2020-08-29,398.66
2020-08-30,429.11
2020-08-31,434.03
2020-09-02,439.75
2020-09-03,381.62
2020-09-04,385.2
2020-09-05,334.85
2020-09-06,352.69
2020-09-07,353.49
2020-09-08,337.32
2020-09-09,350.65
2020-09-10,367.69
2020-09-11,373.45
2020-09-12,387.65
2020-09-13,366.24
2020-09-14,377.13
2020-09-15,364.06
2020-09-16,364.95
2020-09-17,389.24
2020-09-18,384.44
2020-09-19,384.96
2020-09-20,370.85
2020-09-21,340.19
2020-09-22,344.06
2020-09-23,320.64
2020-09-24,348.77
2020-09-25,351.88
2020-09-26,353.88
2020-09-27,357.4
2020-09-28,353.85
2020-09-29,359.7
2020-09-30,359.71
2020-10-02,345.41
2020-10-03,345.72
2020-10-04,352.23
2020-10-05,353.45
2020-10-06,340.65
2020-10-07,341.41
2020-10-08,351.08
2020-10-09,365.04
2020-10-10,370.68
2020-10-11,374.39
2020-10-12,386.73
2020-10-13,381.12
2020-10-14,378.75
2020-10-15,377.63
2020-10-16,365.41
2020-10-17,368.26
2020-10-18,378.29
2020-10-19,379.47
2020-10-20,368.74
2020-10-21,390.96
2020-10-22,414.39
2020-10-23,409.4
2020-10-24,412.34
2020-10-25,406.14
2020-10-26,392.43
2020-10-27,403.6
2020-10-28,388.17
2020-10-29,386.94
2020-10-30,382.4
2020-10-31,386.29
2020-11-02,383.16
2020-11-03,388.11
2020-11-04,402.92
2020-11-05,417.14
2020-11-06,456.38
2020-11-07,435.58
2020-11-08,454.75
2020-11-09,444.72
2020-11-10,450.67
2020-11-11,463.35
2020-11-12,462.68
2020-11-13,476.8
2020-11-14,461.0
2020-11-15,448.16
2020-11-16,460.72
2020-11-17,482.49
2020-11-18,478.61
2020-11-19,471.38
2020-11-20,510.37
2020-11-21,554.1
2020-11-22,560.42
2020-11-23,609.12
2020-11-24,605.72
2020-11-25,569.79
2020-11-26,520.25
2020-11-27,518.92
2020-11-28,537.46
2020-11-29,576.38
2020-11-30,617.42
2020-12-02,596.96
2020-12-03,616.2
2020-12-04,567.68
2020-12-05,596.97
2020-12-06,601.86
2020-12-07,591.84
2020-12-08,555.17
2020-12-09,573.27
2020-12-10,559.71
2020-12-11,544.74
2020-12-12,568.34
2020-12-13,590.91
2020-12-14,586.33
2020-12-15,588.8
2020-12-16,637.8
2020-12-17,643.12
2020-12-18,654.51
2020-12-19,658.81
2020-12-20,638.27
2020-12-21,608.18
2020-12-22,637.2
2020-12-23,585.34
2020-12-24,612.31
2020-12-25,627.18
2020-12-26,637.9
2020-12-27,685.97
2020-12-28,731.07
2020-12-29,733.45
2020-12-30,753.04
2020-12-31,737.19
2021-01-02,775.02
2021-01-03,980.24
2021-01-04,1043.11
2021-01-05,1101.29
2021-01-06,1212.64
2021-01-07,1227.12
2021-01-08,1218.39
2021-01-09,1279.96
2021-01-10,1257.96
2021-01-11,1086.94
2021-01-12,1050.82
2021-01-13,1130.4
2021-01-14,1234.86
2021-01-15,1168.79
2021-01-16,1230.19
2021-01-17,1233.71
2021-01-18,1262.99
2021-01-19,1367.51
2021-01-20,1379.24
2021-01-21,1111.23
2021-01-22,1234.55
2021-01-23,1235.66
2021-01-24,1394.24
2021-01-25,1318.61
2021-01-26,1368.4
2021-01-27,1238.55
2021-01-28,1329.86
2021-01-29,1381.99
2021-01-30,1380.48
2021-01-31,1313.12
2021-02-02,1516.26
2021-02-03,1666.0
2021-02-04,1596.0
2021-02-05,1721.16
2021-02-06,1679.34
2021-02-07,1611.99
2021-02-08,1755.61
2021-02-09,1770.79
2021-02-10,1743.31
2021-02-11,1789.32
2021-02-12,1843.08
2021-02-13,1818.02
2021-02-14,1803.59
2021-02-15,1781.34
2021-02-16,1784.31
2021-02-17,1849.86
2021-02-18,1941.26
2021-02-19,1958.58
2021-02-20,1914.58
2021-02-21,1934.75
2021-02-22,1778.3
2021-02-23,1579.75
2021-02-24,1623.98
2021-02-25,1482.09
2021-02-26,1445.28
2021-02-27,1458.65
2021-02-28,1419.77
2021-03-02,1486.28
2021-03-03,1568.63
2021-03-04,1540.69
2021-03-05,1529.88
2021-03-06,1651.73
2021-03-07,1727.23
2021-03-08,1834.3
2021-03-09,1873.31
2021-03-10,1796.8
2021-03-11,1829.0
2021-03-12,1767.44
2021-03-13,1924.94
2021-03-14,1850.54
2021-03-15,1794.89
2021-03-16,1807.25
2021-03-17,1825.77
2021-03-18,1777.54
2021-03-19,1811.04
2021-03-20,1807.35
2021-03-21,1784.67
2021-03-22,1681.69
2021-03-23,1669.33
2021-03-24,1582.11
2021-03-25,1587.5
2021-03-26,1699.13
2021-03-27,1714.34
2021-03-28,1688.3
2021-03-29,1818.44
2021-03-30,1843.43
2021-03-31,1923.07
2021-04-02,2138.01
2021-04-03,2012.63
2021-04-04,2077.73
2021-04-05,2110.35
2021-04-06,2114.47
2021-04-07,1965.4
2021-04-08,2082.08
2021-04-09,2068.02
2021-04-10,2135.96
2021-04-11,2155.05
2021-04-12,2139.25
2021-04-13,2303.15
2021-04-14,2437.08
2021-04-15,2519.85
2021-04-16,2427.29
2021-04-17,2319.8
2021-04-18,2235.32
2021-04-19,2162.75
2021-04-20,2329.96
2021-04-21,2358.9
2021-04-22,2398.94
2021-04-23,2368.67
2021-04-24,2215.54
2021-04-25,2320.71
2021-04-26,2534.25
2021-04-27,2668.39
2021-04-28,2748.33
2021-04-29,2759.14
2021-04-30,2773.15
2021-05-02,2950.98
2021-05-03,3433.36
2021-05-04,3243.67
2021-05-05,3528.49
2021-05-06,3493.16
2021-05-07,3480.98
2021-05-08,3914.47
2021-05-09,3928.01
2021-05-10,3950.33
2021-05-11,4175.91
2021-05-12,3828.99
2021-05-13,3719.45
2021-05-14,4079.99
2021-05-15,3648.98
2021-05-16,3581.39
2021-05-17,3283.58
2021-05-18,3376.35
2021-05-19,2442.98
2021-05-20,2768.42
2021-05-21,2431.01
2021-05-22,2295.15
2021-05-23,2096.63
2021-05-24,2649.27
2021-05-25,2706.83
2021-05-26,2884.27
2021-05-27,2742.77
2021-05-28,2411.66
2021-05-29,2277.99
2021-05-30,2386.11
2021-05-31,2706.33
2021-06-02,2707.22
2021-06-03,2858.34
2021-06-04,2689.21
2021-06-05,2627.45
2021-06-06,2711.4
2021-06-07,2592.96
2021-06-08,2506.19
2021-06-09,2610.2
2021-06-10,2471.11
2021-06-11,2354.25
2021-06-12,2370.59
2021-06-13,2508.71
2021-06-14,2579.82
2021-06-15,2544.17
2021-06-16,2366.84
2021-06-17,2372.51
2021-06-18,2231.68
2021-06-19,2163.36
2021-06-20,2242.7
2021-06-21,1884.77
2021-06-22,1878.46
2021-06-23,1966.51
2021-06-24,1989.5
2021-06-25,1808.0
2021-06-26,1828.88
2021-06-27,1980.83
2021-06-28,2083.56
2021-06-29,2165.15
2021-06-30,2275.0
2021-07-02,2152.64
2021-07-03,2226.63
2021-07-04,2321.95
2021-07-05,2195.38
2021-07-06,2322.04
2021-07-07,2314.65
2021-07-08,2114.88
2021-07-09,2147.53
2021-07-10,2111.14
2021-07-11,2140.27
2021-07-12,2030.85
2021-07-13,1940.32
2021-07-14,1993.82
2021-07-15,1919.35
2021-07-16,1876.1
2021-07-17,1898.55
2021-07-18,1890.66
2021-07-19,1818.4
2021-07-20,1785.04
2021-07-21,1995.49
2021-07-22,2023.55
2021-07-23,2124.33
2021-07-24,2183.53
2021-07-25,2188.11
2021-07-26,2227.41
2021-07-27,2298.04
2021-07-28,2300.08
2021-07-29,2382.45
2021-07-30,2461.72
2021-07-31,2530.49
2021-08-02,2607.09
2021-08-03,2506.87
2021-08-04,2725.0
2021-08-05,2826.8
2021-08-06,2892.3
2021-08-07,3163.26
2021-08-08,3014.06
2021-08-09,3163.43
2021-08-10,3143.98
2021-08-11,3161.52
2021-08-12,3046.74
2021-08-13,3324.12
2021-08-14,3266.31
2021-08-15,3312.31
2021-08-16,3146.83
2021-08-17,3014.64
2021-08-18,3014.25
2021-08-19,3186.8
2021-08-20,3286.62
2021-08-21,3226.4
2021-08-22,3241.29
2021-08-23,3323.01
2021-08-24,3173.98
2021-08-25,3227.9
2021-08-26,3093.77
2021-08-27,3273.91
2021-08-28,3247.29
2021-08-29,3225.47
2021-08-30,3230.43
2021-08-31,3430.49
2021-09-02,3788.95
2021-09-03,3942.79
2021-09-04,3889.71
2021-09-05,3952.56
2021-09-06,3929.0
2021-09-07,3435.0
2021-09-08,3497.99
2021-09-09,3426.42
2021-09-10,3209.84
2021-09-11,3267.23
2021-09-12,3405.21
2021-09-13,3284.41
2021-09-14,3435.42
2021-09-15,3614.72
2021-09-16,3570.46
2021-09-17,3400.99
2021-09-18,3435.35
2021-09-19,3328.72
2021-09-20,2978.34
2021-09-21,2765.48
2021-09-22,3076.62
2021-09-23,3150.7
2021-09-24,2926.37
2021-09-25,2921.08
2021-09-26,3057.63
2021-09-27,2923.6
2021-09-28,2803.5
2021-09-29,2848.38
2021-09-30,2999.45
2021-10-02,3387.25
2021-10-03,3418.25
2021-10-04,3386.12
2021-10-05,3517.64
2021-10-06,3576.85
2021-10-07,3589.85
2021-10-08,3563.81
2021-10-09,3577.8
2021-10-10,3415.01
2021-10-11,3543.1
2021-10-12,3492.91
2021-10-13,3610.05
2021-10-14,3794.19
2021-10-15,3872.71
2021-10-16,3833.3
2021-10-17,3851.01
2021-10-18,3748.31
2021-10-19,3881.48
2021-10-20,4164.14
2021-10-21,4057.26
2021-10-22,3975.56
2021-10-23,4170.5
2021-10-24,4084.61
2021-10-25,4224.14
2021-10-26,4133.39
2021-10-27,3923.57
2021-10-28,4288.96
2021-10-29,4421.53
2021-10-30,4324.82
2021-10-31,4288.86
2021-11-02,4593.88
2021-11-03,4606.59
2021-11-04,4535.37
2021-11-05,4477.29
2021-11-06,4521.4
2021-11-07,4616.5
2021-11-08,4814.3
2021-11-09,4734.98
2021-11-10,4632.21
2021-11-11,4721.19
2021-11-12,4665.99
2021-11-13,4644.42
2021-11-14,4629.44
2021-11-15,4567.01
2021-11-16,4209.42
2021-11-17,4287.99
2021-11-18,3997.72
2021-11-19,4293.44
2021-11-20,4412.55
2021-11-21,4259.23
2021-11-22,4086.57
2021-11-23,4341.36
2021-11-24,4271.29
2021-11-25,4527.86
2021-11-26,4040.66
2021-11-27,4095.33
2021-11-28,4296.6
2021-11-29,4445.1
2021-11-30,4631.51
2021-12-02,4514.32
2021-12-03,4213.66
2021-12-04,4115.79
2021-12-05,4197.53
2021-12-06,4345.2
2021-12-07,4305.82
2021-12-08,4435.33
2021-12-09,4103.8
2021-12-10,3895.95
2021-12-11,4089.81
2021-12-12,4129.0
2021-12-13,3780.63
2021-12-14,3856.66
2021-12-15,4019.01
2021-12-16,3958.67
2021-12-17,3873.93
2021-12-18,3957.64
2021-12-19,3922.51
2021-12-20,3943.48
2021-12-21,4014.38
2021-12-22,3978.62
2021-12-23,4111.3
2021-12-24,4045.0
2021-12-25,4093.87
2021-12-26,4062.24
2021-12-27,4037.36
2021-12-28,3791.99
2021-12-29,3628.55
2021-12-30,3708.37
2021-12-31,3676.02
2022-01-01,3763.06
2022-01-02,3826.21
2022-01-03,3764.07
2022-01-04,3785.6
2022-01-05,3537.71
2022-01-06,3404.6
2022-01-07,3196.58
2022-01-08,3080.03
2022-01-09,3150.0
2022-01-10,3081.31
2022-01-11,3236.86
2022-01-12,3369.93
2022-01-13,3240.36
2022-01-14,3305.6
2022-01-15,3324.05
2022-01-16,3345.49
2022-01-17,3208.61
2022-01-18,3159.32
2022-01-19,3082.81
2022-01-20,2999.92
2022-01-21,2566.91
2022-01-22,2410.96
2022-01-23,2538.41
2022-01-24,2438.13
2022-01-25,2457.37
2022-01-26,2461.61
2022-01-27,2422.61
2022-01-28,2543.34
2022-01-29,2599.94
2022-01-30,2600.45
2022-01-31,2685.34
2022-02-01,2786.38
2022-02-02,2678.0
2022-02-03,2694.37
2022-02-04,2993.65
2022-02-05,3011.59
2022-02-06,3054.26
2022-02-07,3138.55
2022-02-08,3115.23
2022-02-09,3241.82
2022-02-10,3070.9
2022-02-11,2926.04
2022-02-12,2916.93
2022-02-13,2870.32
2022-02-14,2928.87
2022-02-15,3183.73
2022-02-16,3121.8
2022-02-17,2890.8
2022-02-18,2778.46
2022-02-19,2761.89
2022-02-20,2620.72
2022-02-21,2566.88
2022-02-22,2635.57
2022-02-23,2578.02
2022-02-24,2595.47
2022-02-25,2766.36
2022-02-26,2778.15
2022-02-27,2615.99
2022-02-28,2920.1
2022-03-01,2975.61
2022-03-02,2947.47
2022-03-03,2832.97
2022-03-04,2620.25
2022-03-05,2663.55
2022-03-06,2549.37
2022-03-07,2489.9
2022-03-08,2575.49
2022-03-09,2726.37
2022-03-10,2605.44
2022-03-11,2555.89
2022-03-12,2567.64
2022-03-13,2514.07
2022-03-14,2588.96
2022-03-15,2617.29
2022-03-16,2772.78
2022-03-17,2810.74
2022-03-18,2938.02
2022-03-19,2950.0
2022-03-20,2860.47
2022-03-21,2889.08
2022-03-22,2968.49
2022-03-23,3035.55
2022-03-24,3109.89
2022-03-25,3101.37
2022-03-26,3143.47
2022-03-27,3295.01
2022-03-28,3333.62
2022-03-29,3399.0
2022-03-30,3385.1
2022-03-31,3281.43
2022-04-01,3454.33
2022-04-02,3443.07
2022-04-03,3520.76
2022-04-04,3518.96
2022-04-05,3405.04
2022-04-06,3166.78
2022-04-07,3225.15
2022-04-08,3191.26
2022-04-09,3257.53
2022-04-10,3200.24
2022-04-11,2978.69
2022-04-12,3026.3
2022-04-13,3116.45
2022-04-14,3019.82
2022-04-15,3039.19
2022-04-16,3057.99
2022-04-17,2986.03
2022-04-18,3054.02
2022-04-19,3100.42
2022-04-20,3074.01
2022-04-21,2981.31
2022-04-22,2960.38
2022-04-23,2930.28
2022-04-24,2918.97
2022-04-25,3006.11
2022-04-26,2807.88
2022-04-27,2887.57
2022-04-28,2935.39
2022-04-29,2815.37
2022-04-30,2725.1
2022-05-01,2823.38
2022-05-02,2855.16
2022-05-03,2780.91
2022-05-04,2939.76
2022-05-05,2746.37
2022-05-06,2691.59
2022-05-07,2634.82
2022-05-08,2518.9
2022-05-09,2227.48
2022-05-10,2340.86
2022-05-11,2083.98
2022-05-12,1959.78
2022-05-13,2008.49
2022-05-14,2055.0
2022-05-15,2144.07
2022-05-16,2022.89
2022-05-17,2090.0
2022-05-18,1914.2
2022-05-19,2019.46
2022-05-20,1958.69
2022-05-21,1973.94
2022-05-22,2042.63
2022-05-23,1972.45
2022-05-24,1978.56
2022-05-25,1942.0
2022-05-26,1791.02
2022-05-27,1726.55
2022-05-28,1791.74
2022-05-29,1812.45
2022-05-30,1997.87
2022-05-31,1941.68
2022-06-01,1817.1
2022-06-02,1833.37
2022-06-03,1774.15
2022-06-04,1803.71
2022-06-05,1805.39
2022-06-06,1859.11
2022-06-07,1812.61
2022-06-08,1791.02
2022-06-09,1788.03
2022-06-10,1661.95
2022-06-11,1532.19
2022-06-12,1434.35
2022-06-13,1209.04
2022-06-14,1208.32
2022-06-15,1236.49
2022-06-16,1067.77
2022-06-17,1085.99
2022-06-18,994.09
2022-06-19,1127.88
2022-06-20,1127.83
2022-06-21,1125.47
2022-06-22,1049.4
2022-06-23,1143.71
2022-06-24,1224.42
2022-06-25,1241.6
2022-06-26,1197.21
2022-06-27,1191.9
2022-06-28,1143.5
2022-06-29,1099.32
2022-06-30,1070.85
2022-07-01,1059.24
2022-07-02,1066.53
2022-07-03,1073.9
2022-07-04,1150.23
2022-07-05,1131.8
2022-07-06,1186.37
2022-07-07,1236.92
2022-07-08,1213.53
2022-07-09,1216.48
2022-07-10,1167.81
2022-07-11,1095.95
2022-07-12,1037.88
2022-07-13,1114.19
2022-07-14,1193.01
2022-07-15,1230.58
2022-07-16,1355.37
2022-07-17,1338.27
2022-07-18,1580.12
2022-07-19,1541.39
2022-07-20,1521.34
2022-07-21,1575.39
2022-07-22,1534.53
2022-07-23,1548.01
2022-07-24,1597.77
2022-07-25,1440.4
2022-07-26,1448.27
2022-07-27,1635.45
2022-07-28,1723.82
2022-07-29,1721.85
2022-07-30,1696.68
2022-07-31,1677.63
2022-08-01,1629.45
2022-08-02,1629.97
2022-08-03,1617.37
2022-08-04,1607.2
2022-08-05,1737.13
2022-08-06,1689.85
2022-08-07,1699.25
2022-08-08,1776.09
2022-08-09,1702.04
2022-08-10,1853.24
2022-08-11,1879.35
2022-08-12,1957.4
2022-08-13,1982.8
2022-08-14,1934.55
2022-08-15,1898.56
2022-08-16,1875.78
2022-08-17,1833.55
2022-08-18,1845.86
2022-08-19,1608.29
2022-08-20,1574.93
2022-08-21,1617.17
2022-08-22,1624.02
2022-08-23,1664.19
2022-08-24,1655.71
2022-08-25,1694.16
2022-08-26,1507.23
2022-08-27,1490.0
2022-08-28,1426.3
2022-08-29,1550.67
2022-08-30,1523.48
2022-08-31,1553.04
2022-09-01,1585.4
2022-09-02,1574.49
2022-09-03,1556.41
2022-09-04,1578.14
2022-09-05,1616.92
2022-09-06,1558.23
2022-09-07,1629.35
2022-09-08,1634.22
2022-09-09,1717.48
2022-09-10,1773.05
2022-09-11,1765.01
2022-09-12,1715.14
2022-09-13,1571.9
2022-09-14,1635.39
2022-09-15,1471.93
2022-09-16,1433.58
2022-09-17,1467.96
2022-09-18,1333.67
2022-09-19,1375.05
2022-09-20,1322.08
2022-09-21,1244.19
2022-09-22,1325.73
2022-09-23,1326.62
2022-09-24,1316.19
2022-09-25,1293.99
2022-09-26,1335.25
2022-09-27,1327.19
2022-09-28,1336.43
2022-09-29,1334.8
2022-09-30,1327.78
2022-10-01,1311.31
2022-10-02,1275.96
2022-10-03,1322.59
2022-10-04,1360.73
2022-10-05,1351.61
2022-10-06,1351.5
2022-10-07,1330.41
2022-10-08,1314.74
2022-10-09,1322.61
2022-10-10,1289.56
2022-10-11,1279.68
2022-10-12,1294.02
2022-10-13,1286.38
2022-10-14,1295.35
2022-10-15,1274.13
2022-10-16,1305.51
2022-10-17,1330.62
2022-10-18,1309.93
2022-10-19,1284.45
