DATETIME,price
2020-10-17,34.7
2020-10-18,31.57
2020-10-19,30.08
2020-10-20,29.8
2020-10-21,26.4
2020-10-22,23.058
2020-10-23,23.76
2020-10-24,24.486
2020-10-25,32.9
2020-10-26,28.649
2020-10-27,34.903
2020-10-28,33.459
2020-10-29,32.452
2020-10-30,29.1
2020-10-31,31.201
2020-11-02,29.557
2020-11-03,28.82
2020-11-04,28.823
2020-11-05,29.356
2020-11-06,31.677
2020-11-07,29.889
2020-11-08,30.722
2020-11-09,31.187
2020-11-10,30.366
2020-11-11,30.066
2020-11-12,29.463
2020-11-13,29.134
2020-11-14,29.266
2020-11-15,27.684
2020-11-16,27.406
2020-11-17,29.113
2020-11-18,28.82
2020-11-19,28.808
2020-11-20,29.069
2020-11-21,29.994
2020-11-22,28.942
2020-11-23,29.242
2020-11-24,29.795
2020-11-25,31.005
2020-11-26,29.899
2020-11-27,29.943
2020-11-28,29.968
2020-11-29,30.058
2020-11-30,30.44
2020-12-02,30.628
2020-12-03,30.443
2020-12-04,28.983
2020-12-05,29.857
2020-12-06,29.339
2020-12-07,30.505
2020-12-08,29.9
2020-12-09,30.47
2020-12-10,30.555
2020-12-11,29.878
2020-12-12,29.924
2020-12-13,29.973
2020-12-14,29.326
2020-12-15,29.127
2020-12-16,28.427
2020-12-17,28.481
2020-12-18,28.49
2020-12-19,28.204
2020-12-20,28.435
2020-12-21,24.986
2020-12-22,24.611
2020-12-23,22.37
2020-12-24,23.693
2020-12-25,24.342
2020-12-26,23.571
2020-12-27,22.134
2020-12-28,21.954
2020-12-29,20.4
2020-12-30,21.445
2020-12-31,24.355
2021-01-02,21.782
2021-01-03,21.48
2021-01-04,21.415
2021-01-05,21.629
2021-01-06,21.986
2021-01-07,22.101
2021-01-08,21.657
2021-01-09,22.085
2021-01-10,23.458
2021-01-11,21.684
2021-01-12,21.013
2021-01-13,21.74
2021-01-14,21.624
2021-01-15,21.561
2021-01-16,22.866
2021-01-17,24.409
2021-01-18,23.822
2021-01-19,22.67
2021-01-20,22.38
2021-01-21,21.317
2021-01-22,22.303
2021-01-23,22.74
2021-01-24,22.725
2021-01-25,22.415
2021-01-26,22.224
2021-01-27,21.45
2021-01-28,21.933
2021-01-29,22.341
2021-01-30,22.098
2021-01-31,22.289
2021-02-02,22.525
2021-02-03,23.117
2021-02-04,22.93
2021-02-05,24.545
2021-02-06,24.288
2021-02-07,24.079
2021-02-08,27.753
2021-02-09,44.293
2021-02-10,39.9
2021-02-11,40.42
2021-02-12,42.711
2021-02-13,41.702
2021-02-14,47.202
2021-02-15,42.962
2021-02-16,41.955
2021-02-17,43.266
2021-02-18,43.475
2021-02-19,43.274
2021-02-20,43.067
2021-02-21,44.695
2021-02-22,39.318
2021-02-23,35.479
2021-02-24,36.564
