DATETIME,price
2020-01-18,2.774
2020-01-19,2.623
2020-01-20,2.695
2020-01-21,2.673
2020-01-22,2.654
2020-01-23,2.471
2020-01-24,2.504
2020-01-25,2.448
2020-01-26,2.575
2020-01-27,2.608
2020-01-28,2.656
2020-01-29,2.781
2020-01-30,2.914
2020-01-31,2.825
2020-02-02,2.832
2020-02-03,2.782
2020-02-04,2.741
2020-02-05,2.843
2020-02-06,2.902
2020-02-07,3.311
2020-02-08,3.42
2020-02-09,3.504
2020-02-10,3.388
2020-02-11,3.989
2020-02-12,3.988
2020-02-13,3.878
2020-02-14,4.43
2020-02-15,4.328
2020-02-16,4.454
2020-02-17,4.302
2020-02-18,4.564
2020-02-19,4.386
2020-02-20,4.267
2020-02-21,4.275
2020-02-22,4.105
2020-02-23,4.236
2020-02-24,3.923
2020-02-25,3.491
2020-02-26,3.564
2020-02-27,3.956
2020-02-28,4.161
2020-02-29,4.062
2020-03-02,4.242
2020-03-03,4.591
2020-03-04,4.635
2020-03-05,4.707
2020-03-06,4.683
2020-03-07,4.342
2020-03-08,4.059
2020-03-09,4.12
2020-03-10,4.08
2020-03-11,3.815
2020-03-12,1.993
2020-03-13,2.426
2020-03-14,2.129
2020-03-15,2.086
2020-03-16,1.785
2020-03-17,1.861
2020-03-18,1.948
2020-03-19,2.241
2020-03-20,2.26
2020-03-21,2.28
2020-03-22,1.981
2020-03-23,2.245
2020-03-24,2.311
2020-03-25,2.254
2020-03-26,2.313
2020-03-27,2.131
2020-03-28,2.131
2020-03-29,2.006
2020-03-30,2.134
2020-03-31,2.259
2020-04-02,2.294
2020-04-03,2.301
2020-04-04,2.315
2020-04-05,2.264
2020-04-06,2.55
2020-04-07,2.729
2020-04-08,3.171
2020-04-09,3.313
2020-04-10,3.22
2020-04-11,3.286
2020-04-12,3.414
2020-04-13,3.365
2020-04-14,3.249
2020-04-15,3.119
2020-04-16,3.486
2020-04-17,3.454
2020-04-18,3.782
2020-04-19,3.588
2020-04-20,3.431
2020-04-21,3.457
2020-04-22,3.676
2020-04-23,3.761
2020-04-24,3.78
2020-04-25,3.79
2020-04-26,3.723
2020-04-27,3.636
2020-04-28,3.648
2020-04-29,3.895
2020-04-30,3.709
2020-05-02,3.819
2020-05-03,3.716
2020-05-04,3.753
2020-05-05,3.685
2020-05-06,3.595
2020-05-07,3.764
2020-05-08,3.801
2020-05-09,4.023
2020-05-10,3.761
2020-05-11,3.587
2020-05-12,3.698
2020-05-13,3.768
2020-05-14,3.81
2020-05-15,3.665
2020-05-16,3.763
2020-05-17,3.783
2020-05-18,3.891
2020-05-19,3.947
2020-05-20,4.086
2020-05-21,3.831
2020-05-22,4.061
2020-05-23,3.929
2020-05-24,3.79
2020-05-25,3.865
2020-05-26,3.846
2020-05-27,3.857
2020-05-28,4.044
2020-05-29,3.981
2020-05-30,4.183
2020-05-31,4.133
2020-06-02,4.4
2020-06-03,4.494
2020-06-04,4.434
2020-06-05,4.363
2020-06-06,4.355
2020-06-07,4.353
2020-06-08,4.478
2020-06-09,4.442
2020-06-10,4.425
2020-06-11,3.962
2020-06-12,4.087
2020-06-13,4.112
2020-06-14,3.942
2020-06-15,3.929
2020-06-16,4.048
2020-06-17,4.163
2020-06-18,4.136
2020-06-19,4.096
2020-06-20,4.179
2020-06-21,4.184
2020-06-22,4.48
2020-06-23,4.805
2020-06-24,4.71
2020-06-25,4.804
2020-06-26,4.68
2020-06-27,4.408
2020-06-28,4.568
2020-06-29,4.618
2020-06-30,4.564
2020-07-02,4.796
2020-07-03,4.731
2020-07-04,4.817
2020-07-05,4.749
2020-07-06,5.367
2020-07-07,5.734
2020-07-08,6.502
2020-07-09,6.09
2020-07-10,6.151
2020-07-11,6.109
2020-07-12,7.328
2020-07-13,7.157
2020-07-14,8.113
2020-07-15,8.64
2020-07-16,8.341
2020-07-17,8.264
2020-07-18,7.968
2020-07-19,8.082
2020-07-20,7.241
2020-07-21,7.306
2020-07-22,7.479
2020-07-23,7.887
2020-07-24,7.425
2020-07-25,7.678
2020-07-26,7.499
2020-07-27,7.091
2020-07-28,7.232
2020-07-29,7.083
2020-07-30,7.405
2020-07-31,7.793
2020-08-02,8.276
2020-08-03,9.234
2020-08-04,9.839
2020-08-05,9.516
2020-08-06,10.217
2020-08-07,10.116
2020-08-08,12.713
2020-08-09,13.805
2020-08-10,13.493
2020-08-11,13.013
2020-08-12,16.463
2020-08-13,17.196
2020-08-14,16.965
2020-08-15,19.228
2020-08-16,18.848
2020-08-17,16.812
2020-08-18,16.202
2020-08-19,16.209
2020-08-20,16.091
2020-08-21,13.85
2020-08-22,15.823
2020-08-23,15.172
2020-08-24,15.165
2020-08-25,14.131
2020-08-26,15.228
2020-08-27,14.531
2020-08-28,15.135
2020-08-29,16.367
2020-08-30,16.498
2020-08-31,15.586
2020-09-02,14.799
2020-09-03,11.861
2020-09-04,12.372
2020-09-05,10.6
2020-09-06,12.8
2020-09-07,12.462
2020-09-08,11.737
2020-09-09,12.343
2020-09-10,12.506
2020-09-11,12.435
2020-09-12,12.729
2020-09-13,12.064
2020-09-14,12.137
2020-09-15,10.921
2020-09-16,10.735
2020-09-17,11.016
2020-09-18,10.094
2020-09-19,10.124
2020-09-20,9.74
2020-09-21,8.706
2020-09-22,8.733
2020-09-23,7.64
2020-09-24,9.865
2020-09-25,10.714
2020-09-26,10.306
2020-09-27,10.788
2020-09-28,10.278
2020-09-29,10.129
2020-09-30,9.859
2020-10-02,9.202
2020-10-03,9.26
2020-10-04,9.383
2020-10-05,9.605
2020-10-06,8.765
2020-10-07,8.963
2020-10-08,9.544
2020-10-09,10.386
2020-10-10,10.514
2020-10-11,10.834
2020-10-12,11.418
2020-10-13,10.998
2020-10-14,10.888
2020-10-15,10.752
2020-10-16,10.58
2020-10-17,10.616
2020-10-18,10.936
2020-10-19,10.92
2020-10-20,9.852
2020-10-21,10.78
2020-10-22,11.948
2020-10-23,12.156
2020-10-24,12.691
2020-10-25,12.148
2020-10-26,11.701
2020-10-27,11.912
2020-10-28,11.434
2020-10-29,11.269
2020-10-30,11.091
2020-10-31,11.222
2020-11-02,10.779
2020-11-03,10.394
2020-11-04,10.469
2020-11-05,10.971
2020-11-06,12.171
2020-11-07,11.766
2020-11-08,12.71
2020-11-09,12.508
2020-11-10,13.018
2020-11-11,12.757
2020-11-12,12.405
2020-11-13,12.867
2020-11-14,12.565
2020-11-15,12.121
2020-11-16,12.628
2020-11-17,13.427
2020-11-18,13.573
2020-11-19,13.62
2020-11-20,14.106
2020-11-21,15.477
2020-11-22,14.528
2020-11-23,15.279
2020-11-24,15.694
2020-11-25,14.226
2020-11-26,12.6
2020-11-27,12.51
2020-11-28,13.09
2020-11-29,13.395
2020-11-30,14.284
2020-12-02,13.995
2020-12-03,13.985
2020-12-04,12.689
2020-12-05,13.177
2020-12-06,13.519
2020-12-07,13.082
2020-12-08,12.135
2020-12-09,12.617
2020-12-10,11.916
2020-12-11,11.644
2020-12-12,12.228
2020-12-13,12.941
2020-12-14,12.858
2020-12-15,12.692
2020-12-16,13.498
2020-12-17,13.457
2020-12-18,13.517
2020-12-19,13.486
2020-12-20,13.064
2020-12-21,12.317
2020-12-22,12.788
2020-12-23,10.972
2020-12-24,11.563
2020-12-25,11.56
2020-12-26,10.98
2020-12-27,12.169
2020-12-28,12.62
2020-12-29,11.781
2020-12-30,11.248
2020-12-31,11.244
2021-01-02,12.226
2021-01-03,13.719
2021-01-04,13.611
2021-01-05,14.531
2021-01-06,17.29
2021-01-07,15.989
2021-01-08,15.251
2021-01-09,17.589
2021-01-10,16.228
2021-01-11,14.657
2021-01-12,13.982
2021-01-13,15.952
2021-01-14,18.023
2021-01-15,20.766
2021-01-16,20.13
2021-01-17,23.286
2021-01-18,22.069
2021-01-19,20.585
2021-01-20,21.867
2021-01-21,18.441
2021-01-22,21.578
2021-01-23,24.824
2021-01-24,24.831
2021-01-25,23.367
2021-01-26,23.132
2021-01-27,20.989
2021-01-28,23.02
2021-01-29,22.781
2021-01-30,23.699
2021-01-31,22.609
2021-02-02,23.725
2021-02-03,25.131
2021-02-04,24.519
2021-02-05,26.352
2021-02-06,25.102
2021-02-07,24.777
2021-02-08,25.465
2021-02-09,27.667
2021-02-10,26.853
2021-02-11,27.895
2021-02-12,30.713
2021-02-13,34.316
2021-02-14,33.215
2021-02-15,32.683
2021-02-16,32.004
2021-02-17,32.289
2021-02-18,32.524
2021-02-19,34.766
2021-02-20,33.977
2021-02-21,34.13
2021-02-22,31.486
2021-02-23,25.986
2021-02-24,28.101
2021-02-25,24.721
2021-02-26,25.196
2021-02-27,26.193
2021-02-28,24.714
2021-03-02,28.51
2021-03-03,29.854
2021-03-04,27.721
2021-03-05,27.862
2021-03-06,28.166
2021-03-07,28.603
2021-03-08,31.892
2021-03-09,31.539
2021-03-10,29.919
2021-03-11,30.175
2021-03-12,28.393
2021-03-13,29.8
2021-03-14,28.57
2021-03-15,27.525
2021-03-16,27.947
2021-03-17,31.095
2021-03-18,29.444
2021-03-19,29.806
2021-03-20,29.687
2021-03-21,29.25
2021-03-22,27.286
2021-03-23,26.802
2021-03-24,24.872
2021-03-25,25.561
2021-03-26,27.422
2021-03-27,26.913
2021-03-28,26.687
2021-03-29,28.06
2021-03-30,27.865
2021-03-31,29.479
2021-04-02,32.552
2021-04-03,29.322
2021-04-04,30.791
2021-04-05,32.459
2021-04-06,34.775
2021-04-07,31.149
2021-04-08,32.821
2021-04-09,31.639
2021-04-10,31.95
2021-04-11,33.964
2021-04-12,33.168
2021-04-13,35.592
2021-04-14,41.434
2021-04-15,42.625
2021-04-16,41.993
2021-04-17,39.977
2021-04-18,39.103
2021-04-19,35.771
2021-04-20,39.0
2021-04-21,36.281
2021-04-22,35.162
2021-04-23,35.217
2021-04-24,31.254
2021-04-25,31.697
2021-04-26,35.151
2021-04-27,36.805
2021-04-28,36.275
2021-04-29,36.513
2021-04-30,38.142
2021-05-02,39.502
2021-05-03,42.12
2021-05-04,45.544
2021-05-05,49.664
2021-05-06,47.184
2021-05-07,49.175
2021-05-08,48.666
2021-05-09,52.311
2021-05-10,46.341
2021-05-11,48.831
2021-05-12,41.609
2021-05-13,43.309
2021-05-14,46.619
2021-05-15,41.53
2021-05-16,40.696
2021-05-17,37.203
2021-05-18,42.6
2021-05-19,26.249
2021-05-20,30.631
2021-05-21,25.552
2021-05-22,23.3
2021-05-23,19.836
2021-05-24,26.404
2021-05-25,27.517
2021-05-26,34.004
2021-05-27,31.722
2021-05-28,27.866
2021-05-29,25.361
2021-05-30,26.805
2021-05-31,32.098
2021-06-02,30.67
2021-06-03,32.208
2021-06-04,28.83
2021-06-05,27.124
2021-06-06,27.537
2021-06-07,24.581
2021-06-08,24.079
2021-06-09,25.587
2021-06-10,23.119
2021-06-11,21.467
2021-06-12,21.65
2021-06-13,23.304
2021-06-14,24.954
2021-06-15,24.49
2021-06-16,23.035
2021-06-17,23.4
2021-06-18,21.232
2021-06-19,20.256
2021-06-20,21.644
2021-06-21,17.352
2021-06-22,16.849
2021-06-23,18.379
2021-06-24,19.055
2021-06-25,16.859
2021-06-26,16.938
2021-06-27,18.389
2021-06-28,18.832
2021-06-29,19.533
2021-06-30,19.519
2021-07-02,18.269
2021-07-03,18.543
2021-07-04,19.237
2021-07-05,18.353
2021-07-06,20.067
2021-07-07,19.783
2021-07-08,18.362
2021-07-09,18.648
2021-07-10,18.2
2021-07-11,18.381
2021-07-12,17.506
2021-07-13,16.869
2021-07-14,16.935
2021-07-15,15.76
2021-07-16,15.234
2021-07-17,15.342
2021-07-18,15.469
2021-07-19,14.521
2021-07-20,13.73
2021-07-21,15.295
2021-07-22,16.064
2021-07-23,16.497
2021-07-24,16.671
2021-07-25,16.728
2021-07-26,18.025
2021-07-27,19.477
2021-07-28,19.108
2021-07-29,19.364
2021-07-30,22.262
2021-07-31,22.721
2021-08-02,23.482
2021-08-03,23.945
2021-08-04,24.204
2021-08-05,24.064
2021-08-06,23.899
2021-08-07,24.708
2021-08-08,23.034
2021-08-09,24.205
2021-08-10,24.556
2021-08-11,25.92
2021-08-12,24.948
2021-08-13,27.769
2021-08-14,27.17
2021-08-15,27.94
2021-08-16,27.961
2021-08-17,26.156
2021-08-18,25.354
2021-08-19,27.12
2021-08-20,28.708
2021-08-21,27.867
2021-08-22,28.007
2021-08-23,28.6
2021-08-24,25.741
2021-08-25,26.63
2021-08-26,24.4
2021-08-27,26.068
2021-08-28,25.765
2021-08-29,25.791
2021-08-30,25.059
2021-08-31,26.719
2021-09-02,29.984
2021-09-03,30.793
2021-09-04,29.914
2021-09-05,33.63
2021-09-06,34.842
2021-09-07,28.254
2021-09-08,27.175
2021-09-09,28.017
2021-09-10,26.399
2021-09-11,27.024
2021-09-12,29.446
2021-09-13,26.97
2021-09-14,30.813
2021-09-15,30.692
2021-09-16,29.824
2021-09-17,27.76
2021-09-18,28.415
2021-09-19,27.389
2021-09-20,23.572
2021-09-21,21.433
2021-09-22,24.443
2021-09-23,25.414
2021-09-24,23.257
2021-09-25,24.485
2021-09-26,24.588
2021-09-27,23.004
2021-09-28,22.076
2021-09-29,22.843
2021-09-30,23.987
2021-10-02,26.884
2021-10-03,27.584
2021-10-04,26.626
2021-10-05,27.265
2021-10-06,26.817
2021-10-07,26.865
2021-10-08,26.41
2021-10-09,27.474
2021-10-10,25.553
2021-10-11,25.227
2021-10-12,24.661
2021-10-13,25.694
2021-10-14,26.75
2021-10-15,27.035
2021-10-16,27.246
2021-10-17,26.568
2021-10-18,25.732
2021-10-19,25.936
2021-10-20,27.514
2021-10-21,28.314
2021-10-22,28.69
2021-10-23,31.39
2021-10-24,29.716
2021-10-25,32.402
2021-10-26,32.552
