DATETIME,price
2020-01-10,49.04
2020-01-11,49.25
2020-01-12,51.33
2020-01-13,49.58
2020-01-14,58.55
2020-01-15,58.2
2020-01-16,57.6
2020-01-17,61.15
2020-01-18,59.33
2020-01-19,57.64
2020-01-20,57.23
2020-01-21,57.59
2020-01-22,58.36
2020-01-23,54.5
2020-01-24,54.4
2020-01-25,53.28
2020-01-26,56.27
2020-01-27,58.6
2020-01-28,60.57
2020-01-29,59.86
2020-01-30,68.03
2020-01-31,68.01
2020-02-02,70.01
2020-02-03,69.69
2020-02-04,68.15
2020-02-05,72.7
2020-02-06,73.68
2020-02-07,74.4
2020-02-08,76.66
2020-02-09,77.09
2020-02-10,74.09
2020-02-11,76.6
2020-02-12,81.31
2020-02-13,80.68
2020-02-14,83.14
2020-02-15,76.8
2020-02-16,74.9
2020-02-17,73.6
2020-02-18,77.39
2020-02-19,70.56
2020-02-20,69.44
2020-02-21,73.33
2020-02-22,74.79
2020-02-23,79.66
2020-02-24,75.64
2020-02-25,71.03
2020-02-26,60.52
2020-02-27,61.78
2020-02-28,59.95
2020-02-29,58.12
2020-03-02,61.52
2020-03-03,61.09
2020-03-04,60.4
2020-03-05,62.11
2020-03-06,63.31
2020-03-07,60.49
2020-03-08,50.99
2020-03-09,50.37
2020-03-10,50.28
2020-03-11,48.59
2020-03-12,29.67
2020-03-13,37.54
2020-03-14,34.42
2020-03-15,36.42
2020-03-16,33.19
2020-03-17,34.07
2020-03-18,34.7
2020-03-19,38.92
2020-03-20,38.12
2020-03-21,38.33
2020-03-22,35.42
2020-03-23,38.99
2020-03-24,40.59
2020-03-25,39.19
2020-03-26,40.44
2020-03-27,38.02
2020-03-28,38.88
2020-03-29,37.12
2020-03-30,38.96
2020-03-31,39.09
2020-04-02,39.92
2020-04-03,40.51
2020-04-04,40.75
2020-04-05,40.37
2020-04-06,45.08
2020-04-07,44.83
2020-04-08,46.59
2020-04-09,46.28
2020-04-10,42.3
2020-04-11,42.55
2020-04-12,41.98
2020-04-13,41.2
2020-04-14,41.2
2020-04-15,39.21
2020-04-16,42.54
2020-04-17,42.19
2020-04-18,44.12
2020-04-19,42.23
2020-04-20,40.19
2020-04-21,40.59
2020-04-22,41.83
2020-04-23,43.0
2020-04-24,44.59
2020-04-25,44.41
2020-04-26,44.56
2020-04-27,44.53
2020-04-28,45.75
2020-04-29,48.85
2020-04-30,46.39
2020-05-02,49.22
2020-05-03,48.11
2020-05-04,47.0
2020-05-05,46.58
2020-05-06,44.95
2020-05-07,47.39
2020-05-08,47.75
2020-05-09,47.0
2020-05-10,42.04
2020-05-11,41.51
2020-05-12,42.2
2020-05-13,43.19
2020-05-14,43.98
2020-05-15,42.72
2020-05-16,43.26
2020-05-17,43.68
2020-05-18,45.35
2020-05-19,45.75
2020-05-20,44.26
2020-05-21,42.72
2020-05-22,44.23
2020-05-23,43.84
2020-05-24,42.04
2020-05-25,42.97
2020-05-26,42.25
2020-05-27,43.86
2020-05-28,44.77
2020-05-29,44.53
2020-05-30,47.77
2020-05-31,45.65
2020-06-02,46.0
2020-06-03,47.18
2020-06-04,47.49
2020-06-05,46.84
2020-06-06,46.8
2020-06-07,46.63
2020-06-08,46.48
2020-06-09,45.9
2020-06-10,46.7
2020-06-11,43.23
2020-06-12,44.76
2020-06-13,45.11
2020-06-14,44.03
2020-06-15,43.74
2020-06-16,43.87
2020-06-17,44.06
2020-06-18,43.44
2020-06-19,42.89
2020-06-20,43.58
2020-06-21,43.04
2020-06-22,44.34
2020-06-23,44.23
2020-06-24,42.65
2020-06-25,42.35
2020-06-26,43.12
2020-06-27,41.06
2020-06-28,41.37
2020-06-29,41.88
2020-06-30,41.19
2020-07-02,41.04
2020-07-03,41.16
2020-07-04,42.14
2020-07-05,41.6
2020-07-06,44.09
2020-07-07,43.42
2020-07-08,45.39
2020-07-09,44.37
2020-07-10,44.36
2020-07-11,44.73
2020-07-12,44.78
2020-07-13,43.95
2020-07-14,43.93
2020-07-15,43.37
2020-07-16,42.12
2020-07-17,41.93
2020-07-18,42.49
2020-07-19,42.69
2020-07-20,41.95
2020-07-21,43.79
2020-07-22,45.03
2020-07-23,45.0
2020-07-24,44.18
2020-07-25,49.22
2020-07-26,48.13
2020-07-27,53.41
2020-07-28,55.79
2020-07-29,55.19
2020-07-30,56.82
2020-07-31,58.22
2020-08-02,56.84
2020-08-03,58.57
2020-08-04,57.69
2020-08-05,58.91
2020-08-06,59.13
2020-08-07,57.2
2020-08-08,58.53
2020-08-09,57.04
2020-08-10,58.36
2020-08-11,54.14
2020-08-12,54.57
2020-08-13,57.2
2020-08-14,56.86
2020-08-15,59.89
2020-08-16,64.02
2020-08-17,67.32
2020-08-18,65.51
2020-08-19,62.13
2020-08-20,62.87
2020-08-21,59.23
2020-08-22,60.28
2020-08-23,60.62
2020-08-24,62.11
2020-08-25,58.36
2020-08-26,58.2
2020-08-27,56.16
2020-08-28,57.4
2020-08-29,57.01
2020-08-30,62.99
2020-08-31,61.01
2020-09-02,58.09
2020-09-03,47.28
2020-09-04,50.3
2020-09-05,47.83
2020-09-06,47.91
2020-09-07,48.88
2020-09-08,47.46
2020-09-09,47.84
2020-09-10,48.68
2020-09-11,48.96
2020-09-12,50.87
2020-09-13,48.19
2020-09-14,49.12
2020-09-15,48.33
2020-09-16,47.74
2020-09-17,48.88
2020-09-18,48.59
2020-09-19,48.56
2020-09-20,47.1
2020-09-21,43.15
2020-09-22,44.47
2020-09-23,43.0
2020-09-24,44.94
2020-09-25,46.04
2020-09-26,46.02
2020-09-27,46.04
2020-09-28,45.23
2020-09-29,45.69
2020-09-30,46.29
2020-10-02,44.91
2020-10-03,45.5
2020-10-04,46.7
2020-10-05,46.32
2020-10-06,46.02
2020-10-07,46.58
2020-10-08,47.24
2020-10-09,47.8
2020-10-10,48.93
2020-10-11,50.51
2020-10-12,50.64
2020-10-13,49.93
2020-10-14,49.84
2020-10-15,49.57
2020-10-16,47.58
2020-10-17,46.92
2020-10-18,47.52
2020-10-19,48.01
2020-10-20,46.91
2020-10-21,53.04
2020-10-22,54.4
2020-10-23,55.5
2020-10-24,59.25
2020-10-25,58.86
2020-10-26,56.84
2020-10-27,57.95
2020-10-28,55.78
2020-10-29,54.91
2020-10-30,54.01
2020-10-31,55.71
2020-11-02,53.8
2020-11-03,53.97
2020-11-04,54.69
2020-11-05,58.99
2020-11-06,63.28
2020-11-07,58.98
2020-11-08,61.05
2020-11-09,59.28
2020-11-10,58.01
2020-11-11,59.35
2020-11-12,60.82
2020-11-13,66.02
2020-11-14,63.86
2020-11-15,62.34
2020-11-16,73.86
2020-11-17,76.48
2020-11-18,73.44
2020-11-19,81.58
2020-11-20,82.64
2020-11-21,87.32
2020-11-22,82.95
2020-11-23,89.21
2020-11-24,89.47
2020-11-25,81.83
2020-11-26,71.06
2020-11-27,69.22
2020-11-28,72.64
2020-11-29,78.95
2020-11-30,87.75
2020-12-02,88.98
2020-12-03,89.05
2020-12-04,79.54
2020-12-05,83.21
2020-12-06,83.64
2020-12-07,83.43
2020-12-08,76.74
2020-12-09,77.41
2020-12-10,74.73
2020-12-11,72.22
2020-12-12,76.63
2020-12-13,82.3
2020-12-14,82.38
2020-12-15,81.35
2020-12-16,93.05
2020-12-17,101.09
2020-12-18,109.43
2020-12-19,119.91
2020-12-20,114.68
2020-12-21,104.57
2020-12-22,114.37
2020-12-23,102.5
2020-12-24,111.25
2020-12-25,127.96
2020-12-26,129.79
2020-12-27,127.99
2020-12-28,130.04
2020-12-29,129.05
2020-12-30,130.21
2020-12-31,124.36
2021-01-02,137.08
2021-01-03,161.97
2021-01-04,155.58
2021-01-05,158.6
2021-01-06,169.18
2021-01-07,169.65
2021-01-08,172.47
2021-01-09,177.56
2021-01-10,170.36
2021-01-11,139.06
2021-01-12,133.48
2021-01-13,147.63
2021-01-14,152.64
2021-01-15,143.54
2021-01-16,143.65
2021-01-17,142.91
2021-01-18,152.09
2021-01-19,151.85
2021-01-20,149.81
2021-01-21,129.83
2021-01-22,137.72
2021-01-23,137.78
2021-01-24,141.18
2021-01-25,137.14
2021-01-26,134.77
2021-01-27,122.39
2021-01-28,133.43
2021-01-29,134.84
2021-01-30,133.54
2021-01-31,129.53
2021-02-02,142.26
2021-02-03,156.29
2021-02-04,145.28
2021-02-05,155.28
2021-02-06,155.76
2021-02-07,150.91
2021-02-08,167.71
2021-02-09,182.06
2021-02-10,181.82
2021-02-11,184.12
2021-02-12,197.04
2021-02-13,226.27
2021-02-14,213.79
2021-02-15,208.18
2021-02-16,210.56
2021-02-17,237.59
2021-02-18,226.8
2021-02-19,236.78
2021-02-20,227.07
2021-02-21,227.49
2021-02-22,208.18
2021-02-23,177.61
2021-02-24,181.45
2021-02-25,179.5
2021-02-26,170.3
2021-02-27,171.9
2021-02-28,165.36
2021-03-02,179.27
2021-03-03,187.72
2021-03-04,180.82
2021-03-05,180.36
2021-03-06,182.99
2021-03-07,190.96
2021-03-08,192.07
2021-03-09,203.98
2021-03-10,200.52
2021-03-11,201.57
2021-03-12,221.13
2021-03-13,226.34
2021-03-14,214.08
2021-03-15,200.74
2021-03-16,201.83
2021-03-17,206.13
2021-03-18,199.98
2021-03-19,200.15
2021-03-20,200.34
2021-03-21,195.52
2021-03-22,185.71
2021-03-23,185.99
2021-03-24,176.15
2021-03-25,171.66
2021-03-26,183.63
2021-03-27,184.3
2021-03-28,184.4
2021-03-29,193.95
2021-03-30,195.95
2021-03-31,197.01
2021-04-02,211.96
2021-04-03,195.52
2021-04-04,202.66
2021-04-05,221.84
2021-04-06,237.52
2021-04-07,219.36
2021-04-08,226.45
2021-04-09,221.35
2021-04-10,257.13
2021-04-11,252.85
2021-04-12,244.92
2021-04-13,267.99
2021-04-14,279.54
2021-04-15,286.11
2021-04-16,308.74
2021-04-17,301.49
2021-04-18,273.71
2021-04-19,261.61
2021-04-20,260.88
2021-04-21,257.99
2021-04-22,252.64
2021-04-23,241.38
2021-04-24,225.02
2021-04-25,223.96
2021-04-26,247.64
2021-04-27,259.92
2021-04-28,258.69
2021-04-29,255.43
2021-04-30,271.43
2021-05-02,269.11
2021-05-03,294.95
2021-05-04,305.52
2021-05-05,356.76
2021-05-06,354.94
2021-05-07,344.91
2021-05-08,347.76
2021-05-09,388.49
2021-05-10,359.39
2021-05-11,378.15
2021-05-12,311.54
2021-05-13,318.04
2021-05-14,326.53
2021-05-15,300.42
2021-05-16,295.87
2021-05-17,281.63
2021-05-18,294.27
2021-05-19,185.96
2021-05-20,210.78
2021-05-21,179.83
2021-05-22,169.34
2021-05-23,142.4
2021-05-24,185.22
2021-05-25,183.75
2021-05-26,198.86
2021-05-27,194.3
2021-05-28,177.36
2021-05-29,163.83
2021-05-30,170.51
2021-05-31,187.95
2021-06-02,187.19
2021-06-03,193.55
2021-06-04,178.48
2021-06-05,172.87
2021-06-06,176.35
2021-06-07,161.9
2021-06-08,160.6
2021-06-09,172.47
2021-06-10,168.08
2021-06-11,162.79
2021-06-12,161.75
2021-06-13,170.83
2021-06-14,179.81
2021-06-15,175.13
2021-06-16,166.5
2021-06-17,167.07
2021-06-18,156.21
2021-06-19,152.43
2021-06-20,154.87
2021-06-21,124.34
2021-06-22,119.57
2021-06-23,129.0
2021-06-24,134.49
2021-06-25,124.91
2021-06-26,126.65
2021-06-27,132.52
2021-06-28,137.65
2021-06-29,144.2
2021-06-30,144.18
2021-07-02,136.7
2021-07-03,140.15
2021-07-04,144.97
2021-07-05,137.66
2021-07-06,138.81
2021-07-07,137.33
2021-07-08,132.07
2021-07-09,134.47
2021-07-10,133.94
2021-07-11,134.21
2021-07-12,133.27
2021-07-13,131.33
2021-07-14,131.02
2021-07-15,125.81
2021-07-16,120.58
2021-07-17,119.9
2021-07-18,119.1
2021-07-19,113.06
2021-07-20,107.23
2021-07-21,117.69
2021-07-22,120.59
2021-07-23,124.2
2021-07-24,125.93
2021-07-25,127.62
2021-07-26,131.05
2021-07-27,134.69
2021-07-28,140.48
2021-07-29,141.39
2021-07-30,145.49
2021-07-31,144.36
2021-08-02,141.35
2021-08-03,138.48
2021-08-04,142.61
2021-08-05,143.62
2021-08-06,148.05
2021-08-07,156.03
2021-08-08,149.76
2021-08-09,166.41
2021-08-10,165.45
2021-08-11,170.67
2021-08-12,165.41
2021-08-13,183.39
2021-08-14,182.9
2021-08-15,184.8
2021-08-16,177.98
2021-08-17,168.69
2021-08-18,166.68
2021-08-19,175.7
2021-08-20,183.7
2021-08-21,179.79
2021-08-22,186.05
2021-08-23,187.19
2021-08-24,173.51
2021-08-25,177.86
2021-08-26,167.72
2021-08-27,176.35
2021-08-28,175.79
2021-08-29,174.46
2021-08-30,167.46
2021-08-31,171.68
2021-09-02,183.58
2021-09-03,213.23
2021-09-04,212.23
2021-09-05,232.51
2021-09-06,219.57
2021-09-07,178.26
2021-09-08,179.66
2021-09-09,180.42
2021-09-10,174.16
2021-09-11,178.59
2021-09-12,183.14
2021-09-13,179.43
2021-09-14,183.13
2021-09-15,189.18
2021-09-16,185.33
2021-09-17,180.08
2021-09-18,181.35
2021-09-19,175.69
2021-09-20,157.22
2021-09-21,148.41
2021-09-22,161.46
2021-09-23,163.77
2021-09-24,151.97
2021-09-25,150.86
2021-09-26,150.61
2021-09-27,144.89
2021-09-28,140.37
2021-09-29,144.65
2021-09-30,153.17
2021-10-02,168.83
2021-10-03,170.54
2021-10-04,167.59
2021-10-05,173.88
2021-10-06,178.69
2021-10-07,178.7
2021-10-08,176.06
2021-10-09,180.07
2021-10-10,174.77
2021-10-11,179.15
2021-10-12,172.68
2021-10-13,177.77
2021-10-14,181.53
2021-10-15,189.86
2021-10-16,186.14
2021-10-17,183.93
2021-10-18,185.72
2021-10-19,188.88
2021-10-20,207.51
2021-10-21,196.92
2021-10-22,191.14
2021-10-23,196.42
2021-10-24,190.47
2021-10-25,195.62
2021-10-26,197.68
2021-10-27,179.21
2021-10-28,189.99
2021-10-29,196.84
2021-10-30,190.45
2021-10-31,192.03
2021-11-02,201.12
2021-11-03,207.48
2021-11-04,202.83
2021-11-05,198.99
2021-11-06,197.74
2021-11-07,202.29
2021-11-08,229.3
2021-11-09,262.4
2021-11-10,260.3
2021-11-11,262.41
2021-11-12,251.27
2021-11-13,257.79
2021-11-14,279.6
2021-11-15,263.04
2021-11-16,230.25
2021-11-17,229.75
2021-11-18,204.24
2021-11-19,217.94
2021-11-20,226.66
2021-11-21,221.37
2021-11-22,209.07
2021-11-23,216.33
2021-11-24,212.36
2021-11-25,223.19
2021-11-26,195.67
2021-11-27,195.09
2021-11-28,199.55
2021-11-29,205.55
2021-11-30,207.96
2021-12-02,203.51
2021-12-03,187.94
2021-12-04,162.74
2021-12-05,156.25
2021-12-06,161.26
2021-12-07,161.76
2021-12-08,165.03
2021-12-09,151.16
2021-12-10,148.2
2021-12-11,157.98
2021-12-12,158.84
2021-12-13,144.5
2021-12-14,150.21
2021-12-15,153.54
2021-12-16,148.8
2021-12-17,143.9
2021-12-18,148.56
2021-12-19,153.25
2021-12-20,152.6
2021-12-21,154.72
2021-12-22,155.31
2021-12-23,163.66
2021-12-24,161.25
2021-12-25,157.86
2021-12-26,155.77
2021-12-27,155.89
2021-12-28,145.57
2021-12-29,145.51
2021-12-30,147.88
2021-12-31,146.17
2022-01-01,150.74
2022-01-02,151.13
2022-01-03,148.43
2022-01-04,146.45
2022-01-05,135.21
2022-01-06,135.88
2022-01-07,131.36
2022-01-08,129.4
2022-01-09,130.86
2022-01-10,126.41
2022-01-11,131.52
2022-01-12,141.89
2022-01-13,136.69
2022-01-14,144.7
2022-01-15,147.56
2022-01-16,146.34
2022-01-17,151.09
2022-01-18,141.34
2022-01-19,136.2
2022-01-20,129.57
2022-01-21,114.47
2022-01-22,108.35
2022-01-23,112.18
2022-01-24,109.48
2022-01-25,107.77
2022-01-26,106.92
2022-01-27,106.84
2022-01-28,109.34
2022-01-29,110.75
2022-01-30,108.4
2022-01-31,109.42
2022-02-01,115.03
2022-02-02,108.18
2022-02-03,110.89
2022-02-04,121.21
2022-02-05,121.69
2022-02-06,127.52
2022-02-07,137.26
2022-02-08,133.6
2022-02-09,139.96
2022-02-10,134.47
2022-02-11,125.53
2022-02-12,126.65
2022-02-13,125.58
2022-02-14,124.5
2022-02-15,131.57
2022-02-16,127.63
2022-02-17,116.25
2022-02-18,114.72
2022-02-19,115.5
2022-02-20,110.53
2022-02-21,102.67
2022-02-22,107.41
2022-02-23,105.29
2022-02-24,104.1
2022-02-25,109.17
2022-03-02,110.26
2022-03-03,111.6
2022-03-04,100.91
2022-03-05,104.79
2022-03-06,101.02
2022-03-07,98.25
2022-03-08,100.61
2022-03-09,106.83
2022-03-10,102.46
2022-03-11,104.39
2022-03-12,105.47
2022-03-13,101.6
2022-03-14,105.5
2022-03-15,106.81
2022-03-16,111.2
2022-03-17,110.17
2022-03-18,111.87
2022-03-19,116.61
2022-03-20,114.78
2022-03-21,116.0
2022-03-22,122.69
2022-03-23,122.37
2022-03-24,126.45
2022-03-25,123.85
2022-03-26,124.72
2022-03-27,129.56
2022-03-28,127.42
2022-03-29,130.0
2022-03-30,131.07
2022-03-31,123.87
2022-04-03,128.77
2022-04-04,124.7
2022-04-05,122.69
2022-04-06,111.59
2022-04-07,113.99
2022-04-08,110.6
2022-04-09,112.62
2022-04-10,110.23
2022-04-11,102.42
2022-04-12,104.78
2022-04-13,110.47
2022-04-14,107.32
2022-04-15,110.85
2022-04-16,114.31
2022-04-17,108.69
2022-04-18,111.19
2022-04-19,113.77
2022-04-20,111.81
2022-04-21,106.61
2022-04-22,105.3
2022-04-23,105.12
2022-04-24,104.43
2022-04-25,104.49
2022-04-26,98.51
2022-04-27,100.54
2022-04-28,103.25
2022-04-29,100.32
2022-04-30,95.72
2022-05-01,99.18
