DATETIME,price
2020-10-16,0.8156
2020-10-17,0.8079
2020-10-18,0.8702
2020-10-19,0.8014
2020-10-20,0.6769
2020-10-21,0.706
2020-10-22,0.7495
2020-10-23,0.7289
2020-10-24,0.7407
2020-10-25,0.845
2020-10-26,0.7796
2020-10-27,0.7618
2020-10-28,0.7015
2020-10-29,0.6908
2020-10-30,0.6308
2020-10-31,0.6395
2020-11-02,0.6059
2020-11-03,0.5626
2020-11-04,0.5339
2020-11-05,0.692
2020-11-06,0.7196
2020-11-07,0.6965
2020-11-08,0.8157
2020-11-09,0.9273
2020-11-10,0.9443
2020-11-11,0.8579
2020-11-12,0.7892
2020-11-13,0.8987
2020-11-14,0.8684
2020-11-15,0.8307
2020-11-16,0.8674
2020-11-17,0.9329
2020-11-18,0.8332
2020-11-19,0.8455
2020-11-20,0.948
2020-11-21,1.1876
2020-11-22,1.0804
2020-11-23,1.1722
2020-11-24,1.2465
2020-11-25,1.1056
2020-11-26,1.0092
2020-11-27,0.9958
2020-11-28,1.0208
2020-11-29,1.0143
2020-11-30,1.0784
2020-12-02,1.1773
2020-12-03,1.1561
2020-12-04,1.1035
2020-12-05,1.1115
2020-12-06,1.0323
2020-12-07,1.0125
2020-12-08,0.9329
2020-12-09,0.9958
2020-12-10,0.9564
2020-12-11,0.8686
2020-12-12,0.9176
2020-12-13,0.9535
2020-12-14,0.9942
2020-12-15,1.0062
2020-12-16,1.0487
2020-12-17,0.9959
2020-12-18,1.0064
2020-12-19,1.0488
2020-12-20,1.0598
2020-12-21,1.2212
2020-12-22,1.1593
2020-12-23,0.962
2020-12-24,1.062
2020-12-25,1.0198
2020-12-26,1.0253
2020-12-27,1.1971
2020-12-28,1.2235
2020-12-29,1.1656
2020-12-30,1.2092
2020-12-31,1.394
2021-01-02,1.4135
2021-01-03,1.4802
2021-01-04,1.3891
2021-01-05,1.5008
2021-01-06,1.5466
2021-01-07,1.5006
2021-01-08,1.7408
2021-01-09,1.7637
2021-01-10,1.7449
2021-01-11,1.4834
2021-01-12,1.4346
2021-01-13,1.6091
2021-01-14,1.729
2021-01-15,1.8362
2021-01-16,2.0885
2021-01-17,2.5074
2021-01-18,2.4153
2021-01-19,2.1648
2021-01-20,2.486
2021-01-21,2.1688
2021-01-22,2.3723
2021-01-23,2.3899
2021-01-24,2.564
2021-01-25,2.4513
2021-01-26,2.384
2021-01-27,2.034
2021-01-28,2.2517
2021-01-29,2.2055
2021-01-30,2.1761
2021-01-31,2.1444
2021-02-02,2.4646
2021-02-03,2.5657
2021-02-04,2.5003
2021-02-05,2.8684
2021-02-06,2.6953
2021-02-07,3.4079
2021-02-08,3.4719
2021-02-09,3.3148
2021-02-10,3.2522
2021-02-11,3.4623
2021-02-12,4.735
2021-02-13,4.8401
2021-02-14,4.3231
2021-02-15,4.0308
2021-02-16,4.0899
2021-02-17,4.2396
2021-02-18,4.4507
2021-02-19,4.3961
2021-02-20,4.0041
2021-02-21,4.1076
2021-02-22,3.7397
2021-02-23,3.3644
2021-02-24,3.5746
2021-02-25,3.9001
2021-02-26,4.2287
2021-02-27,4.0107
2021-02-28,3.8179
2021-03-02,4.0411
2021-03-03,4.1683
2021-03-04,4.5391
2021-03-05,4.1666
2021-03-06,4.0549
2021-03-07,4.2811
2021-03-08,4.584
2021-03-09,5.4209
2021-03-10,5.3191
2021-03-11,6.0837
2021-03-12,6.9297
2021-03-13,7.4075
2021-03-14,6.6203
2021-03-15,5.9105
2021-03-16,6.3931
2021-03-17,6.2427
2021-03-18,6.066
2021-03-19,6.1785
2021-03-20,6.2868
2021-03-21,6.0519
2021-03-22,5.4118
2021-03-23,5.3125
2021-03-24,4.8546
2021-03-25,4.8141
2021-03-26,5.4832
2021-03-27,5.336
2021-03-28,5.6116
2021-03-29,5.8124
2021-03-30,6.3669
2021-03-31,6.0119
2021-04-02,6.0062
2021-04-03,5.6976
2021-04-04,6.0947
2021-04-05,6.1483
2021-04-06,6.787
2021-04-07,6.1358
2021-04-08,6.8231
2021-04-09,6.424
2021-04-10,6.5181
2021-04-11,6.7937
2021-04-12,6.7345
2021-04-13,6.5234
2021-04-14,6.3513
2021-04-15,6.5442
2021-04-16,5.9552
2021-04-17,5.8844
2021-04-18,5.1612
2021-04-19,4.7344
2021-04-20,4.9395
2021-04-21,4.7792
2021-04-22,4.7917
2021-04-23,4.6509
2021-04-24,4.2455
2021-04-25,4.6477
2021-04-26,5.0247
2021-04-27,5.1592
2021-04-28,4.9163
2021-04-29,5.4989
2021-04-30,5.5705
2021-05-02,5.2828
2021-05-03,5.4837
2021-05-04,4.8191
2021-05-05,5.2524
2021-05-06,5.2173
2021-05-07,5.3285
2021-05-08,5.2425
2021-05-09,5.0726
2021-05-10,4.696
2021-05-11,4.9507
2021-05-12,4.7507
2021-05-13,5.4968
2021-05-14,5.7404
2021-05-15,5.9553
2021-05-16,5.8783
2021-05-17,5.7256
2021-05-18,5.6838
2021-05-19,3.6075
2021-05-20,4.1913
2021-05-21,3.4647
2021-05-22,3.1647
2021-05-23,2.6598
2021-05-24,3.2672
2021-05-25,3.3329
2021-05-26,3.5374
2021-05-27,3.3017
2021-05-28,2.9205
2021-05-29,2.6936
2021-05-30,3.1147
2021-05-31,3.355
2021-06-02,3.3139
2021-06-03,3.6114
2021-06-04,3.1698
2021-06-05,3.2841
2021-06-06,3.2023
2021-06-07,2.9234
2021-06-08,2.8977
2021-06-09,3.2264
2021-06-10,2.968
2021-06-11,3.0217
2021-06-12,2.9104
2021-06-13,3.1325
2021-06-14,3.2225
2021-06-15,3.2166
2021-06-16,3.0759
2021-06-17,3.0845
2021-06-18,2.9287
2021-06-19,2.8604
2021-06-20,2.8816
2021-06-21,2.2394
2021-06-22,2.1303
2021-06-23,2.146
2021-06-24,2.1688
2021-06-25,1.8897
2021-06-26,1.8847
2021-06-27,1.9583
2021-06-28,1.9733
2021-06-29,2.0936
2021-06-30,2.0868
2021-07-02,2.1028
2021-07-03,2.2534
2021-07-04,2.2889
2021-07-05,2.1668
2021-07-06,2.2521
2021-07-07,2.3064
2021-07-08,2.0966
2021-07-09,2.0902
2021-07-10,2.1107
2021-07-11,2.1715
2021-07-12,2.0868
2021-07-13,1.9459
2021-07-14,1.993
2021-07-15,1.9253
2021-07-16,1.8367
2021-07-17,1.9357
2021-07-18,1.9044
2021-07-19,1.7293
2021-07-20,1.6772
2021-07-21,1.826
2021-07-22,1.9313
2021-07-23,1.9374
2021-07-24,2.136
2021-07-25,2.1548
2021-07-26,2.1442
2021-07-27,2.2325
2021-07-28,2.2252
2021-07-29,2.2548
2021-07-30,2.3218
2021-07-31,2.399
2021-08-02,2.3532
2021-08-03,2.3416
2021-08-04,2.4574
2021-08-05,2.5166
2021-08-06,2.5259
2021-08-07,2.7846
2021-08-08,2.5606
2021-08-09,2.6892
2021-08-10,2.8615
2021-08-11,2.9764
2021-08-12,3.3429
2021-08-13,3.4169
2021-08-14,3.2511
2021-08-15,3.2347
2021-08-16,3.4663
2021-08-17,3.7286
2021-08-18,4.4328
2021-08-19,4.4899
2021-08-20,4.4164
2021-08-21,6.1879
2021-08-22,5.467
2021-08-23,5.5036
2021-08-24,5.0502
2021-08-25,5.6027
2021-08-26,4.8707
2021-08-27,5.323
2021-08-28,5.725
2021-08-29,5.5492
2021-08-30,5.3349
2021-08-31,5.2867
2021-09-02,5.5016
2021-09-03,6.1815
2021-09-04,6.0874
2021-09-05,6.15
2021-09-06,6.1032
2021-09-07,8.6751
2021-09-08,10.3838
2021-09-09,9.7419
2021-09-10,9.9389
2021-09-11,9.0519
2021-09-12,8.9476
