DATETIME,price
2020-09-15,2.9332
2020-09-16,2.5395
2020-09-17,2.8855
2020-09-18,3.108
2020-09-19,3.0193
2020-09-20,2.8635
2020-09-21,2.7539
2020-09-22,2.9183
2020-09-23,2.8313
2020-09-24,3.1392
2020-09-25,3.1821
2020-09-26,3.1262
2020-09-27,3.1617
2020-09-28,2.9564
2020-09-29,2.9517
2020-09-30,2.9004
2020-10-02,2.6236
2020-10-03,2.5454
2020-10-04,2.5236
2020-10-05,2.6495
2020-10-06,2.1732
2020-10-07,2.3027
2020-10-08,2.3716
2020-10-09,2.5363
2020-10-10,2.407
2020-10-11,2.4257
2020-10-12,2.5825
2020-10-13,2.4048
2020-10-14,2.3087
2020-10-15,2.267
2020-10-16,2.1404
2020-10-17,2.2062
2020-10-18,2.2186
2020-10-19,2.0578
2020-10-20,1.8905
2020-10-21,1.8933
2020-10-22,1.9619
2020-10-23,1.9645
2020-10-24,1.9196
2020-10-25,1.7937
2020-10-26,1.6786
2020-10-27,1.7135
2020-10-28,1.5196
2020-10-29,1.4325
2020-10-30,1.4378
2020-10-31,1.5472
2020-11-02,1.4741
2020-11-03,1.4131
2020-11-04,1.391
2020-11-05,1.4011
2020-11-06,1.8998
2020-11-07,2.0283
2020-11-08,2.1571
2020-11-09,2.0393
2020-11-10,2.2652
2020-11-11,2.003
2020-11-12,1.9083
2020-11-13,2.0191
2020-11-14,1.92
2020-11-15,2.0431
2020-11-16,2.268
2020-11-17,2.207
2020-11-18,2.1166
2020-11-19,2.0797
2020-11-20,2.1052
2020-11-21,2.3991
2020-11-22,2.1502
2020-11-23,2.2826
2020-11-24,2.2894
2020-11-25,2.2673
2020-11-26,1.9032
2020-11-27,1.8558
2020-11-28,1.8821
2020-11-29,1.9093
2020-11-30,1.959
2020-12-02,2.116
2020-12-03,2.0989
2020-12-04,1.8463
2020-12-05,1.9776
2020-12-06,1.8515
2020-12-07,1.8299
2020-12-08,1.6617
2020-12-09,1.6553
2020-12-10,1.5686
2020-12-11,1.4406
2020-12-12,1.4886
2020-12-13,1.5636
2020-12-14,1.5936
2020-12-15,1.7534
2020-12-16,1.7869
2020-12-17,1.6808
2020-12-18,1.7003
2020-12-19,1.6683
2020-12-20,1.5638
2020-12-21,1.5347
2020-12-22,1.4905
2020-12-23,1.1975
2020-12-24,1.3638
2020-12-25,1.4448
2020-12-26,1.3215
2020-12-27,1.3023
2020-12-28,1.5169
2020-12-29,1.666
2020-12-30,1.5304
2020-12-31,1.504
2021-01-02,1.7976
2021-01-03,2.1767
2021-01-04,2.4832
2021-01-05,2.1355
2021-01-06,1.8753
2021-01-07,2.3651
2021-01-08,3.222
2021-01-09,3.3776
2021-01-10,3.446
2021-01-11,3.0988
2021-01-12,3.6276
2021-01-13,3.5291
2021-01-14,3.2949
2021-01-15,3.2464
2021-01-16,3.4259
2021-01-17,3.8328
2021-01-18,3.7933
2021-01-19,3.6276
2021-01-20,3.7133
2021-01-21,2.9793
2021-01-22,3.3286
2021-01-23,3.5094
2021-01-24,3.6369
2021-01-25,3.7044
2021-01-26,4.0447
2021-01-27,3.6727
2021-01-28,3.8139
2021-01-29,3.8409
2021-01-30,4.2462
2021-01-31,4.2628
2021-02-02,5.2529
2021-02-03,5.7373
2021-02-04,6.4358
2021-02-05,6.7101
2021-02-06,6.1325
2021-02-07,6.7037
2021-02-08,7.8917
2021-02-09,7.8335
2021-02-10,9.1102
2021-02-11,9.2215
2021-02-12,9.2344
2021-02-13,8.7627
2021-02-14,8.7306
2021-02-15,8.8695
2021-02-16,8.3036
2021-02-17,8.2533
2021-02-18,8.9956
2021-02-19,11.5096
2021-02-20,9.9965
2021-02-21,11.0851
2021-02-22,14.3413
2021-02-23,15.2413
2021-02-24,17.2227
2021-02-25,13.8484
2021-02-26,13.5941
2021-02-27,13.19
2021-02-28,13.1072
2021-03-02,13.9565
2021-03-03,14.0941
2021-03-04,13.0784
2021-03-05,12.5659
2021-03-06,13.0512
2021-03-07,13.845
2021-03-08,13.6344
2021-03-09,14.9102
2021-03-10,14.2333
2021-03-11,16.0763
2021-03-12,14.5742
2021-03-13,15.3216
2021-03-14,14.4642
2021-03-15,14.184
2021-03-16,13.6639
2021-03-17,14.2288
2021-03-18,14.2183
2021-03-19,14.1535
2021-03-20,14.1892
2021-03-21,14.3395
2021-03-22,14.7957
2021-03-23,14.142
2021-03-24,13.5875
2021-03-25,12.9776
2021-03-26,14.7725
2021-03-27,16.4803
2021-03-28,18.1022
2021-03-29,18.9811
2021-03-30,19.0933
2021-03-31,19.4044
2021-04-02,19.8353
2021-04-03,22.4904
2021-04-04,23.7879
2021-04-05,23.018
2021-04-06,25.0987
2021-04-07,26.5699
2021-04-08,26.9589
2021-04-09,27.6623
2021-04-10,26.8349
2021-04-11,27.9493
2021-04-12,28.585
2021-04-13,27.5083
2021-04-14,26.4194
2021-04-15,27.7857
2021-04-16,25.3449
2021-04-17,24.8423
2021-04-18,32.3492
2021-04-19,31.5856
2021-04-20,31.7022
2021-04-21,32.6637
2021-04-22,38.9341
2021-04-23,37.3702
2021-04-24,40.8663
2021-04-25,47.3823
2021-04-26,43.9698
2021-04-27,43.2296
2021-04-28,44.8884
2021-04-29,42.4925
2021-04-30,42.8771
2021-05-02,46.9593
2021-05-03,46.0232
2021-05-04,42.6551
2021-05-05,45.0381
2021-05-06,43.5641
2021-05-07,43.2345
2021-05-08,45.7022
2021-05-09,44.3591
2021-05-10,42.8909
2021-05-11,44.624
2021-05-12,43.484
2021-05-13,41.052
2021-05-14,42.741
2021-05-15,43.53
2021-05-16,46.866
2021-05-17,46.74
2021-05-18,55.95
2021-05-19,34.952
2021-05-20,44.431
2021-05-21,38.921
2021-05-22,31.225
2021-05-23,24.517
2021-05-24,31.417
2021-05-25,30.007
2021-05-26,35.42
2021-05-27,33.779
2021-05-28,28.993
2021-05-29,27.38
2021-05-30,28.59
2021-05-31,32.749
2021-06-02,33.994
2021-06-03,39.627
2021-06-04,37.37
2021-06-05,39.658
2021-06-06,42.199
2021-06-07,38.247
2021-06-08,41.229
2021-06-09,42.024
2021-06-10,41.09
2021-06-11,36.162
2021-06-12,36.474
2021-06-13,38.708
2021-06-14,39.672
2021-06-15,39.54
2021-06-16,39.677
2021-06-17,39.269
2021-06-18,36.8
2021-06-19,35.151
2021-06-20,35.228
2021-06-21,26.578
2021-06-22,26.956
2021-06-23,30.774
2021-06-24,31.151
2021-06-25,28.591
2021-06-26,29.639
