DATETIME,price
2023-05-03,1.3932
2023-05-04,1.3295
2023-05-05,1.3059
2023-05-06,1.3291
2023-05-07,1.2419
2023-05-08,1.1359
2023-05-09,1.1826
2023-05-10,1.1783
2023-05-11,1.0727
2023-05-12,1.1144
2023-05-13,1.0989
2023-05-14,1.1581
2023-05-15,1.1919
2023-05-16,1.1645
2023-05-17,1.2121
2023-05-18,1.1409
2023-05-19,1.1303
2023-05-20,1.1238
2023-05-21,1.0724
2023-05-22,1.0497
2023-05-23,1.0525
2023-05-24,0.9775
2023-05-25,0.9816
2023-05-26,0.9906
2023-05-27,0.998
2023-05-28,1.061
2023-05-29,1.0391
2023-05-30,1.0004
2023-05-31,0.9739
2023-06-01,0.9455
2023-06-02,0.9411
2023-06-03,0.9332
2023-06-04,0.9601
2023-06-05,0.8162
2023-06-06,0.8312
2023-06-07,0.7569
2023-06-08,0.7283
2023-06-09,0.738
2023-06-10,0.6089
2023-06-11,0.6047
2023-06-12,0.6627
2023-06-13,0.6976
2023-06-14,0.65
2023-06-15,0.6484
2023-06-16,0.7068
2023-06-17,0.7538
2023-06-18,0.7194
2023-06-19,0.7846
2023-06-20,0.8186
2023-06-21,0.8309
2023-06-22,0.8022
2023-06-23,0.7978
2023-06-24,0.7523
2023-06-25,0.7447
2023-06-26,0.7258
2023-06-27,0.7197
2023-06-28,0.663
2023-06-29,0.6801
2023-06-30,0.6884
2023-07-01,0.6887
2023-07-02,0.6907
2023-07-03,0.6997
2023-07-04,0.6851
2023-07-05,0.6618
2023-07-06,0.6484
2023-07-07,0.6608
2023-07-08,0.6523
2023-07-09,0.6586
2023-07-10,0.6547
2023-07-11,0.6551
2023-07-12,0.6551
2023-07-13,0.6984
2023-07-14,0.6799
2023-07-15,0.6826
2023-07-16,0.6718
2023-07-17,0.7195
2023-07-18,0.7361
2023-07-19,0.7093
2023-07-20,0.6882
2023-07-21,0.6832
2023-07-22,0.6931
2023-07-23,0.6786
2023-07-24,0.6363
2023-07-25,0.6362
2023-07-26,0.634
2023-07-27,0.6299
2023-07-28,0.6294
2023-07-29,0.6383
2023-07-30,0.6196
2023-07-31,0.6317
2023-08-01,0.6465
2023-08-02,0.6136
2023-08-03,0.5922
2023-08-04,0.5919
2023-08-05,0.5916
2023-08-06,0.592
2023-08-07,0.5829
2023-08-08,0.5939
2023-08-09,0.5948
2023-08-10,0.605
2023-08-11,0.6047
2023-08-12,0.6074
2023-08-13,0.598
2023-08-14,0.5992
2023-08-15,0.5603
2023-08-16,0.5268
2023-08-17,0.4746
2023-08-18,0.4835
2023-08-19,0.5588
2023-08-20,0.5433
2023-08-21,0.5137
2023-08-22,0.5356
2023-08-23,0.6015
2023-08-24,0.5725
2023-08-25,0.5566
2023-08-26,0.5875
2023-08-27,0.583
2023-08-28,0.5469
2023-08-29,0.5447
2023-08-30,0.525
2023-08-31,0.5
2023-09-01,0.4886
2023-09-02,0.4905
2023-09-03,0.4837
2023-09-04,0.4831
2023-09-05,0.4905
2023-09-06,0.4815
2023-09-07,0.4855
2023-09-08,0.4812
2023-09-09,0.4811
2023-09-10,0.4546
2023-09-11,0.4262
2023-09-12,0.4273
2023-09-13,0.4423
2023-09-14,0.4447
2023-09-15,0.446
2023-09-16,0.4662
2023-09-17,0.4343
2023-09-18,0.4475
2023-09-19,0.4539
2023-09-20,0.4463
2023-09-21,0.4398
2023-09-22,0.4446
2023-09-23,0.4458
2023-09-24,0.4387
2023-09-25,0.4426
2023-09-26,0.4383
2023-09-27,0.4371
2023-09-28,0.4472
2023-09-29,0.4787
2023-09-30,0.4698
2023-10-01,0.5068
2023-10-02,0.4659
2023-10-03,0.4442
2023-10-04,0.4415
2023-10-05,0.4341
2023-10-06,0.4432
2023-10-07,0.4424
2023-10-08,0.4375
2023-10-09,0.4157
2023-10-10,0.4158
2023-10-11,0.4096
2023-10-12,0.4071
2023-10-13,0.4133
2023-10-14,0.4155
2023-10-15,0.4104
2023-10-16,0.4101
2023-10-17,0.3804
2023-10-18,0.3821
2023-10-19,0.3699
2023-10-20,0.3824
2023-10-21,0.3905
2023-10-22,0.4041
2023-10-23,0.421
2023-10-24,0.4344
2023-10-25,0.4373
2023-10-26,0.4402
2023-10-27,0.4312
2023-10-28,0.4674
2023-10-29,0.453
2023-10-30,0.4634
2023-10-31,0.4432
2023-11-01,0.4657
2023-11-02,0.4591
2023-11-03,0.4559
2023-11-04,0.5067
2023-11-05,0.5003
2023-11-06,0.5289
2023-11-07,0.5238
2023-11-08,0.5788
