DATETIME,price
2020-09-19,5.7311
2020-09-20,5.2313
2020-09-21,4.2532
2020-09-22,3.9101
2020-09-23,4.3829
2020-09-24,5.1553
2020-09-25,4.9089
2020-09-26,4.873
2020-09-27,4.8502
2020-09-28,4.256
2020-09-29,4.3884
2020-09-30,4.1604
2020-10-02,3.894
2020-10-03,3.9012
2020-10-04,3.7255
2020-10-05,3.3233
2020-10-06,2.7109
2020-10-07,2.9558
2020-10-08,3.3501
2020-10-09,3.3806
2020-10-10,3.2959
2020-10-11,3.3624
2020-10-12,3.4572
2020-10-13,3.354
2020-10-14,3.109
2020-10-15,3.0771
2020-10-16,3.0404
2020-10-17,3.053
2020-10-18,3.2732
2020-10-19,3.1687
2020-10-20,2.8587
2020-10-21,2.9385
2020-10-22,3.0444
2020-10-23,3.0184
2020-10-24,2.9447
2020-10-25,2.7769
2020-10-26,2.7138
2020-10-27,2.8097
2020-10-28,2.6631
2020-10-29,2.539
2020-10-30,2.4133
2020-10-31,2.2658
2020-11-02,2.2528
2020-11-03,2.137
2020-11-04,1.9279
2020-11-05,2.1902
2020-11-06,2.5706
2020-11-07,2.4773
2020-11-08,2.8675
2020-11-09,2.6795
2020-11-10,3.0804
2020-11-11,2.9321
2020-11-12,2.9573
2020-11-13,3.8462
2020-11-14,3.8132
2020-11-15,3.8482
2020-11-16,3.5688
2020-11-17,3.8191
2020-11-18,3.4632
2020-11-19,3.7466
2020-11-20,3.8611
2020-11-21,3.8467
2020-11-22,3.6853
2020-11-23,4.1945
2020-11-24,4.0747
2020-11-25,3.68
2020-11-26,3.4341
2020-11-27,3.3073
2020-11-28,3.4611
2020-11-29,3.5519
2020-11-30,3.7792
2020-12-02,3.9477
2020-12-03,3.8855
2020-12-04,3.5203
2020-12-05,3.6836
2020-12-06,3.6519
2020-12-07,3.761
2020-12-08,3.3013
2020-12-09,3.3524
2020-12-10,3.242
2020-12-11,2.9616
2020-12-12,3.1245
2020-12-13,3.3406
2020-12-14,3.4801
2020-12-15,3.3307
2020-12-16,3.5407
2020-12-17,3.697
2020-12-18,3.7705
2020-12-19,3.965
2020-12-20,3.7667
2020-12-21,3.5166
2020-12-22,3.7363
2020-12-23,3.3176
2020-12-24,3.5256
2020-12-25,3.5062
2020-12-26,3.42
2020-12-27,3.6035
2020-12-28,3.7336
2020-12-29,3.6756
2020-12-30,4.154
2020-12-31,5.155
2021-01-02,4.8617
2021-01-03,5.5249
2021-01-04,5.432
2021-01-05,6.2595
2021-01-06,6.4222
2021-01-07,6.279
2021-01-08,5.8836
2021-01-09,6.2393
2021-01-10,5.99
2021-01-11,5.2402
2021-01-12,5.5912
2021-01-13,6.3426
2021-01-14,6.973
2021-01-15,7.3762
2021-01-16,8.4052
2021-01-17,8.6869
2021-01-18,9.2063
2021-01-19,8.5996
2021-01-20,8.988
2021-01-21,7.5995
2021-01-22,8.6951
2021-01-23,9.3467
2021-01-24,12.0512
2021-01-25,11.3156
2021-01-26,13.9081
2021-01-27,14.7215
2021-01-28,14.1217
2021-01-29,15.6636
2021-01-30,19.5551
2021-01-31,17.7516
2021-02-02,19.0051
2021-02-03,19.7753
2021-02-04,20.1483
2021-02-05,21.1991
2021-02-06,19.2986
2021-02-07,18.6843
2021-02-08,19.3793
2021-02-09,19.5536
2021-02-10,20.7165
2021-02-11,21.5345
2021-02-12,22.7
2021-02-13,21.8543
2021-02-14,20.863
2021-02-15,20.1047
2021-02-16,20.4965
2021-02-17,21.5581
2021-02-18,21.1869
2021-02-19,20.1054
2021-02-20,28.7711
2021-02-21,28.84
2021-02-22,27.7285
2021-02-23,24.8499
2021-02-24,25.2542
2021-02-25,23.5103
2021-02-26,23.1188
2021-02-27,23.5588
2021-02-28,22.2342
2021-03-02,25.5372
2021-03-03,25.3835
2021-03-04,28.3053
2021-03-05,28.3138
2021-03-06,28.5264
2021-03-07,34.2945
2021-03-08,33.3088
2021-03-09,32.9799
2021-03-10,30.9415
2021-03-11,31.0675
2021-03-12,30.9554
2021-03-13,32.5155
2021-03-14,30.6672
2021-03-15,29.8326
2021-03-16,30.0805
2021-03-17,31.349
2021-03-18,30.021
2021-03-19,33.3195
2021-03-20,32.104
2021-03-21,32.9581
2021-03-22,32.8598
2021-03-23,31.0137
2021-03-24,27.2252
2021-03-25,26.523
2021-03-26,28.91
2021-03-27,28.2226
2021-03-28,27.896
2021-03-29,29.048
2021-03-30,28.6021
2021-03-31,28.1142
2021-04-02,30.2742
2021-04-03,29.4398
2021-04-04,30.9745
2021-04-05,30.9
2021-04-06,31.2786
2021-04-07,28.5772
2021-04-08,30.2088
2021-04-09,29.5525
2021-04-10,29.8201
2021-04-11,29.988
2021-04-12,36.7741
2021-04-13,35.5052
2021-04-14,36.1035
2021-04-15,37.7967
2021-04-16,36.1801
2021-04-17,34.763
2021-04-18,31.6669
2021-04-19,31.4083
2021-04-20,31.9788
2021-04-21,33.4638
2021-04-22,33.947
2021-04-23,32.9697
2021-04-24,30.1676
2021-04-25,34.3849
2021-04-26,38.193
2021-04-27,39.6818
2021-04-28,42.9312
2021-04-29,41.0774
2021-04-30,40.6815
2021-05-02,42.6641
