DATETIME,price
2020-01-07,0.2138
2020-01-08,0.2078
2020-01-09,0.204
2020-01-10,0.2128
2020-01-11,0.2117
2020-01-12,0.2158
2020-01-13,0.2115
2020-01-14,0.235
2020-01-15,0.2337
2020-01-16,0.227
2020-01-17,0.2284
2020-01-18,0.2441
2020-01-19,0.236
2020-01-20,0.2335
2020-01-21,0.2375
2020-01-22,0.2376
2020-01-23,0.2262
2020-01-24,0.2224
2020-01-25,0.2197
2020-01-26,0.2313
2020-01-27,0.2309
2020-01-28,0.2393
2020-01-29,0.236
2020-01-30,0.2443
2020-01-31,0.2397
2020-02-02,0.2515
2020-02-03,0.255
2020-02-04,0.2676
2020-02-05,0.2786
2020-02-06,0.2841
2020-02-07,0.2799
2020-02-08,0.2775
2020-02-09,0.2828
2020-02-10,0.2736
2020-02-11,0.2816
2020-02-12,0.3043
2020-02-13,0.3276
2020-02-14,0.3362
2020-02-15,0.3075
2020-02-16,0.2926
2020-02-17,0.2877
2020-02-18,0.2989
2020-02-19,0.2746
2020-02-20,0.271
2020-02-21,0.2745
2020-02-22,0.2749
2020-02-23,0.2834
2020-02-24,0.2707
2020-02-25,0.2524
2020-02-26,0.2292
2020-02-27,0.2388
2020-02-28,0.2368
2020-02-29,0.2291
2020-03-02,0.2399
2020-03-03,0.2344
2020-03-04,0.2349
2020-03-05,0.2395
2020-03-06,0.2452
2020-03-07,0.2364
2020-03-08,0.2042
2020-03-09,0.2096
2020-03-10,0.2119
2020-03-11,0.2084
2020-03-12,0.1346
2020-03-13,0.1587
2020-03-14,0.1458
2020-03-15,0.1529
2020-03-16,0.1408
2020-03-17,0.1469
2020-03-18,0.1473
2020-03-19,0.1648
2020-03-20,0.1568
2020-03-21,0.158
2020-03-22,0.1476
2020-03-23,0.1583
2020-03-24,0.162
2020-03-25,0.1617
2020-03-26,0.1758
2020-03-27,0.1728
2020-03-28,0.1753
2020-03-29,0.1625
2020-03-30,0.1709
2020-03-31,0.1736
2020-04-02,0.1783
2020-04-03,0.1795
2020-04-04,0.1811
2020-04-05,0.179
2020-04-06,0.1979
2020-04-07,0.1925
2020-04-08,0.2019
2020-04-09,0.198
2020-04-10,0.1876
2020-04-11,0.1881
2020-04-12,0.1893
2020-04-13,0.1874
2020-04-14,0.186
2020-04-15,0.1805
2020-04-16,0.1904
2020-04-17,0.1886
2020-04-18,0.1951
2020-04-19,0.1889
2020-04-20,0.1813
2020-04-21,0.1833
2020-04-22,0.188
2020-04-23,0.1925
2020-04-24,0.1931
2020-04-25,0.1941
2020-04-26,0.1961
2020-04-27,0.1974
2020-04-28,0.2143
2020-04-29,0.2266
2020-04-30,0.2116
2020-05-02,0.2238
2020-05-03,0.2194
2020-05-04,0.2181
2020-05-05,0.2169
2020-05-06,0.2118
2020-05-07,0.2187
2020-05-08,0.2189
2020-05-09,0.2167
2020-05-10,0.1971
2020-05-11,0.1926
2020-05-12,0.197
2020-05-13,0.2015
2020-05-14,0.2036
2020-05-15,0.1979
2020-05-16,0.1996
2020-05-17,0.2011
2020-05-18,0.2053
2020-05-19,0.2049
2020-05-20,0.2019
2020-05-21,0.1942
2020-05-22,0.2004
2020-05-23,0.1988
2020-05-24,0.1923
2020-05-25,0.1961
2020-05-26,0.1936
2020-05-27,0.1978
2020-05-28,0.2005
2020-05-29,0.1977
2020-05-30,0.2072
2020-05-31,0.2024
2020-06-02,0.203
2020-06-03,0.2043
