DATETIME,price
2020-02-06,70.17
2020-02-07,68.59
2020-02-08,70.13
2020-02-09,71.43
2020-02-10,69.9
2020-02-11,72.75
2020-02-12,73.61
2020-02-13,72.12
2020-02-14,72.96
2020-02-15,64.53
2020-02-16,60.06
2020-02-17,64.21
2020-02-18,65.91
2020-02-19,62.07
2020-02-20,60.8
2020-02-21,61.63
2020-02-22,60.86
2020-02-23,63.4
2020-02-24,60.76
2020-02-25,57.11
2020-02-26,51.38
2020-02-27,52.98
2020-02-28,50.79
2020-02-29,48.98
2020-03-02,52.39
2020-03-03,50.84
2020-03-04,50.16
2020-03-05,51.9
2020-03-06,53.34
2020-03-07,50.68
2020-03-08,42.81
2020-03-09,42.21
2020-03-10,41.46
2020-03-11,40.26
2020-03-12,25.38
2020-03-13,27.38
2020-03-14,24.94
2020-03-15,25.66
2020-03-16,24.67
2020-03-17,25.01
2020-03-18,29.75
2020-03-19,31.95
2020-03-20,33.07
2020-03-21,32.95
2020-03-22,29.45
2020-03-23,32.06
2020-03-24,32.72
2020-03-25,32.15
2020-03-26,32.43
2020-03-27,31.01
2020-03-28,30.3
2020-03-29,28.17
2020-03-30,30.54
2020-03-31,30.92
2020-04-02,32.21
2020-04-03,32.67
2020-04-04,33.01
2020-04-05,32.52
2020-04-06,37.58
2020-04-07,36.44
2020-04-08,37.87
2020-04-09,40.77
2020-04-10,36.59
2020-04-11,36.22
2020-04-12,36.37
2020-04-13,35.73
2020-04-14,35.51
2020-04-15,35.07
2020-04-16,38.74
2020-04-17,40.34
2020-04-18,42.1
2020-04-19,46.4
2020-04-20,41.94
2020-04-21,42.14
2020-04-22,45.51
2020-04-23,44.5
2020-04-24,44.1
2020-04-25,44.78
2020-04-26,44.61
2020-04-27,44.51
2020-04-28,44.66
2020-04-29,47.13
2020-04-30,44.76
2020-05-02,46.55
2020-05-03,44.82
2020-05-04,44.0
2020-05-05,43.88
2020-05-06,42.33
2020-05-07,44.26
2020-05-08,46.76
2020-05-09,45.02
2020-05-10,40.95
2020-05-11,39.72
2020-05-12,42.24
2020-05-13,42.9
2020-05-14,43.2
2020-05-15,41.93
2020-05-16,42.58
2020-05-17,46.18
2020-05-18,48.1
2020-05-19,48.97
2020-05-20,48.44
2020-05-21,46.02
2020-05-22,47.7
2020-05-23,46.91
2020-05-24,45.03
2020-05-25,45.98
2020-05-26,44.9
2020-05-27,46.19
2020-05-28,47.76
2020-05-29,46.63
2020-05-30,54.59
2020-05-31,51.54
2020-06-02,51.49
2020-06-03,52.93
2020-06-04,52.24
2020-06-05,52.64
2020-06-06,52.92
2020-06-07,52.29
2020-06-08,52.57
2020-06-09,52.03
2020-06-10,55.29
2020-06-11,49.69
2020-06-12,51.67
2020-06-13,52.84
2020-06-14,51.11
2020-06-15,52.27
2020-06-16,53.03
2020-06-17,52.87
2020-06-18,52.02
2020-06-19,51.5
2020-06-20,51.51
2020-06-21,50.51
2020-06-22,53.57
2020-06-23,58.26
2020-06-24,55.2
2020-06-25,55.84
2020-06-26,55.74
2020-06-27,52.28
2020-06-28,51.97
2020-06-29,52.42
2020-06-30,51.48
2020-07-02,51.19
2020-07-03,51.13
2020-07-04,51.46
2020-07-05,51.16
2020-07-06,55.58
2020-07-07,55.16
2020-07-08,58.08
2020-07-09,56.93
2020-07-10,56.12
2020-07-11,55.87
2020-07-12,58.72
2020-07-13,61.31
2020-07-14,62.09
2020-07-15,61.26
2020-07-16,59.19
2020-07-17,59.57
2020-07-18,59.1
2020-07-19,58.39
2020-07-20,57.09
2020-07-21,62.53
2020-07-22,64.4
2020-07-23,63.56
2020-07-24,63.12
2020-07-25,65.74
2020-07-26,66.28
2020-07-27,70.96
2020-07-28,70.66
2020-07-29,72.24
2020-07-30,70.72
2020-07-31,75.0
2020-08-02,84.48
2020-08-03,82.44
2020-08-04,85.07
2020-08-05,97.53
2020-08-06,96.96
2020-08-07,94.59
2020-08-08,97.25
2020-08-09,92.14
2020-08-10,89.15
2020-08-11,81.02
2020-08-12,83.72
2020-08-13,87.56
2020-08-14,85.23
2020-08-15,85.36
2020-08-16,85.5
2020-08-17,86.84
2020-08-18,83.31
2020-08-19,76.38
2020-08-20,79.04
2020-08-21,73.71
2020-08-22,76.97
2020-08-23,84.44
2020-08-24,80.45
2020-08-25,73.01
2020-08-26,75.02
2020-08-27,72.3
2020-08-28,76.27
2020-08-29,78.76
2020-08-30,81.29
2020-08-31,78.33
2020-09-02,76.07
2020-09-03,56.73
2020-09-04,59.7
2020-09-05,56.0
2020-09-06,58.94
2020-09-07,61.9
2020-09-08,58.7
2020-09-09,59.96
2020-09-10,62.15
2020-09-11,63.37
2020-09-12,65.7
2020-09-13,62.62
2020-09-14,63.32
2020-09-15,59.4
2020-09-16,58.43
2020-09-17,59.74
2020-09-18,57.91
2020-09-19,58.0
2020-09-20,57.66
2020-09-21,51.67
2020-09-22,53.35
2020-09-23,51.88
2020-09-24,55.19
2020-09-25,54.9
2020-09-26,56.24
2020-09-27,55.6
2020-09-28,56.26
2020-09-29,61.29
2020-09-30,64.13
2020-10-02,63.86
2020-10-03,60.74
