DATE_TIME,current_contract,next_contract,carry_contract
2013-09-09 23:00:00,20130900,20140100,20140100
2014-01-09 23:00:00,20140100,20140500,20140500
2014-05-09 23:00:00,20140500,20140900,20140900
2014-09-09 23:00:00,20140900,20150100,20150100
2015-01-09 23:00:00,20150100,20150500,20150500
2015-05-15 23:00:00,20150500,20160100,20160100
2016-01-08 23:00:00,20160100,20160500,20160500
2016-05-09 23:00:00,20160500,20160900,20160900
2016-09-09 23:00:00,20160900,20170100,20170100
2017-01-09 23:00:00,20170100,20170500,20170500
2017-05-09 23:00:00,20170500,20170900,20170900
2017-09-11 23:00:00,20170900,20180100,20180100
2018-01-09 23:00:00,20180100,20180500,20180500
2018-05-02 23:00:00,20180500,20180900,20180900
2018-09-12 23:00:00,20180900,20190100,20190100
2019-01-09 23:00:00,20190100,20190500,20190500
