DATE_TIME,current_contract,next_contract,carry_contract
1999-04-22 23:00:00,19990500,19990700,19990700
1999-06-22 23:00:00,19990700,19990900,19990900
1999-08-03 23:00:00,19990900,19991100,19991100
1999-10-22 23:00:00,19991100,20000100,20000100
1999-12-23 23:00:00,20000100,20000500,20000500
2000-03-13 23:00:00,20000500,20000700,20000700
2000-06-22 23:00:00,20000700,20000900,20000900
2000-08-15 23:00:00,20000900,20001100,20001100
2000-10-23 23:00:00,20001100,20010100,20010100
2000-12-22 23:00:00,20010100,20010500,20010500
2001-04-23 23:00:00,20010500,20010700,20010700
2001-06-22 23:00:00,20010700,20011100,20011100
2001-10-23 23:00:00,20011100,20020100,20020100
2001-12-24 23:00:00,20020100,20020500,20020500
2002-04-22 23:00:00,20020500,20020900,20020900
2002-08-23 23:00:00,20020900,20030300,20030300
2003-02-20 23:00:00,20030300,20030500,20030500
2003-04-22 23:00:00,20030500,20030900,20030900
2003-08-22 23:00:00,20030900,20040100,20040100
2003-12-23 23:00:00,20040100,20040500,20040500
2004-04-22 23:00:00,20040500,20040900,20040900
2004-08-23 23:00:00,20040900,20041100,20041100
2004-10-22 23:00:00,20041100,20050100,20050100
2004-12-23 23:00:00,20050100,20050500,20050500
2005-04-22 23:00:00,20050500,20050900,20050900
2005-08-23 23:00:00,20050900,20051100,20051100
2005-10-24 23:00:00,20051100,20060100,20060100
2005-12-28 23:00:00,20060100,20060500,20060500
2006-04-11 23:00:00,20060500,20060700,20060700
