DATE_TIME,current_contract,next_contract,carry_contract
2020-05-08 23:00:00,20200500,20200900,20200900
2020-09-07 23:00:00,20200900,20201000,20201000
2020-10-14 23:00:00,20201000,20201100,20201100
2020-11-09 23:00:00,20201100,20210100,20210100
2021-01-11 23:00:00,20210100,20210200,20210200
2021-02-09 23:00:00,20210200,20210300,20210300
2021-03-11 23:00:00,20210300,20210500,20210500
2021-05-10 23:00:00,20210500,20210600,20210600
2021-06-08 23:00:00,20210600,20210900,20210900
2021-09-03 23:00:00,20210900,20211000,20211000
2021-10-08 23:00:00,20211000,20220100,20220100
2022-01-10 23:00:00,20220100,20220200,20220200
2022-02-07 23:00:00,20220200,20220300,20220300
2022-03-14 23:00:00,20220300,20220500,20220500
2022-05-05 23:00:00,20220500,20220600,20220600
2022-06-15 23:00:00,20220600,20220900,20220900
2022-09-01 23:00:00,20220900,20221000,20221000
2022-10-10 23:00:00,20221000,20230100,20230100
2023-01-11 23:00:00,20230100,20230300,20230300
2023-03-03 23:00:00,20230300,20230500,20230500
2023-05-10 23:00:00,20230500,20230900,20230900
2023-09-08 23:00:00,20230900,20240100,20240100
2024-01-09 23:00:00,20240100,20240200,20240200
2024-02-08 23:00:00,20240200,20240300,20240300
2024-03-07 23:00:00,20240300,20240500,20240500
2024-05-08 23:00:00,20240500,20240900,20240900
2024-09-09 23:00:00,20240900,20250100,20250100
