Instrument,Contract,CarryContract,Start,End,PriceRows,CarryRows,Reason,UpdateMode,Calendar
CZCE_LR,native_chain,native_chain,2014-07-08 23:00:00,2015-01-15 23:00:00,70,12,已验证的初始原生合约链,closed,
CZCE_LR,20190300,20190500,2018-05-03 23:00:00,2019-03-12 23:00:00,200,39,独立有成交历史片段；跨片段无虚拟换月,closed,
CZCE_RS,native_chain,native_chain,2012-12-28 23:00:00,2014-10-16 23:00:00,299,125,已验证的初始原生合约链,closed,
CZCE_RS,20150900,20151100,2014-10-22 23:00:00,2015-09-01 23:00:00,139,5,独立有成交历史片段；跨片段无虚拟换月,closed,
CZCE_RS,20160900,20161100,2015-09-17 23:00:00,2016-08-29 23:00:00,116,11,独立有成交历史片段；跨片段无虚拟换月,closed,
CZCE_RS,20190900,20191100,2018-09-17 23:00:00,2019-09-16 23:00:00,143,41,独立有成交历史片段；跨片段无虚拟换月,closed,
CZCE_RI,native_chain,native_chain,2013-11-01 23:00:00,2014-09-19 23:00:00,220,218,真实重叠和同合约滞后20日成交量审理,closed,episode_calendars/CZCE_RI_2013-11-01.csv
CZCE_RI,native_chain,native_chain,2014-09-22 23:00:00,2016-11-21 23:00:00,268,125,原存储死亡尾段；资格表保持空白,closed,
CZCE_WH,native_chain,native_chain,2013-06-19 23:00:00,2019-05-07 23:00:00,1409,1286,真实重叠和同合约滞后20日成交量审理,closed,episode_calendars/CZCE_WH_2013-06-19.csv
CZCE_WH,native_chain,native_chain,2019-05-08 23:00:00,2019-05-29 23:00:00,16,10,原存储片段；资格表保持空白,closed,
CZCE_WH,native_chain,native_chain,2019-05-30 23:00:00,2019-09-05 23:00:00,69,1,真实重叠和同合约滞后20日成交量审理,closed,episode_calendars/CZCE_WH_2019-05-30.csv
CZCE_WH,native_chain,native_chain,2019-09-06 23:00:00,2020-03-23 23:00:00,102,39,原存储片段；资格表保持空白,closed,
CZCE_WH,native_chain,native_chain,2020-03-24 23:00:00,2020-11-18 23:00:00,160,114,真实重叠和同合约滞后20日成交量审理,closed,episode_calendars/CZCE_WH_2020-03-24.csv
CZCE_WH,native_chain,native_chain,2020-11-19 23:00:00,2022-02-24 23:00:00,238,60,原存储片段；资格表保持空白,closed,
CZCE_WH,native_chain,native_chain,2022-02-25 23:00:00,2022-04-12 23:00:00,31,4,真实重叠和同合约滞后20日成交量审理,closed,episode_calendars/CZCE_WH_2022-02-25.csv
CZCE_WH,native_chain,native_chain,2022-05-10 23:00:00,2022-12-28 23:00:00,13,5,原存储死亡尾段；资格表保持空白,closed,
CZCE_WT,native_chain,native_chain,1999-03-19 23:00:00,2006-04-27 23:00:00,1692,1658,真实重叠和同合约滞后20日成交量审理,closed,episode_calendars/CZCE_WT_1999-03-19.csv
CZCE_WT,native_chain,native_chain,2006-04-28 23:00:00,2008-09-12 23:00:00,487,338,原存储片段；资格表保持空白,closed,
CZCE_WT,native_chain,native_chain,2008-09-16 23:00:00,2009-03-04 23:00:00,105,104,真实重叠和同合约滞后20日成交量审理,closed,episode_calendars/CZCE_WT_2008-09-16.csv
CZCE_WT,native_chain,native_chain,2009-03-05 23:00:00,2010-11-05 23:00:00,378,282,原存储片段；资格表保持空白,closed,
CZCE_WT,native_chain,native_chain,2010-11-08 23:00:00,2012-08-31 23:00:00,442,412,真实重叠和同合约滞后20日成交量审理,closed,episode_calendars/CZCE_WT_2010-11-08.csv
CZCE_ZC,native_chain,native_chain,2016-08-29 23:00:00,2022-05-11 23:00:00,1379,1379,真实重叠和同合约滞后20日成交量审理,closed,episode_calendars/CZCE_ZC_2016-08-29.csv
CZCE_ZC,native_chain,native_chain,2022-05-12 23:00:00,2022-10-25 23:00:00,6,3,原存储死亡尾段；资格表保持空白,closed,
