Instrument,Start,End,Reason,ReviewDate
CFFEX_IC,2015-05-18,2026-09-07,已审核可用历史,2026-09-07
CFFEX_IF,2010-05-19,2026-09-07,已审核可用历史,2026-09-07
CFFEX_IH,2015-05-18,2026-09-07,已审核可用历史,2026-09-07
CFFEX_IM,2022-08-19,2026-09-07,已审核可用历史,2026-09-07
CFFEX_T,2015-08-21,2026-09-07,已审核可用历史,2026-09-07
CFFEX_TF,2013-11-21,2026-09-07,已审核可用历史,2026-09-07
CFFEX_TL,2023-05-26,2026-09-07,已审核可用历史,2026-09-07
CFFEX_TS,2019-05-29,2026-09-07,成交恢复后的可用历史,2026-09-07
CZCE_AP,2018-05-16,2026-09-07,已审核可用历史,2026-09-07
CZCE_CF,2005-01-18,2026-09-07,修正持有月份后按同合约滞后20观察成交量重新审理；全历史事后政策,2026-09-07
CZCE_CJ,2019-12-10,2026-09-07,修正持有月份后按同合约滞后20观察成交量重新审理；全历史事后政策,2026-09-07
CZCE_CY,2017-08-18,2026-09-07,修正持有月份后按同合约滞后20观察成交量重新审理；全历史事后政策,2026-09-07
CZCE_ER,2009-09-23,2013-01-18,已审核可用历史；最后正成交报价边界,2026-09-07
CZCE_FG,2013-05-16,2026-09-07,已审核可用历史,2026-09-07
CZCE_JR,,,成交或连续报价不足；无已审核可用区间,2026-09-07
CZCE_LR,2014-07-08,2015-01-15,已审核可用历史；最后正成交报价边界,2026-09-07
CZCE_LR,2018-05-03,2019-03-12,成交恢复后的可用历史；最后正成交报价边界,2026-09-07
CZCE_MA,2015-05-15,2026-09-07,修正持有月份后按同合约滞后20观察成交量重新审理；全历史事后政策,2026-09-07
CZCE_ME,2012-05-15,2015-01-16,修正持有月份后按同合约滞后20观察成交量重新审理；全历史事后政策,2026-09-07
CZCE_OI,2013-09-16,2026-09-07,已审核可用历史,2026-09-07
CZCE_PF,2021-05-10,2026-09-07,修正持有月份后按同合约滞后20观察成交量重新审理；全历史事后政策,2026-09-07
CZCE_PK,2021-10-14,2026-09-07,修正持有月份后按同合约滞后20观察成交量重新审理；全历史事后政策,2026-09-07
CZCE_PL,2025-07-22,2026-09-07,已审核可用历史,2026-09-07
CZCE_PM,,,成交或连续报价不足；无已审核可用区间,2026-09-07
CZCE_PR,2025-04-01,2026-09-07,已审核可用历史,2026-09-07
CZCE_PX,2024-05-20,2026-09-07,修正持有月份后按同合约滞后20观察成交量重新审理；全历史事后政策,2026-09-07
CZCE_RI,2013-11-01,2014-09-19,独立原生价格片段；真实正成交起止；无可靠换月重叠处保留资格空白,2026-09-07
CZCE_RM,2013-05-16,2026-09-07,已审核可用历史,2026-09-07
CZCE_RO,2007-09-14,2013-01-16,修正持有月份后按同合约滞后20观察成交量重新审理；全历史事后政策,2026-09-07
CZCE_RS,2012-12-28,2013-09-10,已审核可用历史；最后正成交报价边界,2026-09-07
CZCE_RS,2014-04-28,2014-10-16,成交恢复后的可用历史；最后正成交报价边界,2026-09-07
CZCE_RS,2015-06-12,2015-09-01,成交恢复后的可用历史；最后正成交报价边界,2026-09-07
CZCE_RS,2018-09-17,2019-09-16,成交恢复后的可用历史；最后正成交报价边界,2026-09-07
CZCE_SA,2020-05-19,2026-09-07,修正持有月份后按同合约滞后20观察成交量重新审理；全历史事后政策,2026-09-07
CZCE_SF,2017-01-12,2026-09-07,修正持有月份后按同合约滞后20观察成交量重新审理；全历史事后政策,2026-09-07
CZCE_SH,2024-05-20,2026-09-07,修正持有月份后按同合约滞后20观察成交量重新审理；全历史事后政策,2026-09-07
CZCE_SM,2017-01-04,2026-09-07,修正持有月份后按同合约滞后20观察成交量重新审理；全历史事后政策,2026-09-07
CZCE_SR,2006-05-22,2026-09-07,已审核可用历史,2026-09-07
CZCE_TA,2007-05-24,2026-09-07,修正持有月份后按同合约滞后20观察成交量重新审理；全历史事后政策,2026-09-07
CZCE_TC,2013-10-29,2015-09-08,已审核可用历史；最后正成交报价边界,2026-09-07
CZCE_UR,2019-12-16,2026-09-07,已审核可用历史,2026-09-07
CZCE_WH,2013-06-19,2019-05-07,独立原生价格片段；真实正成交起止；无可靠换月重叠处保留资格空白,2026-09-07
CZCE_WH,2019-05-30,2019-09-05,独立原生价格片段；真实正成交起止；无可靠换月重叠处保留资格空白,2026-09-07
CZCE_WH,2020-03-24,2020-11-18,独立原生价格片段；真实正成交起止；无可靠换月重叠处保留资格空白,2026-09-07
CZCE_WH,2022-02-25,2022-04-12,独立原生价格片段；真实正成交起止；无可靠换月重叠处保留资格空白,2026-09-07
CZCE_WS,2003-05-23,2013-01-23,已审核可用历史；最后正成交报价边界,2026-09-07
CZCE_WT,1999-03-19,2006-04-27,独立原生价格片段；真实正成交起止；无可靠换月重叠处保留资格空白,2026-09-07
CZCE_WT,2008-09-16,2009-03-04,独立原生价格片段；真实正成交起止；无可靠换月重叠处保留资格空白,2026-09-07
CZCE_WT,2010-11-08,2012-08-31,独立原生价格片段；真实正成交起止；无可靠换月重叠处保留资格空白,2026-09-07
CZCE_ZC,2016-08-29,2022-05-11,独立原生价格片段；真实正成交起止；无可靠换月重叠处保留资格空白,2026-09-07
DCE_A,1999-01-18,2026-09-07,修正持有月份后按同合约滞后20观察成交量重新审理；全历史事后政策,2026-09-07
DCE_B,2004-12-22,2006-09-07,独立原生价格片段；真实正成交起止；无可靠换月重叠处保留资格空白,2026-09-07
DCE_B,2017-12-19,2026-09-07,独立原生价格片段；真实正成交起止；无可靠换月重叠处保留资格空白,2026-09-07
DCE_BB,2014-09-09,2015-09-07,独立原生价格片段；真实正成交起止；无可靠换月重叠处保留资格空白,2026-09-07
DCE_BZ,2025-07-08,2026-09-07,已审核可用历史,2026-09-07
DCE_C,2005-03-15,2026-09-07,修正持有月份后按同合约滞后20观察成交量重新审理；全历史事后政策,2026-09-07
DCE_CS,2015-03-16,2026-09-07,修正持有月份后按同合约滞后20观察成交量重新审理；全历史事后政策,2026-09-07
DCE_EB,2020-04-23,2026-09-07,已审核可用历史,2026-09-07
DCE_EG,2019-06-26,2026-09-07,修正持有月份后按同合约滞后20观察成交量重新审理；全历史事后政策,2026-09-07
DCE_FB,2019-12-02,2024-12-31,独立原生价格片段；真实正成交起止；无可靠换月重叠处保留资格空白,2026-09-07
DCE_FB,2025-01-14,2025-06-03,独立原生价格片段；真实正成交起止；无可靠换月重叠处保留资格空白,2026-09-07
DCE_FB,2025-06-06,2026-09-07,独立原生价格片段；真实正成交起止；无可靠换月重叠处保留资格空白,2026-09-07
DCE_FB_OLD,2014-03-17,2015-05-11,独立原生价格片段；真实正成交起止；无可靠换月重叠处保留资格空白,2026-09-07
DCE_FB_OLD,2018-11-22,2019-10-11,独立原生价格片段；真实正成交起止；无可靠换月重叠处保留资格空白,2026-09-07
DCE_I,2014-05-19,2026-09-07,已审核可用历史,2026-09-07
DCE_J,2011-09-16,2026-09-07,修正持有月份后按同合约滞后20观察成交量重新审理；全历史事后政策,2026-09-07
DCE_JD,2014-05-19,2026-09-07,修正持有月份后按同合约滞后20观察成交量重新审理；全历史事后政策,2026-09-07
DCE_JM,2013-09-16,2026-09-07,修正持有月份后按同合约滞后20观察成交量重新审理；全历史事后政策,2026-09-07
DCE_L,2008-01-16,2026-09-07,修正持有月份后按同合约滞后20观察成交量重新审理；全历史事后政策,2026-09-07
DCE_LG,2024-11-18,2026-09-07,已审核可用历史,2026-09-07
DCE_LH,2021-09-28,2026-09-07,已审核可用历史,2026-09-07
DCE_M,2001-01-16,2026-09-07,修正持有月份后按同合约滞后20观察成交量重新审理；全历史事后政策,2026-09-07
DCE_P,2008-01-16,2026-09-07,修正持有月份后按同合约滞后20观察成交量重新审理；全历史事后政策,2026-09-07
DCE_PG,2020-11-23,2026-09-07,已审核可用历史,2026-09-07
DCE_PP,2014-04-14,2026-09-07,已审核可用历史,2026-09-07
DCE_RR,2020-01-09,2026-09-07,修正持有月份后按同合约滞后20观察成交量重新审理；全历史事后政策,2026-09-07
DCE_V,2009-09-15,2026-09-07,修正持有月份后按同合约滞后20观察成交量重新审理；全历史事后政策,2026-09-07
DCE_Y,2006-05-22,2026-09-07,修正持有月份后按同合约滞后20观察成交量重新审理；全历史事后政策,2026-09-07
GFEX_LC,2024-01-16,2026-09-07,已审核可用历史,2026-09-07
GFEX_PD,2025-11-27,2026-09-07,已审核可用历史,2026-09-07
GFEX_PS,2025-06-30,2026-09-07,已审核可用历史,2026-09-07
GFEX_PT,2025-11-27,2026-09-07,已审核可用历史,2026-09-07
GFEX_SI,2023-08-15,2026-09-07,已审核可用历史,2026-09-07
INE_BC,2021-04-06,2026-09-07,修正持有月份后按同合约滞后20观察成交量重新审理；全历史事后政策,2026-09-07
INE_EC,2024-04-30,2026-09-07,已审核可用历史,2026-09-07
INE_LU,2020-12-18,2026-09-07,已审核可用历史,2026-09-07
INE_NR,2020-02-04,2026-09-07,已审核可用历史,2026-09-07
INE_SC,2018-09-03,2026-09-07,已审核可用历史,2026-09-07
SHFE_AD,2025-12-01,2026-09-07,已审核可用历史,2026-09-07
SHFE_AG,2012-05-10,2026-09-07,已审核可用历史,2026-09-07
SHFE_AL,1995-04-17,1996-02-13,已审核可用历史；最后正成交报价边界,2026-09-07
SHFE_AL,1997-09-11,1998-07-03,成交恢复后的可用历史；最后正成交报价边界,2026-09-07
SHFE_AL,1999-01-29,2026-09-07,成交恢复后的可用历史,2026-09-07
SHFE_AO,2023-11-16,2026-09-07,修正持有月份后按同合约滞后20观察成交量重新审理；全历史事后政策,2026-09-07
SHFE_AU,2008-01-09,2026-09-07,已审核可用历史,2026-09-07
SHFE_BR,2024-01-16,2026-09-07,已审核可用历史,2026-09-07
SHFE_BU,2014-06-17,2026-09-07,修正持有月份后按同合约滞后20观察成交量重新审理；全历史事后政策,2026-09-07
SHFE_CU,1995-05-09,2026-09-07,已审核可用历史,2026-09-07
SHFE_FU,2019-01-02,2026-09-07,已审核可用历史,2026-09-07
SHFE_HC,2014-10-16,2026-09-07,修正持有月份后按同合约滞后20观察成交量重新审理；全历史事后政策,2026-09-07
SHFE_NI,2015-08-18,2026-09-07,修正持有月份后按同合约滞后20观察成交量重新审理；全历史事后政策,2026-09-07
SHFE_OP,2025-09-10,2026-09-07,已审核可用历史,2026-09-07
SHFE_PB,2011-09-16,2026-09-07,已审核可用历史,2026-09-07
SHFE_RB,2009-10-16,2026-09-07,修正持有月份后按同合约滞后20观察成交量重新审理；全历史事后政策,2026-09-07
SHFE_RU,1999-05-05,2026-09-07,修正持有月份后按同合约滞后20观察成交量重新审理；全历史事后政策,2026-09-07
SHFE_SN,2015-07-16,2026-09-07,修正持有月份后按同合约滞后20观察成交量重新审理；全历史事后政策,2026-09-07
SHFE_SP,2019-06-13,2026-09-07,修正持有月份后按同合约滞后20观察成交量重新审理；全历史事后政策,2026-09-07
SHFE_SS,2020-02-14,2026-09-07,修正持有月份后按同合约滞后20观察成交量重新审理；全历史事后政策,2026-09-07
SHFE_WR,2009-09-14,2010-10-11,独立原生价格片段；真实正成交起止；无可靠换月重叠处保留资格空白,2026-09-07
SHFE_ZN,2007-07-09,2026-09-07,已审核可用历史,2026-09-07
