DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2023-05-05,0.0037324183458333333,21000100,0.0037211,20991200,0.0037211,21000200
2023-05-06,0.0026052522601666666,21000100,0.00262,20991200,0.00262,21000200
2023-05-07,0.002759007400881667,21000100,0.0027902,20991200,0.0027902,21000200
2023-05-08,0.00194695946835,21000100,0.0019464,20991200,0.0019464,21000200
2023-05-09,0.002013513150075,21000100,0.0020063,20991200,0.0020063,21000200
2023-05-10,0.0018690823970041665,21000100,0.0019195,20991200,0.0019195,21000200
2023-05-11,0.0014053082170804167,21000100,0.0013931,20991200,0.0013931,21000200
2023-05-12,0.0017384441459583333,21000100,0.0017444,20991200,0.0017444,21000200
2023-05-13,0.0015926085887812498,21000100,0.0018575,20991200,0.0018575,21000200
2023-05-14,0.00153640440152375,21000100,0.0017853,20991200,0.0017853,21000200
2023-05-15,0.0016394423194741666,21000100,0.0017318,20991200,0.0017318,21000200
2023-05-16,0.0015710078715375,21000100,0.0016643,20991200,0.0016643,21000200
2023-05-17,0.0015279228054187498,21000100,0.0015735,20991200,0.0015735,21000200
2023-05-18,0.0015544774300675001,21000100,0.0015789,20991200,0.0015789,21000200
2023-05-19,0.0015218340102375,21000100,0.001523,20991200,0.001523,21000200
2023-05-20,0.0017268265477687502,21000100,0.0017145,20991200,0.0017145,21000200
2023-05-21,0.00161096715,21000100,0.0015964,20991200,0.0015964,21000200
2023-05-22,0.0015312379219083335,21000100,0.0015302,20991200,0.0015302,21000200
2023-05-23,0.001586356102426667,21000100,0.0015916,20991200,0.0015916,21000200
2023-05-24,0.0014221507056808333,21000100,0.0014333,20991200,0.0014333,21000200
2023-05-25,0.0014336465259737502,21000100,0.0014289,20991200,0.0014289,21000200
2023-05-26,0.0014590672329158332,21000100,0.0014518,20991200,0.0014518,21000200
2023-05-27,0.0015269070375000002,21000100,0.0015131,20991200,0.0015131,21000200
2023-05-28,0.0015087427875,21000100,0.0014951,20991200,0.0014951,21000200
2023-05-29,0.0014489016750000002,21000100,0.0014358,20991200,0.0014358,21000200
2023-05-30,0.0013053031875,21000100,0.0012935,20991200,0.0012935,21000200
2023-05-31,0.0012685964849999999,21000100,0.0012636,20991200,0.0012636,21000200
2023-06-01,0.001256764275,21000100,0.0012454,20991200,0.0012454,21000200
2023-06-02,0.0013016613896720832,21000100,0.0012821,20991200,0.0012821,21000200
2023-06-03,0.0013067159625000002,21000100,0.0012949,20991200,0.0012949,21000200
2023-06-04,0.00127614182928,21000100,0.0012384,20991200,0.0012384,21000200
2023-06-05,0.0010570792769295833,21000100,0.0010333,20991200,0.0010333,21000200
2023-06-06,0.001217610225,21000100,0.0012066,20991200,0.0012066,21000200
