DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2020-02-02,0.061507381778125,21000100,0.05583,20991200,0.05583,21000200
2020-02-03,0.0621075374855,21000100,0.05718,20991200,0.05718,21000200
2020-02-04,0.05803627236975,21000100,0.05601,20991200,0.05601,21000200
2020-02-05,0.060982573859249996,21000100,0.05949,20991200,0.05949,21000200
2020-02-06,0.07305690528400001,21000100,0.06014,20991200,0.06014,21000200
2020-02-07,0.0685335518625,21000100,0.06014,20991200,0.06014,21000200
2020-02-08,0.06833233159325,21000100,0.06018,20991200,0.06018,21000200
2020-02-09,0.07119809231033333,21000100,0.06194,20991200,0.06194,21000200
2020-02-10,0.06907130607504167,21000100,0.06029,20991200,0.06029,21000200
2020-02-11,0.06895486716462501,21000100,0.06357,20991200,0.06357,21000200
2020-02-12,0.08315058115,21000100,0.06825,20991200,0.06825,21000200
2020-02-13,0.08095804348225001,21000100,0.06882,20991200,0.06882,21000200
2020-02-14,0.07610058116833332,21000100,0.07082,20991200,0.07082,21000200
2020-02-15,0.07032984198625,21000100,0.06433,20991200,0.06433,21000200
2020-02-16,0.06215200875,21000100,0.06159,20991200,0.06159,21000200
2020-02-17,0.06078969000000001,21000100,0.06024,20991200,0.06024,21000200
2020-02-18,0.06340332375,21000100,0.06283,20991200,0.06283,21000200
2020-02-19,0.05789350125,21000100,0.05737,20991200,0.05737,21000200
2020-02-20,0.05871089250000001,21000100,0.05818,20991200,0.05818,21000200
2020-02-21,0.05900353875,21000100,0.05847,20991200,0.05847,21000200
2020-02-22,0.0588319875,21000100,0.0583,20991200,0.0583,21000200
2020-02-23,0.06218821182291667,21000100,0.06151,20991200,0.06151,21000200
2020-02-24,0.05997308160387499,21000100,0.05907,20991200,0.05907,21000200
2020-02-25,0.057531295867916665,21000100,0.05606,20991200,0.05606,21000200
2020-02-26,0.0495884025,21000100,0.04914,20991200,0.04914,21000200
2020-02-27,0.050345246249999996,21000100,0.04989,20991200,0.04989,21000200
2020-02-28,0.0493462125,21000100,0.0489,20991200,0.0489,21000200
2020-02-29,0.047529787500000004,21000100,0.0471,20991200,0.0471,21000200
2020-03-02,0.04978013625,21000100,0.04933,20991200,0.04933,21000200
