DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2020-01-02,199.26641130954164,21000100,195.73,20991200,195.73,21000200
2020-01-03,218.05147224941666,21000100,222.31,20991200,222.31,21000200
2020-01-04,214.5445048845,21000100,224.37,20991200,224.37,21000200
2020-01-05,223.904456083,21000100,222.68,20991200,222.68,21000200
2020-01-06,246.3274125,21000100,244.1,20991200,244.1,21000200
2020-01-07,244.53117,21000100,242.32,20991200,242.32,21000200
2020-01-08,239.7413325755,21000100,240.17,20991200,240.17,21000200
2020-01-09,255.7739860216667,21000100,238.03,20991200,238.03,21000200
2020-01-10,274.9275400065,21000100,271.71,20991200,271.71,21000200
2020-01-11,258.7218911665,21000100,260.84,20991200,260.84,21000200
2020-01-12,270.47696593675,21000100,270.77,20991200,270.77,21000200
2020-01-13,269.436375,21000100,267.0,20991200,267.0,21000200
2020-01-14,351.942435,21000100,348.76,20991200,348.76,21000200
2020-01-15,350.21864611458335,21000100,340.3,20991200,340.3,21000200
2020-01-16,346.99956279049997,21000100,326.77,20991200,326.77,21000200
2020-01-17,382.71881177250003,21000100,368.2,20991200,368.2,21000200
2020-01-18,353.06552788925,21000100,339.63,20991200,339.63,21000200
2020-01-19,365.9957623064167,21000100,339.62,20991200,339.62,21000200
2020-01-20,370.29268775649996,21000100,343.88,20991200,343.88,21000200
2020-01-21,367.2823682713334,21000100,343.48,20991200,343.48,21000200
2020-01-22,368.0895821213333,21000100,349.12,20991200,349.12,21000200
2020-01-23,331.794590226875,21000100,325.55,20991200,325.55,21000200
2020-01-24,326.37999967999997,21000100,319.2,20991200,319.2,21000200
2020-01-25,315.1807755422083,21000100,310.49,20991200,310.49,21000200
2020-01-26,351.0694696274583,21000100,347.89,20991200,347.89,21000200
2020-01-27,366.10045875000003,21000100,362.79,20991200,362.79,21000200
2020-01-28,382.27673250000004,21000100,378.82,20991200,378.82,21000200
2020-01-29,383.87115,21000100,380.4,20991200,380.4,21000200
2020-01-30,396.39439125,21000100,392.81,20991200,392.81,21000200
2020-01-31,386.27982525150003,21000100,375.22,20991200,375.22,21000200
2020-02-02,389.9651882163334,21000100,377.72,20991200,377.72,21000200
2020-02-03,392.41002394075,21000100,384.42,20991200,384.42,21000200
2020-02-04,388.7277407896667,21000100,381.04,20991200,381.04,21000200
2020-02-05,451.5160530545,21000100,445.34,20991200,445.34,21000200
2020-02-06,459.9269932719167,21000100,446.26,20991200,446.26,21000200
2020-02-07,468.8321114815,21000100,439.66,20991200,439.66,21000200
2020-02-08,475.93811864070835,21000100,444.89,20991200,444.89,21000200
2020-02-09,499.3370006083333,21000100,450.5,20991200,450.5,21000200
2020-02-10,510.19644335279173,21000100,452.63,20991200,452.63,21000200
2020-02-11,510.41193261499996,21000100,462.8,20991200,462.8,21000200
2020-02-12,559.2372922951378,21000100,474.07,20991200,474.07,21000200
2020-02-13,549.869201671125,21000100,477.33,20991200,477.33,21000200
2020-02-14,519.7362428270833,21000100,494.15,20991200,494.15,21000200
2020-02-15,478.201116625875,21000100,439.29,20991200,439.29,21000200
2020-02-16,426.30922634766665,21000100,412.12,20991200,412.12,21000200
2020-02-17,434.10510375237504,21000100,413.23,20991200,413.23,21000200
2020-02-18,438.23884634316664,21000100,420.83,20991200,420.83,21000200
2020-02-19,398.78129015725,21000100,378.61,20991200,378.61,21000200
2020-02-20,390.09018022708335,21000100,370.97,20991200,370.97,21000200
2020-02-21,383.61207692249997,21000100,378.45,20991200,378.45,21000200
2020-02-22,377.9626956255,21000100,373.41,20991200,373.41,21000200
2020-02-23,408.30894048849996,21000100,402.06,20991200,402.06,21000200
2020-02-24,385.0190767016667,21000100,378.53,20991200,378.53,21000200
2020-02-25,367.08530958299997,21000100,353.31,20991200,353.31,21000200
2020-02-26,333.1548181140833,21000100,316.94,20991200,316.94,21000200
2020-02-27,329.711822775,21000100,324.75,20991200,324.75,21000200
2020-02-28,318.04592625000004,21000100,315.17,20991200,315.17,21000200
2020-02-29,309.11517000000003,21000100,306.32,20991200,306.32,21000200
2020-03-02,345.184694048,21000100,339.54,20991200,339.54,21000200
2020-03-03,332.65805625,21000100,329.65,20991200,329.65,21000200
2020-03-04,325.21638681750005,21000100,319.74,20991200,319.74,21000200
2020-03-05,340.5424695372083,21000100,337.39,20991200,337.39,21000200
2020-03-06,353.92032000000006,21000100,350.72,20991200,350.72,21000200
2020-03-07,334.20860682433334,21000100,331.06,20991200,331.06,21000200
2020-03-08,285.26036676625,21000100,273.18,20991200,273.18,21000200
2020-03-09,275.811156138875,21000100,273.21,20991200,273.21,21000200
2020-03-10,274.51227374999996,21000100,272.03,20991200,272.03,21000200
2020-03-11,269.84002499999997,21000100,267.4,20991200,267.4,21000200
2020-03-12,142.04398608075002,21000100,142.74,20991200,142.74,21000200
2020-03-13,173.88857122424997,21000100,177.39,20991200,177.39,21000200
2020-03-14,169.350882762,21000100,167.38,20991200,167.38,21000200
2020-03-15,182.99037674908334,21000100,178.34,20991200,178.34,21000200
2020-03-16,172.214550995375,21000100,172.41,20991200,172.41,21000200
2020-03-17,184.12494750000002,21000100,182.46,20991200,182.46,21000200
2020-03-18,186.6275775,21000100,184.94,20991200,184.94,21000200
2020-03-19,223.00653375000002,21000100,220.99,20991200,220.99,21000200
2020-03-20,217.63881380437496,21000100,215.23,20991200,215.23,21000200
2020-03-21,222.10841250000001,21000100,220.1,20991200,220.1,21000200
2020-03-22,204.65055,21000100,202.8,20991200,202.8,21000200
2020-03-23,223.39000125,21000100,221.37,20991200,221.37,21000200
2020-03-24,229.4952075,21000100,227.42,20991200,227.42,21000200
2020-03-25,222.80470875,21000100,220.79,20991200,220.79,21000200
2020-03-26,230.03004375,21000100,227.95,20991200,227.95,21000200
2020-03-27,215.21608875,21000100,213.27,20991200,213.27,21000200
2020-03-28,215.79129,21000100,213.84,20991200,213.84,21000200
2020-03-29,207.3751875,21000100,205.5,20991200,205.5,21000200
2020-03-30,222.08823,21000100,220.08,20991200,220.08,21000200
2020-03-31,220.38280875,21000100,218.39,20991200,218.39,21000200
2020-04-02,234.13718250000002,21000100,232.02,20991200,232.02,21000200
2020-04-03,238.56133185400003,21000100,236.19,20991200,236.19,21000200
2020-04-04,240.40384875,21000100,238.23,20991200,238.23,21000200
2020-04-05,233.68159684900002,21000100,231.08,20991200,231.08,21000200
2020-04-06,260.60653125,21000100,258.25,20991200,258.25,21000200
2020-04-07,254.81415375,21000100,252.51,20991200,252.51,21000200
2020-04-08,269.91066375,21000100,267.47,20991200,267.47,21000200
2020-04-09,258.336,21000100,256.0,20991200,256.0,21000200
2020-04-10,234.722475,21000100,232.6,20991200,232.6,21000200
2020-04-11,234.84357,21000100,232.72,20991200,232.72,21000200
2020-04-12,232.8805401925,21000100,232.86,20991200,232.86,21000200
2020-04-13,219.33627494158333,21000100,223.13,20991200,223.13,21000200
2020-04-14,221.86651409641667,21000100,223.18,20991200,223.18,21000200
2020-04-15,217.0224225,21000100,215.06,20991200,215.06,21000200
2020-04-16,237.26547000000002,21000100,235.12,20991200,235.12,21000200
2020-04-17,234.22800375000003,21000100,232.11,20991200,232.11,21000200
2020-04-18,246.62780548675002,21000100,243.89,20991200,243.89,21000200
2020-04-19,233.89487567745832,21000100,231.29,20991200,231.29,21000200
2020-04-20,221.1396525,21000100,219.14,20991200,219.14,21000200
2020-04-21,221.49284625,21000100,219.49,20991200,219.49,21000200
2020-04-22,235.24722000000003,21000100,233.12,20991200,233.12,21000200
2020-04-23,239.77819125000002,21000100,237.61,20991200,237.61,21000200
2020-04-24,240.22220625000003,21000100,238.05,20991200,238.05,21000200
2020-04-25,241.74453620933338,21000100,238.24,20991200,238.24,21000200
2020-04-26,248.75940375,21000100,246.51,20991200,246.51,21000200
2020-04-27,245.2399104088333,21000100,242.98,20991200,242.98,21000200
