DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2020-02-11,30.227562119749997,21000100,25.705,20991200,25.705,21000200
2020-02-12,31.859032592250003,21000100,26.451,20991200,26.451,21000200
2020-02-13,28.99816792833333,21000100,25.456,20991200,25.456,21000200
2020-02-14,27.417765575466667,21000100,26.384,20991200,26.384,21000200
2020-02-15,28.356731722570835,21000100,24.239,20991200,24.239,21000200
2020-02-16,23.389,21000100,23.389,20991200,23.389,21000200
2020-02-17,24.45705578506667,21000100,23.452,20991200,23.452,21000200
2020-02-18,24.27667247588333,21000100,24.094,20991200,24.094,21000200
2020-02-19,23.320189369320833,21000100,22.367,20991200,22.367,21000200
2020-02-20,23.133854074337503,21000100,22.191,20991200,22.191,21000200
2020-02-21,22.659074453675,21000100,22.209,20991200,22.209,21000200
2020-02-22,23.1265037808,21000100,22.008,20991200,22.008,21000200
2020-02-23,24.10139568003333,21000100,22.868,20991200,22.868,21000200
2020-02-24,22.80022647925,21000100,22.11,20991200,22.11,21000200
2020-02-25,20.80228014675,21000100,20.34,20991200,20.34,21000200
2020-02-26,18.9217320231,21000100,18.729,20991200,18.729,21000200
2020-02-27,19.154,21000100,19.154,20991200,19.154,21000200
2020-02-28,19.001,21000100,19.001,20991200,19.001,21000200
2020-02-29,19.426698782050003,21000100,19.257,20991200,19.257,21000200
2020-03-02,19.9,21000100,19.9,20991200,19.9,21000200
2020-03-03,19.55177766145833,21000100,19.685,20991200,19.685,21000200
2020-03-04,19.58233526075,21000100,19.969,20991200,19.969,21000200
2020-03-05,20.881686477225003,21000100,20.754,20991200,20.754,21000200
2020-03-06,22.017501383595835,21000100,21.379,20991200,21.379,21000200
2020-03-07,21.350442022683332,21000100,20.269,20991200,20.269,21000200
2020-03-08,17.92796911732083,21000100,16.897,20991200,16.897,21000200
2020-03-09,16.973547051529167,21000100,16.589,20991200,16.589,21000200
2020-03-10,16.85,21000100,16.85,20991200,16.85,21000200
2020-03-11,16.591,21000100,16.591,20991200,16.591,21000200
2020-03-12,9.158091279416665,21000100,9.277,20991200,9.277,21000200
2020-03-13,8.886018522999018,21000100,10.958,20991200,10.958,21000200
2020-03-14,10.7410799678125,21000100,10.135,20991200,10.135,21000200
2020-03-15,10.649778292050001,21000100,10.393,20991200,10.393,21000200
2020-03-16,9.34979756515,21000100,9.422,20991200,9.422,21000200
2020-03-17,10.260141495770833,21000100,10.241,20991200,10.241,21000200
2020-03-18,10.392,21000100,10.392,20991200,10.392,21000200
2020-03-19,12.267,21000100,12.267,20991200,12.267,21000200
