DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2020-01-02,6991.191163803,21000100,6962.04,20991200,6962.04,21000200
2020-01-03,7356.8671613895,21000100,7341.72,20991200,7341.72,21000200
2020-01-04,7389.772377383041,21000100,7350.71,20991200,7350.71,21000200
2020-01-05,7421.468535,21000100,7354.36,20991200,7354.36,21000200
2020-01-06,7828.176183750001,21000100,7757.39,20991200,7757.39,21000200
2020-01-07,8226.88147125,21000100,8152.49,20991200,8152.49,21000200
2020-01-08,8139.549198152,21000100,8059.84,20991200,8059.84,21000200
2020-01-09,7889.93463375,21000100,7818.59,20991200,7818.59,21000200
2020-01-10,8281.97969625,21000100,8207.09,20991200,8207.09,21000200
2020-01-11,8112.888609602001,21000100,8020.56,20991200,8020.56,21000200
2020-01-12,8261.4036375,21000100,8186.7,20991200,8186.7,21000200
2020-01-13,8187.031125,21000100,8113.0,20991200,8113.0,21000200
2020-01-14,8948.20803125,21000100,8825.0,20991200,8825.0,21000200
2020-01-15,9037.066640392082,21000100,8825.3,20991200,8825.3,21000200
2020-01-16,8944.4416351745,21000100,8725.08,20991200,8725.08,21000200
2020-01-17,9140.560079210667,21000100,8918.72,20991200,8918.72,21000200
2020-01-18,9118.456775312501,21000100,8925.0,20991200,8925.0,21000200
2020-01-19,9107.918836211877,21000100,8705.85,20991200,8705.85,21000200
2020-01-20,8782.8255075,21000100,8650.0,20991200,8650.0,21000200
2020-01-21,8857.364031627418,21000100,8742.43,20991200,8742.43,21000200
2020-01-22,8793.909315271334,21000100,8684.57,20991200,8684.57,21000200
2020-01-23,8594.54784768,21000100,8409.6,20991200,8409.6,21000200
2020-01-24,8736.716063401165,21000100,8441.96,20991200,8441.96,21000200
2020-01-25,8420.78484,21000100,8344.64,20991200,8344.64,21000200
2020-01-26,8689.787291249999,21000100,8611.21,20991200,8611.21,21000200
2020-01-27,8994.946691250001,21000100,8913.61,20991200,8913.61,21000200
2020-01-28,9779.44518849925,21000100,9398.98,20991200,9398.98,21000200
2020-01-29,9945.9870388875,21000100,9311.0,20991200,9311.0,21000200
2020-01-30,9767.10671894329,21000100,9525.67,20991200,9525.67,21000200
2020-01-31,9850.336837902041,21000100,9364.51,20991200,9364.51,21000200
2020-02-02,9703.7640328575,21000100,9338.2,20991200,9338.2,21000200
2020-02-03,9602.032935842,21000100,9300.64,20991200,9300.64,21000200
2020-02-04,9735.321004809168,21000100,9198.35,20991200,9198.35,21000200
2020-02-05,9842.745277875,21000100,9630.0,20991200,9630.0,21000200
2020-02-06,10593.063649157328,21000100,9778.12,20991200,9778.12,21000200
2020-02-07,10090.26461484,21000100,9821.52,20991200,9821.52,21000200
2020-02-08,10515.362732026333,21000100,9906.43,20991200,9906.43,21000200
2020-02-09,10904.251672493916,21000100,10167.38,20991200,10167.38,21000200
2020-02-10,10854.834331738499,21000100,9865.56,20991200,9865.56,21000200
2020-02-11,10723.470448376167,21000100,10229.06,20991200,10229.06,21000200
2020-02-12,11632.719823397043,21000100,10339.99,20991200,10339.99,21000200
2020-02-13,11013.19180802625,21000100,10239.63,20991200,10239.63,21000200
2020-02-14,10967.09238199375,21000100,10356.82,20991200,10356.82,21000200
2020-02-15,10648.86310520975,21000100,9914.99,20991200,9914.99,21000200
2020-02-16,10371.593357196502,21000100,9921.86,20991200,9921.86,21000200
2020-02-17,10292.915635916666,21000100,9716.0,20991200,9716.0,21000200
2020-02-18,10392.746244308999,21000100,10174.32,20991200,10174.32,21000200
