DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2021-03-25,0.010103108061183332,21000100,0.009788,20991200,0.009788,21000200
2021-03-26,0.011113910737550001,21000100,0.010579,20991200,0.010579,21000200
2021-03-27,0.011028226535083334,21000100,0.010276,20991200,0.010276,21000200
2021-03-28,0.0114313731278625,21000100,0.010103,20991200,0.010103,21000200
2021-03-29,0.013167713288675002,21000100,0.011946,20991200,0.011946,21000200
2021-03-30,0.015184918546500002,21000100,0.013204,20991200,0.013204,21000200
2021-03-31,0.01461539924,21000100,0.01236,20991200,0.01236,21000200
2021-04-02,0.018220521942845836,21000100,0.015053,20991200,0.015053,21000200
2021-04-03,0.020321376409999998,21000100,0.016024,20991200,0.016024,21000200
2021-04-04,0.018792178321,21000100,0.01743,20991200,0.01743,21000200
2021-04-05,0.0232927244099,21000100,0.019374,20991200,0.019374,21000200
2021-04-06,0.02137931136985,21000100,0.017148,20991200,0.017148,21000200
2021-04-07,0.015576069455858333,21000100,0.014129,20991200,0.014129,21000200
2021-04-08,0.017621014964699998,21000100,0.016569,20991200,0.016569,21000200
2021-04-09,0.016636537491975,21000100,0.014802,20991200,0.014802,21000200
2021-04-10,0.01628308541585,21000100,0.013948,20991200,0.013948,21000200
2021-04-11,0.01647000306793333,21000100,0.014084,20991200,0.014084,21000200
2021-04-12,0.015360213572341668,21000100,0.013001,20991200,0.013001,21000200
2021-04-13,0.0148630893350625,21000100,0.011983,20991200,0.011983,21000200
2021-04-14,0.015315051219975,21000100,0.011654,20991200,0.011654,21000200
2021-04-15,0.013418648754050001,21000100,0.011679,20991200,0.011679,21000200
2021-04-16,0.014351304249208335,21000100,0.01157,20991200,0.01157,21000200
2021-04-17,0.014244022876725,21000100,0.011943,20991200,0.011943,21000200
2021-04-18,0.010089248882533331,21000100,0.010136,20991200,0.010136,21000200
2021-04-19,0.00895660769185,21000100,0.008853,20991200,0.008853,21000200
2021-04-20,0.008808652125000002,21000100,0.008729,20991200,0.008729,21000200
2021-04-21,0.00837371925,21000100,0.008298,20991200,0.008298,21000200
2021-04-22,0.007273124264525001,21000100,0.007118,20991200,0.007118,21000200
2021-04-23,0.007504862625000001,21000100,0.007437,20991200,0.007437,21000200
2021-04-24,0.007552244465837499,21000100,0.007549,20991200,0.007549,21000200
2021-04-25,0.008039698875000001,21000100,0.007967,20991200,0.007967,21000200
2021-04-26,0.010588748625000002,21000100,0.010493,20991200,0.010493,21000200
2021-04-27,0.011563477990875001,21000100,0.011455,20991200,0.011455,21000200
2021-04-28,0.011076156,21000100,0.010976,20991200,0.010976,21000200
2021-04-29,0.011567597875875,21000100,0.011169,20991200,0.011169,21000200
2021-04-30,0.011897638912304165,21000100,0.011453,20991200,0.011453,21000200
2021-05-02,0.0113274938079875,21000100,0.010637,20991200,0.010637,21000200
2021-05-03,0.012035726456483334,21000100,0.010906,20991200,0.010906,21000200
2021-05-04,0.009955056980266667,21000100,0.009334,20991200,0.009334,21000200
2021-05-05,0.010352498962225,21000100,0.009797,20991200,0.009797,21000200
2021-05-06,0.01079900200275,21000100,0.009594,20991200,0.009594,21000200
2021-05-07,0.010421329331333334,21000100,0.00958,20991200,0.00958,21000200
2021-05-08,0.010242559103737501,21000100,0.009423,20991200,0.009423,21000200
2021-05-09,0.009720228567500001,21000100,0.009075,20991200,0.009075,21000200
2021-05-10,0.0084512205675625,21000100,0.007655,20991200,0.007655,21000200
2021-05-11,0.008075282269416667,21000100,0.007985,20991200,0.007985,21000200
2021-05-12,0.006284609250750001,21000100,0.00607,20991200,0.00607,21000200
2021-05-13,0.0064153438221250005,21000100,0.006321,20991200,0.006321,21000200
2021-05-14,0.0068126028750000005,21000100,0.006751,20991200,0.006751,21000200
2021-05-15,0.006277499144795834,21000100,0.006161,20991200,0.006161,21000200
2021-05-16,0.0074331014742500005,21000100,0.007274,20991200,0.007274,21000200
2021-05-17,0.006379276355375001,21000100,0.00627,20991200,0.00627,21000200
2021-05-18,0.0062497012636875005,21000100,0.006135,20991200,0.006135,21000200
2021-05-19,0.002942858225009598,21000100,0.00364,20991200,0.00364,21000200
2021-05-20,0.004383286467525,21000100,0.004366,20991200,0.004366,21000200
2021-05-21,0.0038124742500000005,21000100,0.003778,20991200,0.003778,21000200
2021-05-22,0.003810456,21000100,0.003776,20991200,0.003776,21000200
2021-05-23,0.003024414374666667,21000100,0.003014,20991200,0.003014,21000200
2021-05-24,0.0037401994303,21000100,0.003827,20991200,0.003827,21000200
2021-05-25,0.004090062811333333,21000100,0.00406,20991200,0.00406,21000200
2021-05-26,0.004775179500000001,21000100,0.004732,20991200,0.004732,21000200
2021-05-27,0.00426052575,21000100,0.004222,20991200,0.004222,21000200
2021-05-28,0.0037620180000000002,21000100,0.003728,20991200,0.003728,21000200
2021-05-29,0.0033957056250000003,21000100,0.003365,20991200,0.003365,21000200
2021-05-30,0.0036221893594791665,21000100,0.003595,20991200,0.003595,21000200
2021-05-31,0.003940633125000001,21000100,0.003905,20991200,0.003905,21000200
2021-06-02,0.003966870375,21000100,0.003931,20991200,0.003931,21000200
2021-06-03,0.004208051250000001,21000100,0.00417,20991200,0.00417,21000200
2021-06-04,0.0036944066250000004,21000100,0.003661,20991200,0.003661,21000200
2021-06-05,0.0034971834495000002,21000100,0.003474,20991200,0.003474,21000200
2021-06-06,0.003707839879783333,21000100,0.003701,20991200,0.003701,21000200
2021-06-07,0.0033008478750000004,21000100,0.003271,20991200,0.003271,21000200
2021-06-08,0.0033765641173833334,21000100,0.003391,20991200,0.003391,21000200
2021-06-09,0.0035988446075833334,21000100,0.00377,20991200,0.00377,21000200
2021-06-10,0.0032878703853208334,21000100,0.003329,20991200,0.003329,21000200
2021-06-11,0.0032549220981250002,21000100,0.003226,20991200,0.003226,21000200
2021-06-12,0.0031013420925583334,21000100,0.003109,20991200,0.003109,21000200
2021-06-13,0.0034107033235000004,21000100,0.003399,20991200,0.003399,21000200
2021-06-14,0.0034718894512875,21000100,0.003447,20991200,0.003447,21000200
2021-06-15,0.0035329466250000005,21000100,0.003501,20991200,0.003501,21000200
2021-06-16,0.0034209337499999997,21000100,0.00339,20991200,0.00339,21000200
2021-06-17,0.0034098333750000004,21000100,0.003379,20991200,0.003379,21000200
2021-06-18,0.0031070958750000002,21000100,0.003079,20991200,0.003079,21000200
2021-06-19,0.003026365875,21000100,0.002999,20991200,0.002999,21000200
2021-06-20,0.0029779278750000004,21000100,0.002951,20991200,0.002951,21000200
2021-06-21,0.002358325125,21000100,0.002337,20991200,0.002337,21000200
2021-06-22,0.0021418607431625,21000100,0.002139,20991200,0.002139,21000200
2021-06-23,0.0022127383098916667,21000100,0.002303,20991200,0.002303,21000200
2021-06-24,0.002458612387,21000100,0.00248,20991200,0.00248,21000200
2021-06-25,0.0021902147987500004,21000100,0.00218,20991200,0.00218,21000200
2021-06-26,0.0022493448783333335,21000100,0.00223,20991200,0.00223,21000200
2021-06-27,0.0022927490527500003,21000100,0.00234,20991200,0.00234,21000200
2021-06-28,0.0023279307447583333,21000100,0.002326,20991200,0.002326,21000200
2021-06-29,0.0027014276250000003,21000100,0.002677,20991200,0.002677,21000200
2021-06-30,0.002661062625,21000100,0.002637,20991200,0.002637,21000200
2021-07-02,0.0023855638889874998,21000100,0.002379,20991200,0.002379,21000200
2021-07-03,0.0024668535787916667,21000100,0.002455,20991200,0.002455,21000200
2021-07-04,0.0025389585,21000100,0.002516,20991200,0.002516,21000200
2021-07-05,0.0023603433750000002,21000100,0.002339,20991200,0.002339,21000200
2021-07-06,0.002416854375,21000100,0.002395,20991200,0.002395,21000200
2021-07-07,0.00246024675,21000100,0.002438,20991200,0.002438,21000200
2021-07-08,0.0022886955,21000100,0.002268,20991200,0.002268,21000200
2021-07-09,0.0023072703736,21000100,0.002292,20991200,0.002292,21000200
2021-07-10,0.0022786042500000003,21000100,0.002258,20991200,0.002258,21000200
2021-07-11,0.00229878675,21000100,0.002278,20991200,0.002278,21000200
2021-07-12,0.002245303125,21000100,0.002225,20991200,0.002225,21000200
2021-07-13,0.0021433964024833332,21000100,0.002126,20991200,0.002126,21000200
2021-07-14,0.0021040256250000004,21000100,0.002085,20991200,0.002085,21000200
2021-07-15,0.00203067551555,21000100,0.002013,20991200,0.002013,21000200
2021-07-16,0.0018921093750000001,21000100,0.001875,20991200,0.001875,21000200
2021-07-17,0.0019425656250000002,21000100,0.001925,20991200,0.001925,21000200
2021-07-18,0.00191531925,21000100,0.001898,20991200,0.001898,21000200
2021-07-19,0.0018053246250000002,21000100,0.001789,20991200,0.001789,21000200
2021-07-20,0.0016013433379375,21000100,0.001615,20991200,0.001615,21000200
2021-07-21,0.0017887070106333332,21000100,0.001816,20991200,0.001816,21000200
2021-07-22,0.0018944692353125,21000100,0.001883,20991200,0.001883,21000200
2021-07-23,0.0021431255403125,21000100,0.002127,20991200,0.002127,21000200
2021-07-24,0.0022402575000000004,21000100,0.00222,20991200,0.00222,21000200
2021-07-25,0.00229071375,21000100,0.00227,20991200,0.00227,21000200
2021-07-26,0.0025339128750000006,21000100,0.002511,20991200,0.002511,21000200
2021-07-27,0.002607579,21000100,0.002584,20991200,0.002584,21000200
2021-07-28,0.0025096938750000003,21000100,0.002487,20991200,0.002487,21000200
2021-07-29,0.002477401875,21000100,0.002455,20991200,0.002455,21000200
2021-07-30,0.002582350875,21000100,0.002559,20991200,0.002559,21000200
2021-07-31,0.0025126450263291667,21000100,0.002497,20991200,0.002497,21000200
2021-08-02,0.00246024675,21000100,0.002438,20991200,0.002438,21000200
2021-08-03,0.0023628258225000002,21000100,0.00234,20991200,0.00234,21000200
2021-08-04,0.0024612558750000003,21000100,0.002439,20991200,0.002439,21000200
2021-08-05,0.0025929452096000003,21000100,0.002568,20991200,0.002568,21000200
2021-08-06,0.002962204176183333,21000100,0.002894,20991200,0.002894,21000200
2021-08-07,0.0030386306333583333,21000100,0.002927,20991200,0.002927,21000200
2021-08-08,0.0033012508544125,21000100,0.003223,20991200,0.003223,21000200
2021-08-09,0.0033780710753999995,21000100,0.003346,20991200,0.003346,21000200
2021-08-10,0.0033639328525,21000100,0.0033,20991200,0.0033,21000200
2021-08-11,0.004407842525625,21000100,0.004275,20991200,0.004275,21000200
2021-08-12,0.004616640380483333,21000100,0.004412,20991200,0.004412,21000200
2021-08-13,0.005992706020949999,21000100,0.005918,20991200,0.005918,21000200
2021-08-14,0.008390139498149998,21000100,0.008124,20991200,0.008124,21000200
2021-08-15,0.007939615810741667,21000100,0.007442,20991200,0.007442,21000200
2021-08-16,0.0071524886331750005,21000100,0.006569,20991200,0.006569,21000200
2021-08-17,0.0064109433666,21000100,0.006192,20991200,0.006192,21000200
2021-08-18,0.006229983504808334,21000100,0.006158,20991200,0.006158,21000200
2021-08-19,0.007525045125,21000100,0.007457,20991200,0.007457,21000200
2021-08-20,0.0072518605794,21000100,0.007024,20991200,0.007024,21000200
2021-08-21,0.0069839126429083334,21000100,0.006686,20991200,0.006686,21000200
2021-08-22,0.0071917851910625,21000100,0.006895,20991200,0.006895,21000200
2021-08-23,0.007446202823583333,21000100,0.007022,20991200,0.007022,21000200
2021-08-24,0.006922893906946249,21000100,0.006466,20991200,0.006466,21000200
2021-08-25,0.00670664475,21000100,0.006646,20991200,0.006646,21000200
2021-08-26,0.005952788253270833,21000100,0.005873,20991200,0.005873,21000200
2021-08-27,0.006511883625000001,21000100,0.006453,20991200,0.006453,21000200
2021-08-28,0.006501950194708334,21000100,0.00641,20991200,0.00641,21000200
2021-08-29,0.0064188396769,21000100,0.006223,20991200,0.006223,21000200
2021-08-30,0.006050711878,21000100,0.005856,20991200,0.005856,21000200
2021-08-31,0.00596471416675,21000100,0.00579,20991200,0.00579,21000200
2021-09-02,0.007611476415833333,21000100,0.00718,20991200,0.00718,21000200
2021-09-03,0.007259737560366667,21000100,0.006748,20991200,0.006748,21000200
2021-09-04,0.007351298146589241,21000100,0.006778,20991200,0.006778,21000200
2021-09-05,0.0076990618131496024,21000100,0.00706,20991200,0.00706,21000200
2021-09-06,0.0072756101329166665,21000100,0.006826,20991200,0.006826,21000200
2021-09-07,0.004859936433000001,21000100,0.005146,20991200,0.005146,21000200
2021-09-08,0.00513791068175,21000100,0.005082,20991200,0.005082,21000200
2021-09-09,0.005161674375,21000100,0.005115,20991200,0.005115,21000200
2021-09-10,0.0047913255,21000100,0.004748,20991200,0.004748,21000200
2021-09-11,0.00484985475,21000100,0.004806,20991200,0.004806,21000200
2021-09-12,0.005111218125000001,21000100,0.005065,20991200,0.005065,21000200
2021-09-13,0.004704540750000001,21000100,0.004662,20991200,0.004662,21000200
2021-09-14,0.0049527855,21000100,0.004908,20991200,0.004908,21000200
2021-09-15,0.0052060758750000005,21000100,0.005159,20991200,0.005159,21000200
2021-09-16,0.005001351718575,21000100,0.004911,20991200,0.004911,21000200
2021-09-17,0.0047993551244875,21000100,0.004737,20991200,0.004737,21000200
2021-09-18,0.0048803785615000005,21000100,0.004836,20991200,0.004836,21000200
2021-09-19,0.004785278400208333,21000100,0.004735,20991200,0.004735,21000200
2021-09-20,0.00400218975,21000100,0.003966,20991200,0.003966,21000200
2021-09-21,0.0036903701250000005,21000100,0.003657,20991200,0.003657,21000200
2021-09-22,0.004263744461233333,21000100,0.004232,20991200,0.004232,21000200
2021-09-23,0.00434125575,21000100,0.004302,20991200,0.004302,21000200
2021-09-24,0.003970906875,21000100,0.003935,20991200,0.003935,21000200
2021-09-25,0.004180186210208333,21000100,0.004154,20991200,0.004154,21000200
2021-09-26,0.003997884510841667,21000100,0.003962,20991200,0.003962,21000200
2021-09-27,0.003883113,21000100,0.003848,20991200,0.003848,21000200
2021-09-28,0.00436292603565,21000100,0.004361,20991200,0.004361,21000200
2021-09-29,0.00418558700455,21000100,0.004172,20991200,0.004172,21000200
2021-09-30,0.004443177375,21000100,0.004403,20991200,0.004403,21000200
2021-10-02,0.005742930375,21000100,0.005691,20991200,0.005691,21000200
2021-10-03,0.005806762442708333,21000100,0.00575,20991200,0.00575,21000200
2021-10-04,0.005785446458091666,21000100,0.005731,20991200,0.005731,21000200
2021-10-05,0.006692501426366666,21000100,0.006602,20991200,0.006602,21000200
