DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2020-08-23,4.4984479986874994,21000100,3.993,20991200,3.993,21000200
2020-08-24,5.083297350025,21000100,4.594,20991200,4.594,21000200
2020-08-25,5.816993069,21000100,5.56,20991200,5.56,21000200
2020-08-26,6.615506704316665,21000100,6.092,20991200,6.092,21000200
2020-08-27,6.2026313604666665,21000100,5.668,20991200,5.668,21000200
2020-08-28,6.376864298441666,21000100,6.179,20991200,6.179,21000200
2020-08-29,6.567686860799999,21000100,6.144,20991200,6.144,21000200
2020-08-30,6.863627805629166,21000100,5.899,20991200,5.899,21000200
2020-08-31,7.114096059062501,21000100,6.275,20991200,6.275,21000200
2020-09-02,6.579469250033333,21000100,6.136,20991200,6.136,21000200
2020-09-03,5.750969091333333,21000100,5.68,20991200,5.68,21000200
2020-09-04,5.151583125000001,21000100,5.105,20991200,5.105,21000200
2020-09-05,4.182823125,21000100,4.145,20991200,4.145,21000200
2020-09-06,4.832699625,21000100,4.789,20991200,4.789,21000200
2020-09-07,4.6399567500000005,21000100,4.598,20991200,4.598,21000200
2020-09-08,4.31300025,21000100,4.274,20991200,4.274,21000200
2020-09-09,4.748942250000001,21000100,4.706,20991200,4.706,21000200
2020-09-10,4.618765125,21000100,4.577,20991200,4.577,21000200
2020-09-11,4.693440375,21000100,4.651,20991200,4.651,21000200
2020-09-12,5.189929875,21000100,5.143,20991200,5.143,21000200
2020-09-13,5.37996888325,21000100,5.33,20991200,5.33,21000200
2020-09-14,5.467788862104167,21000100,5.365,20991200,5.365,21000200
2020-09-15,5.1273044823500005,21000100,5.062,20991200,5.062,21000200
2020-09-16,5.139949558974999,21000100,5.082,20991200,5.082,21000200
2020-09-17,5.49517272375,21000100,5.34,20991200,5.34,21000200
2020-09-18,5.52001280095,21000100,5.268,20991200,5.268,21000200
2020-09-19,5.0556121061125,21000100,4.929,20991200,4.929,21000200
2020-09-20,4.704427624566666,21000100,4.661,20991200,4.661,21000200
2020-09-21,4.106129625,21000100,4.069,20991200,4.069,21000200
2020-09-22,4.2019965,21000100,4.164,20991200,4.164,21000200
2020-09-23,4.053655125000001,21000100,4.017,20991200,4.017,21000200
2020-09-24,4.4199675,21000100,4.38,20991200,4.38,21000200
2020-09-25,4.456296000000001,21000100,4.416,20991200,4.416,21000200
2020-09-26,4.370520375000001,21000100,4.331,20991200,4.331,21000200
2020-09-27,4.340246625000001,21000100,4.301,20991200,4.301,21000200
2020-09-28,4.4966610000000005,21000100,4.456,20991200,4.456,21000200
2020-09-29,4.540053375,21000100,4.499,20991200,4.499,21000200
2020-09-30,4.38969375,21000100,4.35,20991200,4.35,21000200
