DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2020-01-02,128.078382768375,21000100,127.11,20991200,127.11,21000200
2020-01-03,135.51539625,21000100,134.29,20991200,134.29,21000200
2020-01-04,135.3640275,21000100,134.14,20991200,134.14,21000200
2020-01-05,136.56488625000003,21000100,135.33,20991200,135.33,21000200
2020-01-06,145.354365,21000100,144.04,20991200,144.04,21000200
2020-01-07,144.1635975,21000100,142.86,20991200,142.86,21000200
2020-01-08,142.03434375,21000100,140.75,20991200,140.75,21000200
2020-01-09,138.98678625,21000100,137.73,20991200,137.73,21000200
2020-01-10,146.12130000000002,21000100,144.8,20991200,144.8,21000200
2020-01-11,143.69940000000003,21000100,142.4,20991200,142.4,21000200
2020-01-12,147.90745125,21000100,146.57,20991200,146.57,21000200
2020-01-13,144.89016750000002,21000100,143.58,20991200,143.58,21000200
2020-01-14,167.28265125000001,21000100,165.77,20991200,165.77,21000200
2020-01-15,169.82444789916667,21000100,166.6,20991200,166.6,21000200
2020-01-16,169.260146529625,21000100,164.37,20991200,164.37,21000200
2020-01-17,172.59972351508333,21000100,170.06,20991200,170.06,21000200
2020-01-18,176.07547232275002,21000100,174.43,20991200,174.43,21000200
2020-01-19,171.52964892,21000100,167.04,20991200,167.04,21000200
2020-01-20,174.15011169058334,21000100,167.03,20991200,167.03,21000200
2020-01-21,172.463538923,21000100,169.52,20991200,169.52,21000200
2020-01-22,169.99842793541666,21000100,168.19,20991200,168.19,21000200
2020-01-23,165.05164432975,21000100,162.97,20991200,162.97,21000200
2020-01-24,165.63682880062498,21000100,162.63,20991200,162.63,21000200
2020-01-25,162.85348525950002,21000100,160.52,20991200,160.52,21000200
2020-01-26,171.39040174250002,21000100,167.9,20991200,167.9,21000200
2020-01-27,171.76316625,21000100,170.21,20991200,170.21,21000200
2020-01-28,183.96695580449997,21000100,175.88,20991200,175.88,21000200
2020-01-29,188.81115017416667,21000100,173.8,20991200,173.8,21000200
2020-01-30,194.0876950875833,21000100,185.14,20991200,185.14,21000200
2020-01-31,195.82122267946565,21000100,180.14,20991200,180.14,21000200
2020-02-02,192.10794528733334,21000100,188.59,20991200,188.59,21000200
2020-02-03,191.65302,21000100,189.92,20991200,189.92,21000200
2020-02-04,194.22312733725,21000100,189.01,20991200,189.01,21000200
2020-02-05,211.27121933125002,21000100,204.1,20991200,204.1,21000200
2020-02-06,229.04739558362502,21000100,213.27,20991200,213.27,21000200
2020-02-07,229.92184540691665,21000100,223.57,20991200,223.57,21000200
2020-02-08,229.26738894591668,21000100,223.57,20991200,223.57,21000200
2020-02-09,249.26096729199998,21000100,228.64,20991200,228.64,21000200
2020-02-10,253.17875271426743,21000100,223.03,20991200,223.03,21000200
2020-02-11,264.32171937966666,21000100,237.16,20991200,237.16,21000200
2020-02-12,315.58874145723104,21000100,266.24,20991200,266.24,21000200
2020-02-13,304.40602027200003,21000100,268.48,20991200,268.48,21000200
2020-02-14,312.5932318858333,21000100,285.4,20991200,285.4,21000200
2020-02-15,289.29362546349995,21000100,265.08,20991200,265.08,21000200
2020-02-16,282.229133371375,21000100,258.87,20991200,258.87,21000200
2020-02-17,284.7870532333333,21000100,268.0,20991200,268.0,21000200
2020-02-18,288.145192482,21000100,282.96,20991200,282.96,21000200
2020-02-19,276.957463701625,21000100,258.43,20991200,258.43,21000200
2020-02-20,263.6276238717917,21000100,257.11,20991200,257.11,21000200
2020-02-21,280.041386562,21000100,265.44,20991200,265.44,21000200
2020-02-22,274.087545267,21000100,261.83,20991200,261.83,21000200
2020-02-23,288.7712201847917,21000100,274.67,20991200,274.67,21000200
2020-02-24,274.76961636,21000100,265.7,20991200,265.7,21000200
2020-02-25,256.35098021954167,21000100,247.03,20991200,247.03,21000200
2020-02-26,237.62559658499998,21000100,224.1,20991200,224.1,21000200
2020-02-27,231.12062737866665,21000100,227.92,20991200,227.92,21000200
2020-02-28,231.8060423721667,21000100,227.09,20991200,227.09,21000200
2020-02-29,226.84271966083335,21000100,217.31,20991200,217.31,21000200
2020-03-02,235.07253726291668,21000100,232.22,20991200,232.22,21000200
2020-03-03,227.60382124125,21000100,224.1,20991200,224.1,21000200
2020-03-04,230.886878996,21000100,224.47,20991200,224.47,21000200
2020-03-05,235.93753050733332,21000100,228.64,20991200,228.64,21000200
2020-03-06,249.21495823166666,21000100,244.94,20991200,244.94,21000200
2020-03-07,239.77564933741667,21000100,237.34,20991200,237.34,21000200
2020-03-08,206.586505675,21000100,199.54,20991200,199.54,21000200
2020-03-09,205.34310710500003,21000100,203.02,20991200,203.02,21000200
2020-03-10,204.64343671854166,21000100,200.95,20991200,200.95,21000200
2020-03-11,198.57569596929167,21000100,194.81,20991200,194.81,21000200
2020-03-12,109.98552614212498,21000100,106.71,20991200,106.71,21000200
2020-03-13,121.900061809125,21000100,134.13,20991200,134.13,21000200
2020-03-14,123.66826875000001,21000100,122.55,20991200,122.55,21000200
2020-03-15,125.02049625000001,21000100,123.89,20991200,123.89,21000200
2020-03-16,110.960954841,21000100,111.06,20991200,111.06,21000200
2020-03-17,116.73558000000001,21000100,115.68,20991200,115.68,21000200
2020-03-18,119.23821000000001,21000100,118.16,20991200,118.16,21000200
2020-03-19,137.6648325,21000100,136.42,20991200,136.42,21000200
2020-03-20,134.73837,21000100,133.52,20991200,133.52,21000200
2020-03-21,133.88061374999998,21000100,132.67,20991200,132.67,21000200
2020-03-22,123.36553125,21000100,122.25,20991200,122.25,21000200
2020-03-23,137.200635,21000100,135.96,20991200,135.96,21000200
2020-03-24,139.6427175,21000100,138.38,20991200,138.38,21000200
2020-03-25,137.3419125,21000100,136.1,20991200,136.1,21000200
2020-03-26,139.67299125,21000100,138.41,20991200,138.41,21000200
2020-03-27,132.46783875000003,21000100,131.27,20991200,131.27,21000200
2020-03-28,131.638472353125,21000100,130.95,20991200,130.95,21000200
2020-03-29,125.53515000000002,21000100,124.4,20991200,124.4,21000200
2020-03-30,132.44523626166668,21000100,132.04,20991200,132.04,21000200
2020-03-31,133.82006625000002,21000100,132.61,20991200,132.61,21000200
2020-04-02,141.9373748625,21000100,141.3,20991200,141.3,21000200
2020-04-03,142.51872375,21000100,141.23,20991200,141.23,21000200
2020-04-04,145.10993915941668,21000100,144.02,20991200,144.02,21000200
2020-04-05,143.61156347825002,21000100,142.59,20991200,142.59,21000200
2020-04-06,172.324795706875,21000100,171.15,20991200,171.15,21000200
2020-04-07,163.84053239062501,21000100,164.55,20991200,164.55,21000200
2020-04-08,174.77035875,21000100,173.19,20991200,173.19,21000200
2020-04-09,171.0063225,21000100,169.46,20991200,169.46,21000200
2020-04-10,159.12892125000002,21000100,157.69,20991200,157.69,21000200
2020-04-11,159.083853254125,21000100,158.19,20991200,158.19,21000200
2020-04-12,159.78137717333334,21000100,158.72,20991200,158.72,21000200
2020-04-13,157.79687625000003,21000100,156.37,20991200,156.37,21000200
2020-04-14,159.87567375,21000100,158.43,20991200,158.43,21000200
2020-04-15,154.03284,21000100,152.64,20991200,152.64,21000200
2020-04-16,173.18561648558335,21000100,172.27,20991200,172.27,21000200
2020-04-17,172.11636000000001,21000100,170.56,20991200,170.56,21000200
2020-04-18,189.15961925899998,21000100,187.48,20991200,187.48,21000200
2020-04-19,181.61222625000002,21000100,179.97,20991200,179.97,21000200
2020-04-20,171.74298375,21000100,170.19,20991200,170.19,21000200
2020-04-21,172.2172725,21000100,170.66,20991200,170.66,21000200
2020-04-22,184.29649875,21000100,182.63,20991200,182.63,21000200
2020-04-23,187.22296125,21000100,185.53,20991200,185.53,21000200
2020-04-24,189.36230625000002,21000100,187.65,20991200,187.65,21000200
2020-04-25,196.02253125000001,21000100,194.25,20991200,194.25,21000200
2020-04-26,199.26182250000002,21000100,197.46,20991200,197.46,21000200
2020-04-27,198.16187625,21000100,196.37,20991200,196.37,21000200
2020-04-28,198.10132875000002,21000100,196.31,20991200,196.31,21000200
2020-04-29,217.4664375,21000100,215.5,20991200,215.5,21000200
2020-04-30,210.01757481075,21000100,206.22,20991200,206.22,21000200
2020-05-02,221.44772447525003,21000100,213.99,20991200,213.99,21000200
2020-05-03,215.34787661020832,21000100,209.95,20991200,209.95,21000200
2020-05-04,209.7867407895,21000100,206.73,20991200,206.73,21000200
2020-05-05,209.43492584204168,21000100,205.39,20991200,205.39,21000200
2020-05-06,204.58779749941664,21000100,199.06,20991200,199.06,21000200
2020-05-07,214.19394734062502,21000100,212.25,20991200,212.25,21000200
2020-05-08,219.039491992125,21000100,211.47,20991200,211.47,21000200
2020-05-09,215.400740200125,21000100,210.31,20991200,210.31,21000200
2020-05-10,189.52856969333334,21000100,187.52,20991200,187.52,21000200
2020-05-11,187.38442125,21000100,185.69,20991200,185.69,21000200
2020-05-12,191.370465,21000100,189.64,20991200,189.64,21000200
2020-05-13,201.3608025,21000100,199.54,20991200,199.54,21000200
2020-05-14,204.98356125,21000100,203.13,20991200,203.13,21000200
2020-05-15,195.33357256695837,21000100,194.71,20991200,194.71,21000200
2020-05-16,201.2756319545833,21000100,200.39,20991200,200.39,21000200
2020-05-17,207.93347168445834,21000100,206.93,20991200,206.93,21000200
2020-05-18,216.79032375000003,21000100,214.83,20991200,214.83,21000200
2020-05-19,216.65913749999999,21000100,214.7,20991200,214.7,21000200
2020-05-20,211.875885,21000100,209.96,20991200,209.96,21000200
2020-05-21,200.49295500000002,21000100,198.68,20991200,198.68,21000200
2020-05-22,208.76275502466666,21000100,207.28,20991200,207.28,21000200
2020-05-23,208.39440375,21000100,206.51,20991200,206.51,21000200
2020-05-24,201.5222625,21000100,199.7,20991200,199.7,21000200
2020-05-25,205.9624125,21000100,204.1,20991200,204.1,21000200
