DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2020-10-17,10.952187499999999,21000100,34.7,20991200,34.7,21000200
2020-10-18,9.964281249999997,21000100,31.57,20991200,31.57,21000200
2020-10-19,9.493999999999998,21000100,30.08,20991200,30.08,21000200
2020-10-20,9.405624999999999,21000100,29.8,20991200,29.8,21000200
2020-10-21,8.332499999999998,21000100,26.4,20991200,26.4,21000200
2020-10-22,14.633869705874996,21000100,23.058,20991200,23.058,21000200
2020-10-23,7.499249999999999,21000100,23.76,20991200,23.76,21000200
2020-10-24,7.728393749999999,21000100,24.486,20991200,24.486,21000200
2020-10-25,10.384062499999997,21000100,32.9,20991200,32.9,21000200
2020-10-26,9.042340624999998,21000100,28.649,20991200,28.649,21000200
2020-10-27,11.016259374999997,21000100,34.903,20991200,34.903,21000200
2020-10-28,11.915793123737503,21000100,33.459,20991200,33.459,21000200
2020-10-29,23.089609358199993,21000100,32.452,20991200,32.452,21000200
2020-10-30,22.027382133750002,21000100,29.1,20991200,29.1,21000200
2020-10-31,26.709049231833333,21000100,31.201,20991200,31.201,21000200
2020-11-02,26.017258236704166,21000100,29.557,20991200,29.557,21000200
2020-11-03,25.410835127333332,21000100,28.82,20991200,28.82,21000200
2020-11-04,25.567174456387498,21000100,28.823,20991200,28.823,21000200
2020-11-05,26.80099576965,21000100,29.356,20991200,29.356,21000200
2020-11-06,31.328999909675,21000100,31.677,20991200,31.677,21000200
2020-11-07,27.5189052925125,21000100,29.889,20991200,29.889,21000200
2020-11-08,29.093832822433335,21000100,30.722,20991200,30.722,21000200
2020-11-09,28.92442629201667,21000100,31.187,20991200,31.187,21000200
2020-11-10,27.603886245075,21000100,30.366,20991200,30.366,21000200
2020-11-11,30.1992620329,21000100,30.066,20991200,30.066,21000200
2020-11-12,27.53893106125,21000100,29.463,20991200,29.463,21000200
2020-11-13,27.396596337833333,21000100,29.134,20991200,29.134,21000200
2020-11-14,28.24602063635,21000100,29.266,20991200,29.266,21000200
2020-11-15,26.95952113965,21000100,27.684,20991200,27.684,21000200
2020-11-16,26.315352194299997,21000100,27.406,20991200,27.406,21000200
2020-11-17,27.582138869279166,21000100,29.113,20991200,29.113,21000200
2020-11-18,27.643276037666666,21000100,28.82,20991200,28.82,21000200
2020-11-19,28.1615427184,21000100,28.808,20991200,28.808,21000200
2020-11-20,29.151839019387502,21000100,29.069,20991200,29.069,21000200
2020-11-21,31.288149743275,21000100,29.994,20991200,29.994,21000200
2020-11-22,29.497129266500004,21000100,28.942,20991200,28.942,21000200
2020-11-23,30.740508848675,21000100,29.242,20991200,29.242,21000200
2020-11-24,31.175304398937502,21000100,29.795,20991200,29.795,21000200
2020-11-25,32.472914801437504,21000100,31.005,20991200,31.005,21000200
2020-11-26,30.213671153445837,21000100,29.899,20991200,29.899,21000200
2020-11-27,30.216229875000003,21000100,29.943,20991200,29.943,21000200
2020-11-28,30.241458,21000100,29.968,20991200,29.968,21000200
2020-11-29,30.626937448274997,21000100,30.058,20991200,30.058,21000200
2020-11-30,31.388937828333333,21000100,30.44,20991200,30.44,21000200
2020-12-02,31.985147991983332,21000100,30.628,20991200,30.628,21000200
2020-12-03,32.50796035981667,21000100,30.443,20991200,30.443,21000200
2020-12-04,29.247469875000004,21000100,28.983,20991200,28.983,21000200
2020-12-05,29.323161940570834,21000100,29.857,20991200,29.857,21000200
2020-12-06,29.329522769525,21000100,29.339,20991200,29.339,21000200
2020-12-07,30.783358125,21000100,30.505,20991200,30.505,21000200
2020-12-08,30.966021585416666,21000100,29.9,20991200,29.9,21000200
2020-12-09,30.74803875,21000100,30.47,20991200,30.47,21000200
2020-12-10,30.833814375000003,21000100,30.555,20991200,30.555,21000200
2020-12-11,29.95960926716667,21000100,29.878,20991200,29.878,21000200
2020-12-12,30.197056500000002,21000100,29.924,20991200,29.924,21000200
2020-12-13,29.941410331312497,21000100,29.973,20991200,29.973,21000200
2020-12-14,28.83445493921667,21000100,29.326,20991200,29.326,21000200
2020-12-15,29.392783875,21000100,29.127,20991200,29.127,21000200
2020-12-16,28.686396375,21000100,28.427,20991200,28.427,21000200
2020-12-17,29.356098661700003,21000100,28.481,20991200,28.481,21000200
2020-12-18,28.74997125,21000100,28.49,20991200,28.49,21000200
2020-12-19,28.461361500000002,21000100,28.204,20991200,28.204,21000200
2020-12-20,28.694469375,21000100,28.435,20991200,28.435,21000200
2020-12-21,21.921785359174997,21000100,24.986,20991200,24.986,21000200
2020-12-22,22.830970662675004,21000100,24.611,20991200,24.611,21000200
2020-12-23,19.997882869791667,21000100,22.37,20991200,22.37,21000200
2020-12-24,21.428384262712502,21000100,23.693,20991200,23.693,21000200
2020-12-25,23.9489647369,21000100,24.342,20991200,24.342,21000200
2020-12-26,23.786085375000003,21000100,23.571,20991200,23.571,21000200
2020-12-27,22.30919116335,21000100,22.134,20991200,22.134,21000200
2020-12-28,21.655848488925002,21000100,21.954,20991200,21.954,21000200
2020-12-29,18.775872274999998,21000100,20.4,20991200,20.4,21000200
2020-12-30,18.864800237270835,21000100,21.445,20991200,21.445,21000200
2020-12-31,23.0827018020625,21000100,24.355,20991200,24.355,21000200
2021-01-02,21.98076075,21000100,21.782,20991200,21.782,21000200
2021-01-03,22.2685477155,21000100,21.48,20991200,21.48,21000200
2021-01-04,22.605110428583334,21000100,21.415,20991200,21.415,21000200
2021-01-05,21.978322228608334,21000100,21.629,20991200,21.629,21000200
