DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2020-01-18,2.9563091755666666,21000100,2.774,20991200,2.774,21000200
2020-01-19,2.6582927710166673,21000100,2.623,20991200,2.623,21000200
2020-01-20,2.719591875,21000100,2.695,20991200,2.695,21000200
2020-01-21,2.6892607500000003,21000100,2.673,20991200,2.673,21000200
2020-01-22,2.654,21000100,2.654,20991200,2.654,21000200
2020-01-23,3.025095238229167,21000100,2.471,20991200,2.471,21000200
2020-01-24,2.6511749788,21000100,2.504,20991200,2.504,21000200
2020-01-25,2.6700858852,21000100,2.448,20991200,2.448,21000200
2020-01-26,2.701182134895834,21000100,2.575,20991200,2.575,21000200
2020-01-27,2.608,21000100,2.608,20991200,2.608,21000200
2020-01-28,2.656,21000100,2.656,20991200,2.656,21000200
2020-01-29,3.02773861665,21000100,2.781,20991200,2.781,21000200
2020-01-30,2.956440698025,21000100,2.914,20991200,2.914,21000200
2020-01-31,3.0823266957291664,21000100,2.825,20991200,2.825,21000200
2020-02-02,2.832,21000100,2.832,20991200,2.832,21000200
2020-02-03,2.795692227358334,21000100,2.782,20991200,2.782,21000200
2020-02-04,2.8469809248916667,21000100,2.741,20991200,2.741,21000200
2020-02-05,2.8971330891666667,21000100,2.843,20991200,2.843,21000200
2020-02-06,3.2770751083833334,21000100,2.902,20991200,2.902,21000200
2020-02-07,3.7584496574624997,21000100,3.311,20991200,3.311,21000200
2020-02-08,3.42,21000100,3.42,20991200,3.42,21000200
2020-02-09,3.9663110001999997,21000100,3.504,20991200,3.504,21000200
2020-02-10,3.9200804874,21000100,3.388,20991200,3.388,21000200
2020-02-11,4.181595269158333,21000100,3.989,20991200,3.989,21000200
2020-02-12,4.85159387265,21000100,3.988,20991200,3.988,21000200
2020-02-13,4.959210298175,21000100,3.878,20991200,3.878,21000200
2020-02-14,4.917668077625,21000100,4.43,20991200,4.43,21000200
2020-02-15,4.610349937766666,21000100,4.328,20991200,4.328,21000200
2020-02-16,4.454,21000100,4.454,20991200,4.454,21000200
2020-02-17,4.299907668525,21000100,4.302,20991200,4.302,21000200
2020-02-18,4.785763447850001,21000100,4.564,20991200,4.564,21000200
2020-02-19,4.8965918588249995,21000100,4.386,20991200,4.386,21000200
2020-02-20,4.308267365983333,21000100,4.267,20991200,4.267,21000200
2020-02-21,4.275,21000100,4.275,20991200,4.275,21000200
2020-02-22,4.105,21000100,4.105,20991200,4.105,21000200
2020-02-23,4.236,21000100,4.236,20991200,4.236,21000200
2020-02-24,3.9683373754375,21000100,3.923,20991200,3.923,21000200
2020-02-25,3.505246785545833,21000100,3.491,20991200,3.491,21000200
2020-02-26,3.564,21000100,3.564,20991200,3.564,21000200
2020-02-27,3.8115711047833334,21000100,3.956,20991200,3.956,21000200
2020-02-28,4.0870070348375,21000100,4.161,20991200,4.161,21000200
2020-02-29,3.89473709655,21000100,4.062,20991200,4.062,21000200
2020-03-02,3.669485628375,21000100,4.242,20991200,4.242,21000200
2020-03-03,4.235118630445833,21000100,4.591,20991200,4.591,21000200
2020-03-04,4.4890012273124995,21000100,4.635,20991200,4.635,21000200
2020-03-05,4.34179304865,21000100,4.707,20991200,4.707,21000200
2020-03-06,4.683,21000100,4.683,20991200,4.683,21000200
2020-03-07,4.342,21000100,4.342,20991200,4.342,21000200
2020-03-08,4.059,21000100,4.059,20991200,4.059,21000200
2020-03-09,3.6244640645,21000100,4.12,20991200,4.12,21000200
2020-03-10,3.894425824,21000100,4.08,20991200,4.08,21000200
2020-03-11,3.7065296786875,21000100,3.815,20991200,3.815,21000200
2020-03-12,1.8565204063250003,21000100,1.993,20991200,1.993,21000200
2020-03-13,2.3029921566500002,21000100,2.426,20991200,2.426,21000200
