DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2020-01-10,49.09219225033333,21000100,49.04,20991200,49.04,21000200
2020-01-11,49.73648226562501,21000100,49.25,20991200,49.25,21000200
2020-01-12,51.789159040875006,21000100,51.33,20991200,51.33,21000200
2020-01-13,50.0324175,21000100,49.58,20991200,49.58,21000200
2020-01-14,59.08426875,21000100,58.55,20991200,58.55,21000200
2020-01-15,60.3263711925,21000100,58.2,20991200,58.2,21000200
2020-01-16,58.125600000000006,21000100,57.6,20991200,57.6,21000200
2020-01-17,64.68671318583333,21000100,61.15,20991200,61.15,21000200
2020-01-18,63.46740004595833,21000100,59.33,20991200,59.33,21000200
2020-01-19,59.12923483316666,21000100,57.64,20991200,57.64,21000200
2020-01-20,57.75222375,21000100,57.23,20991200,57.23,21000200
2020-01-21,57.940339166666675,21000100,57.59,20991200,57.59,21000200
2020-01-22,58.463879827333336,21000100,58.36,20991200,58.36,21000200
2020-01-23,54.5,21000100,54.5,20991200,54.5,21000200
2020-01-24,55.59369308,21000100,54.4,20991200,54.4,21000200
2020-01-25,53.869622898,21000100,53.28,20991200,53.28,21000200
2020-01-26,57.086133515166665,21000100,56.27,20991200,56.27,21000200
2020-01-27,59.263700670000006,21000100,58.6,20991200,58.6,21000200
2020-01-28,60.57,21000100,60.57,20991200,60.57,21000200
2020-01-29,61.648696613333335,21000100,59.86,20991200,59.86,21000200
2020-01-30,70.59174703412499,21000100,68.03,20991200,68.03,21000200
2020-01-31,70.36787439525,21000100,68.01,20991200,68.01,21000200
2020-02-02,71.26909221962501,21000100,70.01,20991200,70.01,21000200
2020-02-03,71.89113542,21000100,69.69,20991200,69.69,21000200
2020-02-04,71.99312814604167,21000100,68.15,20991200,68.15,21000200
2020-02-05,76.68008175791667,21000100,72.7,20991200,72.7,21000200
2020-02-06,77.729757344,21000100,73.68,20991200,73.68,21000200
2020-02-07,77.45355642000001,21000100,74.4,20991200,74.4,21000200
2020-02-08,80.67003604866667,21000100,76.66,20991200,76.66,21000200
2020-02-09,84.27575034016668,21000100,77.09,20991200,77.09,21000200
2020-02-10,83.53636367059902,21000100,74.09,20991200,74.09,21000200
