DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2020-10-16,0.82304235,21000100,0.8156,20991200,0.8156,21000200
2020-10-17,0.8152720875,21000100,0.8079,20991200,0.8079,21000200
2020-10-18,0.878140575,21000100,0.8702,20991200,0.8702,21000200
2020-10-19,0.808712775,21000100,0.8014,20991200,0.8014,21000200
2020-10-20,0.6830767125,21000100,0.6769,20991200,0.6769,21000200
2020-10-21,0.7124422499999999,21000100,0.706,20991200,0.706,21000200
2020-10-22,0.7563391875000001,21000100,0.7495,20991200,0.7495,21000200
2020-10-23,0.7355512125,21000100,0.7289,20991200,0.7289,21000200
2020-10-24,0.7474588875000001,21000100,0.7407,20991200,0.7407,21000200
2020-10-25,0.852710625,21000100,0.845,20991200,0.845,21000200
2020-10-26,0.78671385,21000100,0.7796,20991200,0.7796,21000200
2020-10-27,0.768751425,21000100,0.7618,20991200,0.7618,21000200
2020-10-28,0.7079011875000001,21000100,0.7015,20991200,0.7015,21000200
2020-10-29,0.69710355,21000100,0.6908,20991200,0.6908,21000200
2020-10-30,0.63655605,21000100,0.6308,20991200,0.6308,21000200
2020-10-31,0.6453354375,21000100,0.6395,20991200,0.6395,21000200
2020-11-02,0.6114288375,21000100,0.6059,20991200,0.6059,21000200
2020-11-03,0.567733725,21000100,0.5626,20991200,0.5626,21000200
2020-11-04,0.5387718375,21000100,0.5339,20991200,0.5339,21000200
2020-11-05,0.6056405826833332,21000100,0.692,20991200,0.692,21000200
2020-11-06,0.673876535045,21000100,0.7196,20991200,0.7196,21000200
2020-11-07,0.7028555625,21000100,0.6965,20991200,0.6965,21000200
2020-11-08,0.8231432625,21000100,0.8157,20991200,0.8157,21000200
2020-11-09,0.91639664818625,21000100,0.9273,20991200,0.9273,21000200
2020-11-10,0.9376412724845834,21000100,0.9443,20991200,0.9443,21000200
2020-11-11,0.8657283375,21000100,0.8579,20991200,0.8579,21000200
