DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2020-09-15,2.95996545,21000100,2.9332,20991200,2.9332,21000200
2020-09-16,2.5626729375,21000100,2.5395,20991200,2.5395,21000200
2020-09-17,2.9118301875,21000100,2.8855,20991200,2.8855,21000200
2020-09-18,3.1363605000000003,21000100,3.108,20991200,3.108,21000200
2020-09-19,3.0364184245666666,21000100,3.0193,20991200,3.0193,21000200
2020-09-20,2.8171481198375,21000100,2.8635,20991200,2.8635,21000200
2020-09-21,2.7790293375,21000100,2.7539,20991200,2.7539,21000200
2020-09-22,2.9322547390995832,21000100,2.9183,20991200,2.9183,21000200
2020-09-23,2.8571356125000005,21000100,2.8313,20991200,2.8313,21000200
2020-09-24,3.14978249172,21000100,3.1392,20991200,3.1392,21000200
2020-09-25,3.1633277976937504,21000100,3.1821,20991200,3.1821,21000200
2020-09-26,3.1025305498366667,21000100,3.1262,20991200,3.1262,21000200
2020-09-27,3.1905505125,21000100,3.1617,20991200,3.1617,21000200
2020-09-28,2.98337715,21000100,2.9564,20991200,2.9564,21000200
2020-09-29,2.9786342625000004,21000100,2.9517,20991200,2.9517,21000200
2020-09-30,2.92686615,21000100,2.9004,20991200,2.9004,21000200
2020-10-02,2.6475403500000003,21000100,2.6236,20991200,2.6236,21000200
2020-10-03,2.568626775,21000100,2.5454,20991200,2.5454,21000200
2020-10-04,2.54662785,21000100,2.5236,20991200,2.5236,21000200
2020-10-05,2.6736766875000004,21000100,2.6495,20991200,2.6495,21000200
2020-10-06,2.19303045,21000100,2.1732,20991200,2.1732,21000200
2020-10-07,2.3237121375000003,21000100,2.3027,20991200,2.3027,21000200
2020-10-08,2.39324085,21000100,2.3716,20991200,2.3716,21000200
2020-10-09,2.5594437375000005,21000100,2.5363,20991200,2.5363,21000200
2020-10-10,2.4494774021208334,21000100,2.407,20991200,2.407,21000200
2020-10-11,2.492833238595417,21000100,2.4257,20991200,2.4257,21000200
2020-10-12,2.6158512012708335,21000100,2.5825,20991200,2.5825,21000200
2020-10-13,2.43229997016,21000100,2.4048,20991200,2.4048,21000200
2020-10-14,2.3426984452770836,21000100,2.3087,20991200,2.3087,21000200
2020-10-15,2.287686375,21000100,2.267,20991200,2.267,21000200
2020-10-16,2.1599311500000002,21000100,2.1404,20991200,2.1404,21000200
2020-10-17,2.226331575,21000100,2.2062,20991200,2.2062,21000200
2020-10-18,2.238844725,21000100,2.2186,20991200,2.2186,21000200
2020-10-19,2.076577425,21000100,2.0578,20991200,2.0578,21000200
2020-10-20,1.9077508125000002,21000100,1.8905,20991200,1.8905,21000200
2020-10-21,1.9105763625,21000100,1.8933,20991200,1.8933,21000200
2020-10-22,1.9951899933258335,21000100,1.9619,20991200,1.9619,21000200
2020-10-23,2.0032250752833334,21000100,1.9645,20991200,1.9645,21000200
2020-10-24,1.9918146760462716,21000100,1.9196,20991200,1.9196,21000200
2020-10-25,1.8517141024725001,21000100,1.7937,20991200,1.7937,21000200
2020-10-26,1.693917225,21000100,1.6786,20991200,1.6786,21000200
2020-10-27,1.7291356875000001,21000100,1.7135,20991200,1.7135,21000200
2020-10-28,1.53346635,21000100,1.5196,20991200,1.5196,21000200
2020-10-29,1.4455715625,21000100,1.4325,20991200,1.4325,21000200
2020-10-30,1.4464272253491668,21000100,1.4378,20991200,1.4378,21000200
2020-10-31,1.5114534378678752,21000100,1.5472,20991200,1.5472,21000200
2020-11-02,1.4875511625,21000100,1.4741,20991200,1.4741,21000200
2020-11-03,1.4259945375,21000100,1.4131,20991200,1.4131,21000200
2020-11-04,1.4036928750000002,21000100,1.391,20991200,1.391,21000200
2020-11-05,1.4138850375,21000100,1.4011,20991200,1.4011,21000200
2020-11-06,1.9036254056166664,21000100,1.8998,20991200,1.8998,21000200
