DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2020-09-19,5.384917752055416,21000100,5.7311,20991200,5.7311,21000200
2020-09-20,5.3803735442762495,21000100,5.2313,20991200,5.2313,21000200
2020-09-21,4.29201045,21000100,4.2532,20991200,4.2532,21000200
2020-09-22,3.9457796625,21000100,3.9101,20991200,3.9101,21000200
2020-09-23,3.98086869076125,21000100,4.3829,20991200,4.3829,21000200
2020-09-24,4.4413857645591674,21000100,5.1553,20991200,5.1553,21000200
2020-09-25,4.684937409995,21000100,4.9089,20991200,4.9089,21000200
2020-09-26,4.917466125000001,21000100,4.873,20991200,4.873,21000200
2020-09-27,4.9317307504958325,21000100,4.8502,20991200,4.8502,21000200
2020-09-28,4.389163465866667,21000100,4.256,20991200,4.256,21000200
2020-09-29,4.49749361265,21000100,4.3884,20991200,4.3884,21000200
2020-09-30,4.26133015989,21000100,4.1604,20991200,4.1604,21000200
2020-10-02,4.06174537505,21000100,3.894,20991200,3.894,21000200
2020-10-03,3.93679845,21000100,3.9012,20991200,3.9012,21000200
2020-10-04,3.7594951875,21000100,3.7255,20991200,3.7255,21000200
2020-10-05,3.3970526952741666,21000100,3.3233,20991200,3.3233,21000200
2020-10-06,2.7906478442729163,21000100,2.7109,20991200,2.7109,21000200
2020-10-07,2.9692903327791664,21000100,2.9558,20991200,2.9558,21000200
2020-10-08,3.29722671174,21000100,3.3501,20991200,3.3501,21000200
2020-10-09,3.5203906835099996,21000100,3.3806,20991200,3.3806,21000200
2020-10-10,3.3259750875000003,21000100,3.2959,20991200,3.2959,21000200
2020-10-11,3.3930819000000003,21000100,3.3624,20991200,3.3624,21000200
2020-10-12,3.48874695,21000100,3.4572,20991200,3.4572,21000200
2020-10-13,3.3846052500000003,21000100,3.354,20991200,3.354,21000200
2020-10-14,3.1373696250000003,21000100,3.109,20991200,3.109,21000200
2020-10-15,3.1051785375000005,21000100,3.0771,20991200,3.0771,21000200
2020-10-16,2.931407221398333,21000100,3.0404,20991200,3.0404,21000200
2020-10-17,2.988104261683333,21000100,3.053,20991200,3.053,21000200
2020-10-18,3.2049168883083334,21000100,3.2732,20991200,3.2732,21000200
2020-10-19,3.03742578931125,21000100,3.1687,20991200,3.1687,21000200
2020-10-20,2.8847856375,21000100,2.8587,20991200,2.8587,21000200
2020-10-21,2.9653138125000003,21000100,2.9385,20991200,2.9385,21000200
2020-10-22,3.07351544921,21000100,3.0444,20991200,3.0444,21000200
2020-10-23,3.0459429000000005,21000100,3.0184,20991200,3.0184,21000200
2020-10-24,3.03791068719875,21000100,2.9447,20991200,2.9447,21000200
2020-10-25,2.8667950795458332,21000100,2.7769,20991200,2.7769,21000200
2020-10-26,2.738563425,21000100,2.7138,20991200,2.7138,21000200
2020-10-27,2.8353385125,21000100,2.8097,20991200,2.8097,21000200
2020-10-28,2.6874007875,21000100,2.6631,20991200,2.6631,21000200
2020-10-29,2.562168375,21000100,2.539,20991200,2.539,21000200
2020-10-30,2.4353213625000003,21000100,2.4133,20991200,2.4133,21000200
2020-10-31,2.2864754250000003,21000100,2.2658,20991200,2.2658,21000200
2020-11-02,2.2733568,21000100,2.2528,20991200,2.2528,21000200
2020-11-03,2.156500125,21000100,2.137,20991200,2.137,21000200
2020-11-04,1.9454920875000001,21000100,1.9279,20991200,1.9279,21000200
2020-11-05,2.210185575,21000100,2.1902,20991200,2.1902,21000200
2020-11-06,2.594056725,21000100,2.5706,20991200,2.5706,21000200
2020-11-07,2.4999053625000003,21000100,2.4773,20991200,2.4773,21000200
2020-11-08,2.8936659375000002,21000100,2.8675,20991200,2.8675,21000200
2020-11-09,2.7039504375,21000100,2.6795,20991200,2.6795,21000200
2020-11-10,3.10850865,21000100,3.0804,20991200,3.0804,21000200
2020-11-11,2.9588554125,21000100,2.9321,20991200,2.9321,21000200
2020-11-12,2.9842853625,21000100,2.9573,20991200,2.9573,21000200
2020-11-13,3.8812965750000004,21000100,3.8462,20991200,3.8462,21000200
2020-11-14,3.661172879708334,21000100,3.8132,20991200,3.8132,21000200
2020-11-15,3.8345637429583332,21000100,3.8482,20991200,3.8482,21000200
2020-11-16,3.6013653000000003,21000100,3.5688,20991200,3.5688,21000200
2020-11-17,3.9060117997391672,21000100,3.8191,20991200,3.8191,21000200
2020-11-18,3.65060334795,21000100,3.4632,20991200,3.4632,21000200
2020-11-19,3.8477956659999997,21000100,3.7466,20991200,3.7466,21000200
2020-11-20,4.118193000555417,21000100,3.8611,20991200,3.8611,21000200
2020-11-21,4.132071077837083,21000100,3.8467,20991200,3.8467,21000200
2020-11-22,3.91696242642625,21000100,3.6853,20991200,3.6853,21000200
2020-11-23,4.679270797288913,21000100,4.1945,20991200,4.1945,21000200
2020-11-24,4.590325108521349,21000100,4.0747,20991200,4.0747,21000200
2020-11-25,3.9334596013333334,21000100,3.68,20991200,3.68,21000200
2020-11-26,3.48340745169375,21000100,3.4341,20991200,3.4341,21000200
2020-11-27,3.3374791125000005,21000100,3.3073,20991200,3.3073,21000200
2020-11-28,3.4926825375000004,21000100,3.4611,20991200,3.4611,21000200
2020-11-29,3.5843110875,21000100,3.5519,20991200,3.5519,21000200
2020-11-30,3.8136852,21000100,3.7792,20991200,3.7792,21000200
2020-12-02,3.9837227625000002,21000100,3.9477,20991200,3.9477,21000200
2020-12-03,3.938163953672917,21000100,3.8855,20991200,3.8855,21000200
2020-12-04,3.5670653520104167,21000100,3.5203,20991200,3.5203,21000200
2020-12-05,3.7172128500000006,21000100,3.6836,20991200,3.6836,21000200
2020-12-06,3.6852235875,21000100,3.6519,20991200,3.6519,21000200
2020-12-07,3.8311665950333333,21000100,3.761,20991200,3.761,21000200
2020-12-08,3.3859856078599995,21000100,3.3013,20991200,3.3013,21000200
2020-12-09,3.38299065,21000100,3.3524,20991200,3.3524,21000200
2020-12-10,3.27158325,21000100,3.242,20991200,3.242,21000200
