DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2020-01-07,0.2318865054283333,21000100,0.2138,20991200,0.2138,21000200
2020-01-08,0.22137332629666667,21000100,0.2078,20991200,0.2078,21000200
2020-01-09,0.2058615,21000100,0.204,20991200,0.204,21000200
2020-01-10,0.2147418,21000100,0.2128,20991200,0.2128,21000200
2020-01-11,0.21363176250000002,21000100,0.2117,20991200,0.2117,21000200
2020-01-12,0.217769175,21000100,0.2158,20991200,0.2158,21000200
2020-01-13,0.21424546475625,21000100,0.2115,20991200,0.2115,21000200
2020-01-14,0.24153119441666665,21000100,0.235,20991200,0.235,21000200
2020-01-15,0.27896449707375,21000100,0.2337,20991200,0.2337,21000200
2020-01-16,0.2359283857541667,21000100,0.227,20991200,0.227,21000200
2020-01-17,0.23048415,21000100,0.2284,20991200,0.2284,21000200
2020-01-18,0.24803643186416668,21000100,0.2441,20991200,0.2441,21000200
2020-01-19,0.26735338076666665,21000100,0.236,20991200,0.236,21000200
2020-01-20,0.23841450174166667,21000100,0.2335,20991200,0.2335,21000200
2020-01-21,0.2414192141145833,21000100,0.2375,20991200,0.2375,21000200
2020-01-22,0.24057701811,21000100,0.2376,20991200,0.2376,21000200
2020-01-23,0.231819650595,21000100,0.2262,20991200,0.2262,21000200
2020-01-24,0.2244294,21000100,0.2224,20991200,0.2224,21000200
2020-01-25,0.2217047625,21000100,0.2197,20991200,0.2197,21000200
2020-01-26,0.23341061250000003,21000100,0.2313,20991200,0.2313,21000200
2020-01-27,0.2330069625,21000100,0.2309,20991200,0.2309,21000200
2020-01-28,0.24402584695958335,21000100,0.2393,20991200,0.2393,21000200
2020-01-29,0.26110421089999997,21000100,0.236,20991200,0.236,21000200
2020-01-30,0.2654050087995833,21000100,0.2443,20991200,0.2443,21000200
2020-01-31,0.26656009386125,21000100,0.2397,20991200,0.2397,21000200
2020-02-02,0.26659770533125,21000100,0.2515,20991200,0.2515,21000200
2020-02-03,0.27093157018749997,21000100,0.255,20991200,0.255,21000200
2020-02-04,0.287979924285,21000100,0.2676,20991200,0.2676,21000200
2020-02-05,0.2917859278891667,21000100,0.2786,20991200,0.2786,21000200
2020-02-06,0.32463029550750006,21000100,0.2841,20991200,0.2841,21000200
2020-02-07,0.3160204162425,21000100,0.2799,20991200,0.2799,21000200
2020-02-08,0.2942610555,21000100,0.2775,20991200,0.2775,21000200
