DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2020-02-06,77.25781468687501,21000100,70.17,20991200,70.17,21000200
2020-02-07,86.50711152287501,21000100,68.59,20991200,68.59,21000200
2020-02-08,83.56192058816666,21000100,70.13,20991200,70.13,21000200
2020-02-09,86.51386149262501,21000100,71.43,20991200,71.43,21000200
2020-02-10,78.95182835875,21000100,69.9,20991200,69.9,21000200
2020-02-11,82.88596468125,21000100,72.75,20991200,72.75,21000200
2020-02-12,90.48136169983333,21000100,73.61,20991200,73.61,21000200
2020-02-13,84.29398972250002,21000100,72.12,20991200,72.12,21000200
2020-02-14,76.14077935999998,21000100,72.96,20991200,72.96,21000200
2020-02-15,77.976409442625,21000100,64.53,20991200,64.53,21000200
2020-02-16,60.650356767000005,21000100,60.06,20991200,60.06,21000200
2020-02-17,64.79591624999999,21000100,64.21,20991200,64.21,21000200
2020-02-18,66.606795302125,21000100,65.91,20991200,65.91,21000200
2020-02-19,69.80517115875,21000100,62.07,20991200,62.07,21000200
2020-02-20,61.91999325333334,21000100,60.8,20991200,60.8,21000200
2020-02-21,63.7159567135,21000100,61.63,20991200,61.63,21000200
2020-02-22,61.63754203475,21000100,60.86,20991200,60.86,21000200
2020-02-23,65.4948968775,21000100,63.4,20991200,63.4,21000200
2020-02-24,64.849179899,21000100,60.76,20991200,60.76,21000200
2020-02-25,58.13191610779166,21000100,57.11,20991200,57.11,21000200
2020-02-26,52.21077328191667,21000100,51.38,20991200,51.38,21000200
2020-02-27,53.4634425,21000100,52.98,20991200,52.98,21000200
2020-02-28,51.255436173999996,21000100,50.79,20991200,50.79,21000200
2020-02-29,50.88214258575,21000100,48.98,20991200,48.98,21000200
2020-03-02,52.86805875,21000100,52.39,20991200,52.39,21000200
2020-03-03,51.48866141683334,21000100,50.84,20991200,50.84,21000200
2020-03-04,50.61771,21000100,50.16,20991200,50.16,21000200
2020-03-05,53.137768290000004,21000100,51.9,20991200,51.9,21000200
2020-03-06,54.35448612825,21000100,53.34,20991200,53.34,21000200
2020-03-07,51.57944414466667,21000100,50.68,20991200,50.68,21000200
2020-03-08,43.465040269375,21000100,42.81,20991200,42.81,21000200
2020-03-09,42.595166250000005,21000100,42.21,20991200,42.21,21000200
2020-03-10,41.6866151775,21000100,41.46,20991200,41.46,21000200
2020-03-11,40.6273725,21000100,40.26,20991200,40.26,21000200
2020-03-12,25.6255343685,21000100,25.38,20991200,25.38,21000200
2020-03-13,27.6298425,21000100,27.38,20991200,27.38,21000200
2020-03-14,25.167577500000004,21000100,24.94,20991200,24.94,21000200
2020-03-15,25.9832640385,21000100,25.66,20991200,25.66,21000200
2020-03-16,24.269177464333335,21000100,24.67,20991200,24.67,21000200
2020-03-17,25.05919581629167,21000100,25.01,20991200,25.01,21000200
2020-03-18,29.660876809374997,21000100,29.75,20991200,29.75,21000200
2020-03-19,32.238910138125,21000100,31.95,20991200,31.95,21000200
2020-03-20,33.37176375,21000100,33.07,20991200,33.07,21000200
2020-03-21,31.758459766041668,21000100,32.95,20991200,32.95,21000200
