DATE_TIME,current_contract,next_contract,carry_contract
2022-08-18 23:00:00,20220800,20220900,20220900
2022-09-16 23:00:00,20220900,20221000,20221000
2022-10-18 23:00:00,20221000,20221100,20221100
2022-11-18 23:00:00,20221100,20221200,20221200
2022-12-16 23:00:00,20221200,20230100,20230100
2023-01-18 23:00:00,20230100,20230200,20230200
2023-02-17 23:00:00,20230200,20230300,20230300
2023-03-17 23:00:00,20230300,20230400,20230400
2023-04-18 23:00:00,20230400,20230500,20230500
2023-05-18 23:00:00,20230500,20230600,20230600
2023-06-16 23:00:00,20230600,20230700,20230700
2023-07-18 23:00:00,20230700,20230800,20230800
2023-08-18 23:00:00,20230800,20230900,20230900
2023-09-15 23:00:00,20230900,20231000,20231000
2023-10-18 23:00:00,20231000,20231100,20231100
2023-11-17 23:00:00,20231100,20231200,20231200
2023-12-15 23:00:00,20231200,20240100,20240100
2024-01-18 23:00:00,20240100,20240200,20240200
2024-02-19 23:00:00,20240200,20240300,20240300
2024-03-15 23:00:00,20240300,20240400,20240400
2024-04-18 23:00:00,20240400,20240500,20240500
2024-05-17 23:00:00,20240500,20240600,20240600
2024-06-18 23:00:00,20240600,20240700,20240700
2024-07-18 23:00:00,20240700,20240800,20240800
2024-08-16 23:00:00,20240800,20240900,20240900
2024-09-18 23:00:00,20240900,20241000,20241000
2024-10-18 23:00:00,20241000,20241100,20241100
2024-11-15 23:00:00,20241100,20241200,20241200
2024-12-18 23:00:00,20241200,20250100,20250100
2025-01-17 23:00:00,20250100,20250200,20250200
2025-02-18 23:00:00,20250200,20250300,20250300
2025-03-18 23:00:00,20250300,20250400,20250400
2025-04-18 23:00:00,20250400,20250500,20250500
2025-05-16 23:00:00,20250500,20250600,20250600
2025-06-18 23:00:00,20250600,20250700,20250700
2025-07-18 23:00:00,20250700,20250800,20250800
2025-08-15 23:00:00,20250800,20250900,20250900
2025-09-18 23:00:00,20250900,20251000,20251000
2025-10-17 23:00:00,20251000,20251100,20251100
2025-11-18 23:00:00,20251100,20251200,20251200
2025-12-18 23:00:00,20251200,20260100,20260100
2026-01-16 23:00:00,20260100,20260200,20260200
2026-02-13 23:00:00,20260200,20260300,20260300
2026-03-18 23:00:00,20260300,20260400,20260400
2026-04-17 23:00:00,20260400,20260500,20260500
2026-05-15 23:00:00,20260500,20260600,20260600
2026-06-18 23:00:00,20260600,20260700,20260700
2026-07-17 23:00:00,20260700,20260800,20260800
2026-07-27 23:00:00,20260800,20260900,20260900
