DATE_TIME,current_contract,next_contract,carry_contract
2023-05-25 23:00:00,20230600,20230900,20230900
2023-08-25 23:00:00,20230900,20231200,20231200
2023-11-24 23:00:00,20231200,20240300,20240300
2024-02-23 23:00:00,20240300,20240600,20240600
2024-05-24 23:00:00,20240600,20240900,20240900
2024-08-26 23:00:00,20240900,20241200,20241200
2024-11-25 23:00:00,20241200,20250300,20250300
2025-02-21 23:00:00,20250300,20250600,20250600
2025-05-26 23:00:00,20250600,20250900,20250900
2025-08-25 23:00:00,20250900,20251200,20251200
2025-11-24 23:00:00,20251200,20260300,20260300
2026-02-24 23:00:00,20260300,20260600,20260600
2026-05-25 23:00:00,20260600,20260900,20260900
2026-07-27 23:00:00,20260900,20261200,20261200
