DATE_TIME,current_contract,next_contract,carry_contract
2018-11-26 23:00:00,20181200,20190300,20190300
2019-02-22 23:00:00,20190300,20190600,20190600
2019-05-27 23:00:00,20190600,20190900,20190900
2019-08-26 23:00:00,20190900,20191200,20191200
2019-11-25 23:00:00,20191200,20200300,20200300
2020-02-24 23:00:00,20200300,20200600,20200600
2020-05-26 23:00:00,20200600,20200900,20200900
2020-08-26 23:00:00,20200900,20201200,20201200
2020-11-25 23:00:00,20201200,20210300,20210300
2021-02-23 23:00:00,20210300,20210600,20210600
2021-05-26 23:00:00,20210600,20210900,20210900
2021-08-26 23:00:00,20210900,20211200,20211200
2021-11-25 23:00:00,20211200,20220300,20220300
2022-02-23 23:00:00,20220300,20220600,20220600
2022-05-26 23:00:00,20220600,20220900,20220900
2022-08-26 23:00:00,20220900,20221200,20221200
2022-11-25 23:00:00,20221200,20230300,20230300
2023-02-23 23:00:00,20230300,20230600,20230600
2023-05-26 23:00:00,20230600,20230900,20230900
2023-08-25 23:00:00,20230900,20231200,20231200
2023-11-24 23:00:00,20231200,20240300,20240300
2024-02-23 23:00:00,20240300,20240600,20240600
2024-05-27 23:00:00,20240600,20240900,20240900
2024-08-26 23:00:00,20240900,20241200,20241200
2024-11-25 23:00:00,20241200,20250300,20250300
2025-02-24 23:00:00,20250300,20250600,20250600
2025-05-26 23:00:00,20250600,20250900,20250900
2025-08-26 23:00:00,20250900,20251200,20251200
2025-11-25 23:00:00,20251200,20260300,20260300
2026-02-24 23:00:00,20260300,20260600,20260600
2026-05-26 23:00:00,20260600,20260900,20260900
2026-07-27 23:00:00,20260900,20261200,20261200
