DATE_TIME,current_contract,next_contract,carry_contract
2019-12-09 23:00:00,20200100,20200500,20191200
2020-01-14 23:00:00,20200500,20200900,20200100
2020-05-19 23:00:00,20200900,20201200,20200500
2020-09-11 23:00:00,20201200,20210100,20200900
2020-12-09 23:00:00,20210100,20210500,20201200
2021-01-15 23:00:00,20210500,20210900,20210100
2021-05-19 23:00:00,20210900,20211200,20210500
2021-09-10 23:00:00,20211200,20220100,20210900
2021-12-09 23:00:00,20220100,20220500,20211200
2022-01-17 23:00:00,20220500,20220900,20220100
2022-05-18 23:00:00,20220900,20221200,20220500
2022-09-15 23:00:00,20221200,20230100,20220900
2022-12-12 23:00:00,20230100,20230500,20221200
2023-01-11 23:00:00,20230500,20230900,20230100
2023-05-17 23:00:00,20230900,20231200,20230500
2023-09-13 23:00:00,20231200,20240100,20230900
2023-12-08 23:00:00,20240100,20240500,20231200
2024-01-15 23:00:00,20240500,20240900,20240100
2024-05-17 23:00:00,20240900,20241200,20240500
2024-09-13 23:00:00,20241200,20250100,20240900
2024-12-09 23:00:00,20250100,20250500,20241200
2025-01-15 23:00:00,20250500,20250900,20250100
2025-05-19 23:00:00,20250900,20251200,20250500
2025-09-12 23:00:00,20251200,20260100,20250900
2025-12-09 23:00:00,20260100,20260500,20251200
2026-01-16 23:00:00,20260500,20260900,20260100
2026-05-19 23:00:00,20260900,20261200,20260500
