DATE_TIME,current_contract,next_contract,carry_contract
2018-04-03 23:00:00,20180500,20180900,20180300
2018-05-24 23:00:00,20180900,20181000,20180700
2018-08-31 23:00:00,20181000,20190100,20180900
2018-12-24 23:00:00,20190100,20190500,20181000
2019-04-23 23:00:00,20190500,20190900,20190300
2019-07-10 23:00:00,20190900,20191000,20190700
2019-09-17 23:00:00,20191000,20200100,20190900
2019-12-24 23:00:00,20200100,20200500,20191000
2020-04-23 23:00:00,20200500,20200900,20200300
2020-09-03 23:00:00,20200900,20201000,20200700
2020-09-10 23:00:00,20201000,20210100,20200900
2020-12-24 23:00:00,20210100,20210500,20201000
2021-04-23 23:00:00,20210500,20210900,20210300
2021-08-25 23:00:00,20210900,20211000,20210700
2021-08-26 23:00:00,20211000,20220100,20210900
2021-12-24 23:00:00,20220100,20220500,20211000
2022-04-22 23:00:00,20220500,20220900,20220300
2022-08-29 23:00:00,20220900,20221000,20220700
2022-09-13 23:00:00,20221000,20230100,20220900
2022-12-23 23:00:00,20230100,20230500,20221000
2023-04-24 23:00:00,20230500,20230900,20230300
2023-05-08 23:00:00,20230900,20231000,20230700
2023-09-14 23:00:00,20231000,20240100,20230900
2023-12-25 23:00:00,20240100,20240500,20231000
2024-02-07 23:00:00,20240500,20240900,20240300
2024-07-12 23:00:00,20240900,20241000,20240700
2024-09-13 23:00:00,20241000,20250100,20240900
2024-10-21 23:00:00,20250100,20250500,20241000
2025-03-14 23:00:00,20250500,20250900,20250300
2025-07-14 23:00:00,20250900,20251000,20250700
2025-09-12 23:00:00,20251000,20260100,20250900
2025-10-22 23:00:00,20260100,20260500,20251000
2026-03-13 23:00:00,20260500,20260900,20260300
2026-07-14 23:00:00,20260900,20261000,20260700
