DATE_TIME,current_contract,next_contract,carry_contract
2025-03-31 23:00:00,20250500,20250600,20250400
2025-04-30 23:00:00,20250600,20250700,20250500
2025-05-30 23:00:00,20250700,20250800,20250600
2025-07-01 23:00:00,20250800,20250900,20250700
2025-08-01 23:00:00,20250900,20251000,20250800
2025-09-01 23:00:00,20251000,20251100,20250900
2025-09-30 23:00:00,20251100,20251200,20251000
2025-10-31 23:00:00,20251200,20260100,20251100
2025-12-01 23:00:00,20260100,20260300,20251200
2026-01-29 23:00:00,20260300,20260500,20260200
2026-03-31 23:00:00,20260500,20260600,20260400
2026-04-30 23:00:00,20260600,20260700,20260500
2026-06-01 23:00:00,20260700,20260800,20260600
2026-07-01 23:00:00,20260800,20260900,20260700
2026-07-27 23:00:00,20260900,20261000,20260800
