DATE_TIME,current_contract,next_contract,carry_contract
2013-10-31 23:00:00,20140100,20140500,20131100
2014-01-15 23:00:00,20140500,20140900,20140100
2014-05-12 23:00:00,20140900,20150100,20140500
2014-08-22 23:00:00,20150100,20150500,20141100
2015-01-13 23:00:00,20150500,20150900,20150100
2015-08-11 23:00:00,20150900,20160100,20150500
2015-12-08 23:00:00,20160100,20160500,20151100
2016-04-05 23:00:00,20160500,20160900,20160100
2016-08-18 23:00:00,20160900,20170100,20160500
2016-10-24 23:00:00,20170100,20170500,20161100
