DATE_TIME,current_contract,next_contract,carry_contract
2007-09-13 23:00:00,20080100,20080500,20070900
2008-01-14 23:00:00,20080500,20080900,20080100
2008-05-05 23:00:00,20080900,20090100,20080500
2008-09-11 23:00:00,20090100,20090500,20080900
2009-01-16 23:00:00,20090500,20090900,20090100
2009-05-15 23:00:00,20090900,20100100,20090500
2009-09-14 23:00:00,20100100,20100500,20090900
2010-01-15 23:00:00,20100500,20100900,20100100
2010-05-13 23:00:00,20100900,20110100,20100500
2010-09-06 23:00:00,20110100,20110500,20100900
2011-01-17 23:00:00,20110500,20110900,20110100
2011-05-16 23:00:00,20110900,20120100,20110500
2011-09-06 23:00:00,20120100,20120500,20110900
2012-01-12 23:00:00,20120500,20120900,20120100
2012-05-11 23:00:00,20120900,20130100,20120500
