DATE_TIME,current_contract,next_contract,carry_contract
2024-05-17 23:00:00,20240700,20240900,20240500
2024-07-12 23:00:00,20240900,20241100,20240700
2024-09-13 23:00:00,20241100,20250100,20240900
2024-11-14 23:00:00,20250100,20250300,20241100
2025-01-15 23:00:00,20250300,20250500,20250100
2025-03-14 23:00:00,20250500,20250700,20250300
2025-05-19 23:00:00,20250700,20250900,20250500
2025-07-14 23:00:00,20250900,20251100,20250700
2025-09-12 23:00:00,20251100,20260100,20250900
2025-11-14 23:00:00,20260100,20260300,20251100
2026-01-16 23:00:00,20260300,20260500,20260100
2026-03-13 23:00:00,20260500,20260700,20260300
2026-05-19 23:00:00,20260700,20260900,20260500
2026-07-14 23:00:00,20260900,20261100,20260700
