DATE_TIME,current_contract,next_contract,carry_contract
2013-06-18 23:00:00,20130700,20130900,20130900
2013-08-19 23:00:00,20130900,20140100,20140100
2013-12-19 23:00:00,20140100,20140500,20140500
2014-04-18 23:00:00,20140500,20140900,20140900
2014-08-19 23:00:00,20140900,20150100,20150100
2014-12-19 23:00:00,20150100,20150500,20150500
2015-04-17 23:00:00,20150500,20150900,20150900
2015-08-19 23:00:00,20150900,20160100,20160100
2015-12-18 23:00:00,20160100,20160500,20160500
2016-04-18 23:00:00,20160500,20160900,20160900
2016-08-19 23:00:00,20160900,20170100,20170100
2016-12-19 23:00:00,20170100,20170500,20170500
2017-04-18 23:00:00,20170500,20170900,20170900
2017-08-18 23:00:00,20170900,20180100,20180100
2017-12-19 23:00:00,20180100,20180500,20180500
2018-04-18 23:00:00,20180500,20180900,20180900
2018-08-20 23:00:00,20180900,20190100,20190100
2018-12-19 23:00:00,20190100,20190500,20190500
2019-04-18 23:00:00,20190500,20190900,20190900
2019-08-27 23:00:00,20190900,20200100,20200100
2019-12-13 23:00:00,20200100,20200500,20200500
2020-04-17 23:00:00,20200500,20200900,20200900
2020-08-19 23:00:00,20200900,20210100,20210100
2020-12-21 23:00:00,20210100,20210500,20210500
2021-04-20 23:00:00,20210500,20210900,20210900
2021-08-19 23:00:00,20210900,20220100,20220100
2021-08-20 23:00:00,20220100,20220500,20220500
2022-03-28 23:00:00,20220500,20220900,20220900
2022-08-31 23:00:00,20220900,20230100,20230100
