DATE_TIME,current_contract,next_contract,carry_contract
2003-05-22 23:00:00,20030900,20040100,20030500
2003-09-30 23:00:00,20040100,20040500,20031100
2004-01-12 23:00:00,20040500,20040900,20040100
2004-05-20 23:00:00,20040900,20050100,20040500
2004-09-30 23:00:00,20050100,20050500,20041100
2005-01-21 23:00:00,20050500,20050900,20050100
2005-05-13 23:00:00,20050900,20060100,20050500
2005-09-30 23:00:00,20060100,20060500,20051100
2006-01-18 23:00:00,20060500,20060900,20060100
2006-05-23 23:00:00,20060900,20070100,20060500
2006-09-29 23:00:00,20070100,20070500,20061100
2007-01-17 23:00:00,20070500,20070900,20070100
2007-05-15 23:00:00,20070900,20080100,20070500
2007-09-28 23:00:00,20080100,20080500,20071100
2008-01-22 23:00:00,20080500,20080900,20080100
2008-05-21 23:00:00,20080900,20090100,20080500
2008-10-06 23:00:00,20090100,20090500,20081100
2009-01-15 23:00:00,20090500,20090900,20090100
2009-05-19 23:00:00,20090900,20100100,20090500
2009-09-30 23:00:00,20100100,20100500,20091100
2010-01-13 23:00:00,20100500,20100900,20100100
2010-05-20 23:00:00,20100900,20110100,20100500
2010-09-29 23:00:00,20110100,20110500,20101100
2011-01-21 23:00:00,20110500,20110900,20110100
2011-05-23 23:00:00,20110900,20120100,20110500
2011-09-30 23:00:00,20120100,20120500,20111100
2012-01-16 23:00:00,20120500,20120900,20120100
2012-05-23 23:00:00,20120900,20130100,20120500
