DATE_TIME,current_contract,next_contract,carry_contract
1999-03-18 23:00:00,19990500,19990700,19990300
1999-05-21 23:00:00,19990700,19990900,19990500
1999-07-13 23:00:00,19990900,19991100,19990700
1999-09-15 23:00:00,19991100,20000100,19990900
1999-11-16 23:00:00,20000100,20000500,19991100
2000-03-03 23:00:00,20000500,20000700,20000300
2000-05-18 23:00:00,20000700,20000900,20000500
2000-07-10 23:00:00,20000900,20001100,20000700
2000-09-01 23:00:00,20001100,20010100,20000900
2000-11-15 23:00:00,20010100,20010500,20001100
2001-03-22 23:00:00,20010500,20010700,20010300
2001-05-23 23:00:00,20010700,20010900,20010500
2001-07-23 23:00:00,20010900,20011100,20010700
2001-09-20 23:00:00,20011100,20020100,20010900
2001-11-22 23:00:00,20020100,20020500,20011100
2002-03-21 23:00:00,20020500,20020700,20020300
2002-05-23 23:00:00,20020700,20020900,20020500
2002-07-03 23:00:00,20020900,20021100,20020700
2002-09-16 23:00:00,20021100,20030100,20020900
2002-11-19 23:00:00,20030100,20030500,20021100
2003-03-17 23:00:00,20030500,20030700,20030300
2003-05-22 23:00:00,20030700,20030900,20030500
2003-07-23 23:00:00,20030900,20031100,20030700
2003-09-22 23:00:00,20031100,20040100,20030900
2003-11-20 23:00:00,20040100,20040500,20031100
2004-03-23 23:00:00,20040500,20040700,20040300
2004-05-19 23:00:00,20040700,20040900,20040500
2004-07-08 23:00:00,20040900,20041100,20040700
2004-09-22 23:00:00,20041100,20050100,20040900
2004-11-22 23:00:00,20050100,20050500,20041100
2005-03-10 23:00:00,20050500,20050700,20050300
2005-05-12 23:00:00,20050700,20050900,20050500
2005-07-05 23:00:00,20050900,20051100,20050700
2005-09-20 23:00:00,20051100,20060100,20050900
2005-11-18 23:00:00,20060100,20060500,20051100
2006-03-03 23:00:00,20060500,20060700,20060300
2006-04-28 23:00:00,20060700,20060900,20060500
2006-07-18 23:00:00,20060900,20061100,20060700
2006-09-04 23:00:00,20061100,20070100,20060900
2006-11-09 23:00:00,20070100,20070500,20061100
2007-03-06 23:00:00,20070500,20070700,20070300
2007-04-30 23:00:00,20070700,20070900,20070500
2007-07-20 23:00:00,20070900,20071100,20070700
2007-08-29 23:00:00,20071100,20080100,20070900
2007-10-31 23:00:00,20080100,20080500,20071100
2008-02-29 23:00:00,20080500,20080700,20080300
2008-04-28 23:00:00,20080700,20080900,20080500
2008-08-14 23:00:00,20080900,20081100,20080700
2008-09-01 23:00:00,20081100,20090100,20080900
2008-12-24 23:00:00,20090100,20090500,20081100
2009-03-11 23:00:00,20090500,20090700,20090300
2009-05-07 23:00:00,20090700,20090900,20090500
2009-07-06 23:00:00,20090900,20091100,20090700
2009-09-15 23:00:00,20091100,20100100,20090900
2009-11-20 23:00:00,20100100,20100500,20091100
2010-03-23 23:00:00,20100500,20100700,20100300
2010-05-19 23:00:00,20100700,20100900,20100500
2010-07-01 23:00:00,20100900,20101100,20100700
2010-09-10 23:00:00,20101100,20110100,20100900
2010-11-02 23:00:00,20110100,20110500,20101100
2011-03-04 23:00:00,20110500,20110700,20110300
2011-05-23 23:00:00,20110700,20110900,20110500
2011-07-08 23:00:00,20110900,20111100,20110700
2011-09-21 23:00:00,20111100,20120100,20110900
2011-10-31 23:00:00,20120100,20120500,20111100
2012-02-29 23:00:00,20120500,20120700,20120300
2012-05-11 23:00:00,20120700,20120900,20120500
