DATE_TIME,current_contract,next_contract,carry_contract
2016-08-18 23:00:00,20160900,20161100,20160700
2016-08-29 23:00:00,20161100,20170100,20160900
2016-10-28 23:00:00,20170100,20170500,20161100
2016-12-28 23:00:00,20170500,20170900,20170100
2017-08-14 23:00:00,20170900,20171100,20170700
2017-08-29 23:00:00,20171100,20180100,20170900
2017-10-23 23:00:00,20180100,20180500,20171100
2018-01-02 23:00:00,20180500,20180900,20180100
2018-07-04 23:00:00,20180900,20181100,20180700
2018-09-06 23:00:00,20181100,20190100,20180900
2018-11-06 23:00:00,20190100,20190500,20181100
2019-01-08 23:00:00,20190500,20190900,20190100
2019-07-05 23:00:00,20190900,20191100,20190700
2019-09-06 23:00:00,20191100,20200100,20190900
2019-11-07 23:00:00,20200100,20200500,20191100
2020-01-08 23:00:00,20200500,20200900,20200100
2020-07-07 23:00:00,20200900,20201100,20200700
2020-09-07 23:00:00,20201100,20210100,20200900
2020-11-06 23:00:00,20210100,20210500,20201100
2021-01-07 23:00:00,20210500,20210900,20210100
2021-07-01 23:00:00,20210900,20211100,20210700
2021-09-07 23:00:00,20211100,20220100,20210900
2021-11-05 23:00:00,20220100,20220500,20211100
2022-01-10 23:00:00,20220500,20220900,20220100
2022-04-26 23:00:00,20220900,20221100,20220700
