DATE_TIME,current_contract,next_contract,carry_contract
2005-03-14 23:00:00,20050500,20050700,20050300
2005-05-20 23:00:00,20050700,20050900,20050500
2005-07-14 23:00:00,20050900,20051100,20050700
2005-09-14 23:00:00,20051100,20060100,20050900
2005-11-14 23:00:00,20060100,20060300,20051100
2006-01-17 23:00:00,20060300,20060500,20060100
2006-03-14 23:00:00,20060500,20060700,20060300
2006-05-19 23:00:00,20060700,20060900,20060500
2006-07-14 23:00:00,20060900,20061100,20060700
2006-09-14 23:00:00,20061100,20070100,20060900
2006-11-14 23:00:00,20070100,20070300,20061100
2007-01-17 23:00:00,20070300,20070500,20070100
2007-03-14 23:00:00,20070500,20070700,20070300
2007-05-21 23:00:00,20070700,20070900,20070500
2007-07-13 23:00:00,20070900,20071100,20070700
2007-09-14 23:00:00,20071100,20080100,20070900
2007-11-14 23:00:00,20080100,20080300,20071100
2008-01-15 23:00:00,20080300,20080500,20080100
2008-03-14 23:00:00,20080500,20080700,20080300
2008-05-16 23:00:00,20080700,20080900,20080500
2008-07-14 23:00:00,20080900,20081100,20080700
2008-09-12 23:00:00,20081100,20090100,20080900
2008-11-14 23:00:00,20090100,20090300,20081100
2009-01-16 23:00:00,20090300,20090500,20090100
2009-03-13 23:00:00,20090500,20090700,20090300
2009-05-15 23:00:00,20090700,20090900,20090500
2009-07-14 23:00:00,20090900,20091100,20090700
2009-09-14 23:00:00,20091100,20100100,20090900
2009-11-13 23:00:00,20100100,20100300,20091100
2010-01-15 23:00:00,20100300,20100500,20100100
2010-03-12 23:00:00,20100500,20100700,20100300
2010-05-17 23:00:00,20100700,20100900,20100500
2010-07-14 23:00:00,20100900,20101100,20100700
2010-09-14 23:00:00,20101100,20110100,20100900
2010-11-12 23:00:00,20110100,20110300,20101100
2011-01-17 23:00:00,20110300,20110500,20110100
2011-03-14 23:00:00,20110500,20110700,20110300
2011-05-16 23:00:00,20110700,20110900,20110500
2011-07-14 23:00:00,20110900,20111100,20110700
2011-09-15 23:00:00,20111100,20120100,20110900
2011-11-14 23:00:00,20120100,20120300,20111100
2012-01-17 23:00:00,20120300,20120500,20120100
2012-03-14 23:00:00,20120500,20120700,20120300
2012-05-15 23:00:00,20120700,20120900,20120500
2012-07-13 23:00:00,20120900,20121100,20120700
2012-09-14 23:00:00,20121100,20130100,20120900
2012-11-14 23:00:00,20130100,20130300,20121100
2013-01-17 23:00:00,20130300,20130500,20130100
2013-03-14 23:00:00,20130500,20130700,20130300
2013-05-15 23:00:00,20130700,20130900,20130500
2013-07-12 23:00:00,20130900,20131100,20130700
2013-09-13 23:00:00,20131100,20140100,20130900
2013-11-14 23:00:00,20140100,20140300,20131100
2014-01-15 23:00:00,20140300,20140500,20140100
2014-03-14 23:00:00,20140500,20140700,20140300
2014-05-16 23:00:00,20140700,20140900,20140500
2014-07-14 23:00:00,20140900,20141100,20140700
2014-09-15 23:00:00,20141100,20150100,20140900
2014-11-14 23:00:00,20150100,20150300,20141100
2015-01-16 23:00:00,20150300,20150500,20150100
2015-03-13 23:00:00,20150500,20150700,20150300
2015-05-15 23:00:00,20150700,20150900,20150500
2015-07-14 23:00:00,20150900,20151100,20150700
2015-09-16 23:00:00,20151100,20160100,20150900
2015-11-13 23:00:00,20160100,20160300,20151100
