DATE_TIME,current_contract,next_contract,carry_contract
2014-09-05 23:00:00,20140900,20150500,20140500
2015-01-16 23:00:00,20150500,20150900,20150100
2015-09-07 23:00:00,20150900,20160500,20150500
2016-01-15 23:00:00,20160500,20160900,20160100
2016-09-05 23:00:00,20160900,20170500,20160500
2017-01-16 23:00:00,20170500,20170900,20170100
2017-09-05 23:00:00,20170900,20180500,20170500
2018-01-15 23:00:00,20180500,20180900,20180100
2018-09-05 23:00:00,20180900,20190500,20180500
2019-01-15 23:00:00,20190500,20190900,20190100
2019-09-05 23:00:00,20190900,20200500,20190500
2020-01-15 23:00:00,20200500,20200900,20200100
2020-09-04 23:00:00,20200900,20210500,20200500
2021-01-15 23:00:00,20210500,20210900,20210100
2021-09-06 23:00:00,20210900,20220500,20210500
2022-01-17 23:00:00,20220500,20220900,20220100
2022-09-05 23:00:00,20220900,20230500,20220500
2023-01-16 23:00:00,20230500,20230900,20230100
2023-09-05 23:00:00,20230900,20240500,20230500
2024-01-15 23:00:00,20240500,20240900,20240100
