DATE_TIME,current_contract,next_contract,carry_contract
2005-03-14 23:00:00,20050500,20050700,20050300
2005-05-20 23:00:00,20050700,20050900,20050500
2005-07-14 23:00:00,20050900,20060100,20050700
2005-11-14 23:00:00,20060100,20060500,20051100
2006-03-14 23:00:00,20060500,20060700,20060300
2006-05-19 23:00:00,20060700,20060900,20060500
2006-07-14 23:00:00,20060900,20070100,20060700
2006-11-14 23:00:00,20070100,20070500,20061100
2007-03-14 23:00:00,20070500,20070700,20070300
2007-05-21 23:00:00,20070700,20070900,20070500
2007-07-13 23:00:00,20070900,20080100,20070700
2007-11-14 23:00:00,20080100,20080500,20071100
2008-03-14 23:00:00,20080500,20080700,20080300
2008-05-16 23:00:00,20080700,20080900,20080500
2008-07-14 23:00:00,20080900,20090100,20080700
2008-11-14 23:00:00,20090100,20090500,20081100
2009-03-13 23:00:00,20090500,20090700,20090300
2009-05-15 23:00:00,20090700,20090900,20090500
2009-07-14 23:00:00,20090900,20100100,20090700
2009-11-13 23:00:00,20100100,20100500,20091100
2010-03-12 23:00:00,20100500,20100700,20100300
2010-05-17 23:00:00,20100700,20100900,20100500
2010-07-14 23:00:00,20100900,20110100,20100700
2010-11-12 23:00:00,20110100,20110500,20101100
2011-03-14 23:00:00,20110500,20110700,20110300
2011-05-16 23:00:00,20110700,20110900,20110500
2011-07-14 23:00:00,20110900,20120100,20110700
2011-11-14 23:00:00,20120100,20120500,20111100
2012-03-14 23:00:00,20120500,20120700,20120300
2012-05-15 23:00:00,20120700,20120900,20120500
2012-07-13 23:00:00,20120900,20130100,20120700
2012-11-14 23:00:00,20130100,20130500,20121100
2013-03-14 23:00:00,20130500,20130700,20130300
2013-05-15 23:00:00,20130700,20130900,20130500
2013-07-12 23:00:00,20130900,20140100,20130700
2013-11-14 23:00:00,20140100,20140500,20131100
2014-03-14 23:00:00,20140500,20140700,20140300
2014-05-16 23:00:00,20140700,20140900,20140500
2014-07-14 23:00:00,20140900,20150100,20140700
2014-11-14 23:00:00,20150100,20150500,20141100
2015-03-13 23:00:00,20150500,20150700,20150300
2015-05-15 23:00:00,20150700,20150900,20150500
2015-07-14 23:00:00,20150900,20160100,20150700
2015-11-13 23:00:00,20160100,20160500,20151100
2016-03-14 23:00:00,20160500,20160700,20160300
2016-05-16 23:00:00,20160700,20160900,20160500
2016-07-14 23:00:00,20160900,20170100,20160700
2016-11-14 23:00:00,20170100,20170500,20161100
2017-03-14 23:00:00,20170500,20170700,20170300
2017-05-15 23:00:00,20170700,20170900,20170500
2017-07-14 23:00:00,20170900,20180100,20170700
2017-11-14 23:00:00,20180100,20180500,20171100
2018-03-14 23:00:00,20180500,20180700,20180300
2018-05-15 23:00:00,20180700,20180900,20180500
2018-07-13 23:00:00,20180900,20190100,20180700
2018-11-14 23:00:00,20190100,20190500,20181100
2019-03-14 23:00:00,20190500,20190700,20190300
2019-05-17 23:00:00,20190700,20190900,20190500
2019-07-12 23:00:00,20190900,20200100,20190700
2019-11-14 23:00:00,20200100,20200500,20191100
2020-03-13 23:00:00,20200500,20200700,20200300
2020-05-19 23:00:00,20200700,20200900,20200500
2020-07-14 23:00:00,20200900,20210100,20200700
2020-11-13 23:00:00,20210100,20210500,20201100
2021-03-12 23:00:00,20210500,20210700,20210300
2021-05-19 23:00:00,20210700,20210900,20210500
2021-07-14 23:00:00,20210900,20220100,20210700
2021-11-12 23:00:00,20220100,20220500,20211100
2022-03-14 23:00:00,20220500,20220700,20220300
2022-05-18 23:00:00,20220700,20220900,20220500
2022-07-14 23:00:00,20220900,20230100,20220700
2022-11-14 23:00:00,20230100,20230500,20221100
2023-03-14 23:00:00,20230500,20230700,20230300
2023-05-17 23:00:00,20230700,20230900,20230500
2023-07-14 23:00:00,20230900,20240100,20230700
2023-11-14 23:00:00,20240100,20240500,20231100
2024-03-14 23:00:00,20240500,20240700,20240300
2024-05-17 23:00:00,20240700,20240900,20240500
2024-07-12 23:00:00,20240900,20250100,20240700
2024-11-14 23:00:00,20250100,20250500,20241100
2025-03-14 23:00:00,20250500,20250700,20250300
2025-05-19 23:00:00,20250700,20250900,20250500
2025-07-14 23:00:00,20250900,20260100,20250700
2025-11-14 23:00:00,20260100,20260500,20251100
2026-03-13 23:00:00,20260500,20260700,20260300
2026-05-19 23:00:00,20260700,20260900,20260500
2026-07-14 23:00:00,20260900,20270100,20260700
