DATE_TIME,current_contract,next_contract,carry_contract
2015-03-13 23:00:00,20150500,20150700,20150300
2015-05-15 23:00:00,20150700,20150900,20150500
2015-07-14 23:00:00,20150900,20151100,20150700
2015-09-16 23:00:00,20151100,20160100,20150900
2015-11-13 23:00:00,20160100,20160500,20151100
2016-03-14 23:00:00,20160500,20160700,20160300
2016-05-16 23:00:00,20160700,20160900,20160500
2016-07-14 23:00:00,20160900,20161100,20160700
2016-09-14 23:00:00,20161100,20170100,20160900
2016-11-14 23:00:00,20170100,20170500,20161100
2017-03-14 23:00:00,20170500,20170700,20170300
2017-05-15 23:00:00,20170700,20170900,20170500
2017-07-14 23:00:00,20170900,20171100,20170700
2017-09-14 23:00:00,20171100,20180100,20170900
2017-11-14 23:00:00,20180100,20180500,20171100
2018-03-14 23:00:00,20180500,20180700,20180300
2018-05-15 23:00:00,20180700,20180900,20180500
2018-07-13 23:00:00,20180900,20181100,20180700
2018-09-14 23:00:00,20181100,20190100,20180900
2018-11-14 23:00:00,20190100,20190500,20181100
2019-03-14 23:00:00,20190500,20190700,20190300
2019-05-17 23:00:00,20190700,20190900,20190500
2019-07-12 23:00:00,20190900,20191100,20190700
2019-09-16 23:00:00,20191100,20200100,20190900
2019-11-14 23:00:00,20200100,20200500,20191100
2020-03-13 23:00:00,20200500,20200700,20200300
2020-05-19 23:00:00,20200700,20200900,20200500
2020-07-14 23:00:00,20200900,20201100,20200700
2020-09-14 23:00:00,20201100,20210100,20200900
2020-11-13 23:00:00,20210100,20210500,20201100
2021-03-12 23:00:00,20210500,20210700,20210300
2021-05-19 23:00:00,20210700,20210900,20210500
2021-07-14 23:00:00,20210900,20211100,20210700
2021-09-14 23:00:00,20211100,20220100,20210900
2021-11-12 23:00:00,20220100,20220500,20211100
2022-03-14 23:00:00,20220500,20220700,20220300
2022-05-18 23:00:00,20220700,20220900,20220500
2022-07-14 23:00:00,20220900,20221100,20220700
2022-09-15 23:00:00,20221100,20230100,20220900
2022-11-14 23:00:00,20230100,20230500,20221100
2023-03-14 23:00:00,20230500,20230700,20230300
2023-05-17 23:00:00,20230700,20230900,20230500
2023-07-14 23:00:00,20230900,20231100,20230700
2023-09-14 23:00:00,20231100,20240100,20230900
2023-11-14 23:00:00,20240100,20240500,20231100
2024-03-14 23:00:00,20240500,20240700,20240300
2024-05-17 23:00:00,20240700,20240900,20240500
2024-07-12 23:00:00,20240900,20241100,20240700
2024-09-13 23:00:00,20241100,20250100,20240900
2024-11-14 23:00:00,20250100,20250500,20241100
2025-03-14 23:00:00,20250500,20250700,20250300
2025-05-19 23:00:00,20250700,20250900,20250500
2025-07-14 23:00:00,20250900,20251100,20250700
2025-09-12 23:00:00,20251100,20260100,20250900
2025-11-14 23:00:00,20260100,20260500,20251100
2026-03-13 23:00:00,20260500,20260700,20260300
2026-05-19 23:00:00,20260700,20260900,20260500
2026-07-14 23:00:00,20260900,20261100,20260700
