DATE_TIME,current_contract,next_contract,carry_contract
2020-01-15 23:00:00,20200200,20200300,20200100
2020-02-14 23:00:00,20200300,20200500,20200200
2020-03-13 23:00:00,20200500,20200600,20200300
2020-05-19 23:00:00,20200600,20200900,20200500
2020-06-12 23:00:00,20200900,20210100,20200600
2020-09-14 23:00:00,20210100,20210200,20200900
2021-01-15 23:00:00,20210200,20210300,20210100
2021-02-19 23:00:00,20210300,20210500,20210200
2021-03-12 23:00:00,20210500,20210600,20210300
2021-05-19 23:00:00,20210600,20210900,20210500
2021-06-15 23:00:00,20210900,20220100,20210600
2021-09-14 23:00:00,20220100,20220200,20210900
2022-01-17 23:00:00,20220200,20220300,20220100
2022-02-18 23:00:00,20220300,20220500,20220200
2022-03-14 23:00:00,20220500,20220600,20220300
2022-05-18 23:00:00,20220600,20220900,20220500
2022-06-15 23:00:00,20220900,20230100,20220600
2022-09-15 23:00:00,20230100,20230200,20220900
2023-01-16 23:00:00,20230200,20230300,20230100
2023-02-14 23:00:00,20230300,20230500,20230200
2023-03-14 23:00:00,20230500,20230600,20230300
2023-05-17 23:00:00,20230600,20230900,20230500
2023-06-14 23:00:00,20230900,20240100,20230600
2023-09-14 23:00:00,20240100,20240200,20230900
2024-01-15 23:00:00,20240200,20240300,20240100
2024-02-22 23:00:00,20240300,20240500,20240200
2024-03-14 23:00:00,20240500,20240600,20240300
2024-05-17 23:00:00,20240600,20240900,20240500
2024-06-17 23:00:00,20240900,20250100,20240600
2024-09-13 23:00:00,20250100,20250200,20240900
2025-01-15 23:00:00,20250200,20250300,20250100
2025-02-18 23:00:00,20250300,20250500,20250200
2025-03-14 23:00:00,20250500,20250600,20250300
2025-05-19 23:00:00,20250600,20250900,20250500
2025-06-16 23:00:00,20250900,20260100,20250600
2025-09-12 23:00:00,20260100,20260200,20250900
2026-01-16 23:00:00,20260200,20260300,20260100
2026-02-13 23:00:00,20260300,20260500,20260200
2026-03-13 23:00:00,20260500,20260600,20260300
2026-05-19 23:00:00,20260600,20260900,20260500
2026-06-12 23:00:00,20260900,20270100,20260600
