DATE_TIME,current_contract,next_contract,carry_contract
2014-04-08 23:00:00,20140400,20140500,20140500
2014-05-07 23:00:00,20140500,20140900,20140900
2014-09-05 23:00:00,20140900,20150500,20150100
2015-05-07 23:00:00,20150500,20150900,20150900
2015-09-07 23:00:00,20150900,20160500,20160100
2016-05-06 23:00:00,20160500,20160900,20160900
2016-09-07 23:00:00,20160900,20170500,20170100
2017-05-08 23:00:00,20170500,20170900,20170900
2017-09-07 23:00:00,20170900,20180500,20180100
2018-05-07 23:00:00,20180500,20180900,20180900
2018-09-07 23:00:00,20180900,20190500,20190100
2019-05-07 23:00:00,20190500,20190900,20190900
2019-09-06 23:00:00,20190900,20200500,20200100
