DATE_TIME,current_contract,next_contract,carry_contract
2014-05-16 23:00:00,20140600,20140900,20140500
2014-06-16 23:00:00,20140900,20141000,20140600
2014-09-15 23:00:00,20141000,20141100,20140900
2014-10-17 23:00:00,20141100,20150100,20141000
2014-11-14 23:00:00,20150100,20150500,20141100
2015-01-16 23:00:00,20150500,20150600,20150100
2015-05-15 23:00:00,20150600,20150900,20150500
2015-06-12 23:00:00,20150900,20151000,20150600
2015-09-16 23:00:00,20151000,20151100,20150900
2015-10-19 23:00:00,20151100,20160100,20151000
2015-11-13 23:00:00,20160100,20160500,20151100
2016-01-15 23:00:00,20160500,20160600,20160100
2016-05-16 23:00:00,20160600,20160900,20160500
2016-06-16 23:00:00,20160900,20161000,20160600
2016-09-14 23:00:00,20161000,20161100,20160900
2016-10-18 23:00:00,20161100,20170100,20161000
2016-11-14 23:00:00,20170100,20170500,20161100
2017-01-16 23:00:00,20170500,20170600,20170100
2017-05-18 23:00:00,20170600,20170700,20170500
2017-06-16 23:00:00,20170700,20170800,20170600
2017-07-18 23:00:00,20170800,20170900,20170700
2017-08-18 23:00:00,20170900,20171000,20170800
2017-09-18 23:00:00,20171000,20171100,20170900
2017-10-18 23:00:00,20171100,20180100,20171000
2017-11-27 23:00:00,20180100,20180500,20171100
2018-01-26 23:00:00,20180500,20180600,20180100
2018-05-18 23:00:00,20180600,20180700,20180500
2018-06-15 23:00:00,20180700,20180800,20180600
2018-07-18 23:00:00,20180800,20180900,20180700
2018-08-17 23:00:00,20180900,20181000,20180800
2018-09-17 23:00:00,20181000,20181100,20180900
2018-10-18 23:00:00,20181100,20190100,20181000
2018-11-27 23:00:00,20190100,20190500,20181100
2019-01-28 23:00:00,20190500,20190600,20190100
2019-05-17 23:00:00,20190600,20190700,20190500
2019-06-17 23:00:00,20190700,20190800,20190600
2019-07-18 23:00:00,20190800,20190900,20190700
2019-08-19 23:00:00,20190900,20191000,20190800
2019-09-17 23:00:00,20191000,20191100,20190900
2019-10-18 23:00:00,20191100,20200100,20191000
2019-11-26 23:00:00,20200100,20200500,20191100
2020-01-21 23:00:00,20200500,20200600,20200100
2020-05-18 23:00:00,20200600,20200700,20200500
2020-06-17 23:00:00,20200700,20200800,20200600
2020-07-17 23:00:00,20200800,20200900,20200700
2020-08-18 23:00:00,20200900,20201000,20200800
2020-09-17 23:00:00,20201000,20201100,20200900
2020-10-19 23:00:00,20201100,20210100,20201000
2020-11-25 23:00:00,20210100,20210500,20201100
2021-01-26 23:00:00,20210500,20210600,20210100
2021-05-18 23:00:00,20210600,20210700,20210500
2021-06-17 23:00:00,20210700,20210800,20210600
2021-07-19 23:00:00,20210800,20210900,20210700
2021-08-18 23:00:00,20210900,20211000,20210800
2021-09-17 23:00:00,20211000,20211100,20210900
2021-10-18 23:00:00,20211100,20220100,20211000
2021-11-25 23:00:00,20220100,20220500,20211100
2022-01-25 23:00:00,20220500,20220600,20220100
2022-05-18 23:00:00,20220600,20220700,20220500
2022-06-17 23:00:00,20220700,20220800,20220600
2022-07-18 23:00:00,20220800,20220900,20220700
2022-08-18 23:00:00,20220900,20221000,20220800
2022-09-16 23:00:00,20221000,20221100,20220900
2022-10-18 23:00:00,20221100,20230100,20221000
2022-11-25 23:00:00,20230100,20230500,20221100
2023-01-19 23:00:00,20230500,20230600,20230100
2023-05-18 23:00:00,20230600,20230700,20230500
2023-06-16 23:00:00,20230700,20230800,20230600
2023-07-18 23:00:00,20230800,20230900,20230700
2023-08-18 23:00:00,20230900,20231000,20230800
2023-09-18 23:00:00,20231000,20231100,20230900
2023-10-18 23:00:00,20231100,20240100,20231000
2023-11-27 23:00:00,20240100,20240500,20231100
2024-01-26 23:00:00,20240500,20240600,20240100
2024-05-17 23:00:00,20240600,20240700,20240500
2024-06-17 23:00:00,20240700,20240800,20240600
2024-07-18 23:00:00,20240800,20240900,20240700
2024-08-19 23:00:00,20240900,20241000,20240800
2024-09-18 23:00:00,20241000,20241100,20240900
2024-10-18 23:00:00,20241100,20250100,20241000
2024-11-26 23:00:00,20250100,20250500,20241100
2025-01-22 23:00:00,20250500,20250600,20250100
2025-05-19 23:00:00,20250600,20250700,20250500
2025-06-17 23:00:00,20250700,20250800,20250600
2025-07-18 23:00:00,20250800,20250900,20250700
2025-08-18 23:00:00,20250900,20251000,20250800
2025-09-17 23:00:00,20251000,20251100,20250900
2025-10-17 23:00:00,20251100,20260100,20251000
2025-11-25 23:00:00,20260100,20260500,20251100
2026-01-27 23:00:00,20260500,20260600,20260100
2026-05-18 23:00:00,20260600,20260700,20260500
2026-06-17 23:00:00,20260700,20260800,20260600
2026-07-17 23:00:00,20260800,20260900,20260700
2026-07-27 23:00:00,20260900,20261000,20260800
