DATE_TIME,current_contract,next_contract,carry_contract
2008-04-14 23:00:00,20080500,20080900,20080900
2008-08-15 23:00:00,20080900,20090100,20090100
2008-12-15 23:00:00,20090100,20090500,20090500
2009-04-14 23:00:00,20090500,20090900,20090900
2009-08-14 23:00:00,20090900,20100100,20100100
2009-12-15 23:00:00,20100100,20100500,20100500
2010-04-14 23:00:00,20100500,20100900,20100900
2010-08-16 23:00:00,20100900,20110100,20110100
2010-12-15 23:00:00,20110100,20110500,20110500
2011-04-14 23:00:00,20110500,20110900,20110900
2011-08-15 23:00:00,20110900,20120100,20120100
2011-12-15 23:00:00,20120100,20120500,20120500
2012-04-13 23:00:00,20120500,20120900,20120900
2012-08-15 23:00:00,20120900,20130100,20130100
2012-12-14 23:00:00,20130100,20130500,20130500
2013-04-15 23:00:00,20130500,20130900,20130900
2013-08-15 23:00:00,20130900,20140100,20140100
2013-12-16 23:00:00,20140100,20140500,20140500
2014-04-14 23:00:00,20140500,20140900,20140900
2014-08-15 23:00:00,20140900,20150100,20150100
2014-12-15 23:00:00,20150100,20150500,20150500
2015-04-14 23:00:00,20150500,20150900,20150900
2015-08-14 23:00:00,20150900,20160100,20160100
2015-12-15 23:00:00,20160100,20160500,20160500
2016-04-14 23:00:00,20160500,20160900,20160900
2016-08-15 23:00:00,20160900,20170100,20170100
2016-12-15 23:00:00,20170100,20170500,20170500
2017-04-14 23:00:00,20170500,20170900,20170900
2017-08-15 23:00:00,20170900,20180100,20180100
2017-12-15 23:00:00,20180100,20180500,20180500
2018-04-13 23:00:00,20180500,20180900,20180900
2018-08-15 23:00:00,20180900,20190100,20190100
2018-12-14 23:00:00,20190100,20190500,20190500
2019-04-15 23:00:00,20190500,20190900,20190900
2019-08-15 23:00:00,20190900,20200100,20200100
2019-12-16 23:00:00,20200100,20200500,20200500
2020-04-14 23:00:00,20200500,20200900,20200900
2020-08-14 23:00:00,20200900,20210100,20210100
2020-12-15 23:00:00,20210100,20210500,20210500
2021-04-14 23:00:00,20210500,20210900,20210900
2021-08-16 23:00:00,20210900,20220100,20220100
2021-12-15 23:00:00,20220100,20220500,20220500
2022-04-14 23:00:00,20220500,20220900,20220900
2022-08-15 23:00:00,20220900,20230100,20230100
2022-12-15 23:00:00,20230100,20230500,20230500
2023-04-14 23:00:00,20230500,20230900,20230900
2023-08-15 23:00:00,20230900,20240100,20240100
2023-12-15 23:00:00,20240100,20240500,20240500
2024-04-15 23:00:00,20240500,20240900,20240900
2024-08-15 23:00:00,20240900,20250100,20250100
2024-12-16 23:00:00,20250100,20250500,20250500
2025-04-14 23:00:00,20250500,20250900,20250900
2025-08-15 23:00:00,20250900,20260100,20260100
2025-12-15 23:00:00,20260100,20260500,20260500
2026-04-14 23:00:00,20260500,20260900,20260900
2026-08-14 23:00:00,20260900,20270100,20270100
