DATE_TIME,current_contract,next_contract,carry_contract
2021-09-27 23:00:00,20211100,20220100,20210900
2021-11-25 23:00:00,20220100,20220300,20211100
2022-01-25 23:00:00,20220300,20220500,20220100
2022-03-28 23:00:00,20220500,20220700,20220300
2022-05-26 23:00:00,20220700,20220900,20220500
2022-07-26 23:00:00,20220900,20221100,20220700
2022-09-27 23:00:00,20221100,20230100,20220900
2022-11-25 23:00:00,20230100,20230300,20221100
2023-01-19 23:00:00,20230300,20230500,20230100
2023-03-28 23:00:00,20230500,20230700,20230300
2023-05-26 23:00:00,20230700,20230900,20230500
2023-07-26 23:00:00,20230900,20231100,20230700
2023-09-25 23:00:00,20231100,20240100,20230900
2023-11-27 23:00:00,20240100,20240300,20231100
2024-01-26 23:00:00,20240300,20240500,20240100
2024-03-26 23:00:00,20240500,20240700,20240300
2024-05-28 23:00:00,20240700,20240900,20240500
2024-07-26 23:00:00,20240900,20241100,20240700
2024-09-25 23:00:00,20241100,20250100,20240900
2024-11-26 23:00:00,20250100,20250300,20241100
2025-01-22 23:00:00,20250300,20250500,20250100
2025-03-26 23:00:00,20250500,20250700,20250300
2025-05-27 23:00:00,20250700,20250900,20250500
2025-07-28 23:00:00,20250900,20251100,20250700
2025-09-25 23:00:00,20251100,20260100,20250900
2025-11-25 23:00:00,20260100,20260300,20251100
2026-01-27 23:00:00,20260300,20260500,20260100
2026-03-26 23:00:00,20260500,20260700,20260300
2026-05-26 23:00:00,20260700,20260900,20260500
2026-07-27 23:00:00,20260900,20261100,20260700
