DATE_TIME,current_contract,next_contract,carry_contract
2006-05-19 23:00:00,20060900,20070100,20060500
2006-09-14 23:00:00,20070100,20070500,20060900
2007-01-17 23:00:00,20070500,20070900,20070100
2007-05-21 23:00:00,20070900,20080100,20070500
2007-09-14 23:00:00,20080100,20080500,20070900
2008-01-15 23:00:00,20080500,20080900,20080100
2008-05-16 23:00:00,20080900,20090100,20080500
2008-09-12 23:00:00,20090100,20090500,20080900
2009-01-16 23:00:00,20090500,20090900,20090100
2009-05-15 23:00:00,20090900,20100100,20090500
2009-09-14 23:00:00,20100100,20100500,20090900
2010-01-15 23:00:00,20100500,20100900,20100100
2010-05-17 23:00:00,20100900,20110100,20100500
2010-09-14 23:00:00,20110100,20110500,20100900
2011-01-17 23:00:00,20110500,20110900,20110100
2011-05-16 23:00:00,20110900,20120100,20110500
2011-09-15 23:00:00,20120100,20120500,20110900
2012-01-17 23:00:00,20120500,20120900,20120100
2012-05-15 23:00:00,20120900,20130100,20120500
2012-09-14 23:00:00,20130100,20130500,20120900
2013-01-17 23:00:00,20130500,20130900,20130100
2013-05-15 23:00:00,20130900,20140100,20130500
2013-09-13 23:00:00,20140100,20140500,20130900
2014-01-15 23:00:00,20140500,20140900,20140100
2014-05-16 23:00:00,20140900,20150100,20140500
2014-09-15 23:00:00,20150100,20150500,20140900
2015-01-16 23:00:00,20150500,20150900,20150100
2015-05-15 23:00:00,20150900,20160100,20150500
2015-09-16 23:00:00,20160100,20160500,20150900
2016-01-15 23:00:00,20160500,20160900,20160100
2016-05-16 23:00:00,20160900,20170100,20160500
2016-09-14 23:00:00,20170100,20170500,20160900
2017-01-16 23:00:00,20170500,20170900,20170100
2017-05-15 23:00:00,20170900,20180100,20170500
2017-09-14 23:00:00,20180100,20180500,20170900
2018-01-15 23:00:00,20180500,20180900,20180100
2018-05-15 23:00:00,20180900,20190100,20180500
2018-09-14 23:00:00,20190100,20190500,20180900
2019-01-15 23:00:00,20190500,20190900,20190100
2019-05-17 23:00:00,20190900,20200100,20190500
2019-09-16 23:00:00,20200100,20200500,20190900
2020-01-15 23:00:00,20200500,20200900,20200100
2020-05-19 23:00:00,20200900,20210100,20200500
2020-09-14 23:00:00,20210100,20210500,20200900
2021-01-15 23:00:00,20210500,20210900,20210100
2021-05-19 23:00:00,20210900,20220100,20210500
2021-09-14 23:00:00,20220100,20220500,20210900
2022-01-17 23:00:00,20220500,20220900,20220100
2022-05-18 23:00:00,20220900,20230100,20220500
2022-09-15 23:00:00,20230100,20230500,20220900
2023-01-16 23:00:00,20230500,20230900,20230100
2023-05-17 23:00:00,20230900,20240100,20230500
2023-09-14 23:00:00,20240100,20240500,20230900
2024-01-15 23:00:00,20240500,20240900,20240100
2024-05-17 23:00:00,20240900,20250100,20240500
2024-09-13 23:00:00,20250100,20250500,20240900
2025-01-15 23:00:00,20250500,20250900,20250100
2025-05-19 23:00:00,20250900,20260100,20250500
2025-09-12 23:00:00,20260100,20260500,20250900
2026-01-16 23:00:00,20260500,20260900,20260100
2026-05-19 23:00:00,20260900,20270100,20260500
